speaker,start,end,text
speaker_0,6.34,8.84,"You two, first of all, well done. Brilliant film."
speaker_1,9.02,9.12,Oh.
speaker_2,9.56,9.65,Thank you.
speaker_0,9.66,13.02,You were right in the mix in this one. Was it just like one giant workout?
speaker_1,13.48,14.4,It's exactly what it was.
speaker_2,14.44,16.96,"It kinda was. W- you know, we have to kind of-"
speaker_1,17.0,17.79,"We worked out a lot, didn't we?"
speaker_2,17.82,41.7,"We did work out together actually and, and, uh, it's kinda fun to have a reason to work out and, and get in shape. It's hard when you, you know, you're doing a job and there's no time to go to the gym. A lot of people find it hard to actually just fit it into their schedule. It's not'cause they're lazy or they don't wanna work out, it's just like, ""When do I do that? When do I dedicate that amount of time?"" But when it's part of your job, it's joyous. So yeah, we got in, uh, in good shape in the California sunshine, didn't we?"
speaker_1,41.9,42.54,Green juice.
speaker_2,42.64,44.52,"Green juice, running up and down stairs."
speaker_0,45.0,45.58,Good work.
speaker_1,45.62,46.2,Happy days.
speaker_2,46.28,46.88,Lifting weights.
speaker_1,47.38,49.519,"Now we're back to London, Guinness and pies."
speaker_0,51.36,55.69,"And everyone seems to describe so far a utopian set, where everyone's having the best time. Was it hard?"
speaker_1,55.8,58.01,"I know, it's nauseating. I feel like it's nauseating."
speaker_2,58.08,58.15,I know.
speaker_1,58.15,65.12,"I keep saying it, but it's not untrue. Sometimes Simon is a bit mean. Come on, what else happened that was bad? Um, someone hurt themselves."
speaker_2,65.56,66.44,There was an accident.
speaker_1,67.8,68.38,I fell on my bum.
speaker_2,68.46,72.06,"You fell on your bum, and I'm never really mean. I'm only mean to you'cause it makes you laugh."
speaker_1,72.27,72.55,It does make me laugh.
speaker_2,72.56,76.36,'Cause you're not u-'cause you're used to people sort of like worshiping at your feet'cause you're such a princess.
speaker_1,76.5,77.81,"Oh, that's great. That's great. That's gonna be-"
speaker_2,77.82,81.0,"You're used to, ""Oh, Alice, oh you're great,"" and I like, so I just try to keep it real."
speaker_1,81.06,83.44,"Yeah, all I do is all cry and then say people say I'm great. You're..."
speaker_1,86.2,87.42,"You, you s- you're not a-"
speaker_2,87.46,101.42,"Alice is being... A- but Alice was raised on a cushion basically of privilege, and she needs to be leveled immediately whenever I see her because she needs to know that she's just a, a normal person and not some beautiful..."
speaker_1,103.68,104.52,That was really bad.
speaker_2,104.59,104.59,Sorry. Sorry.
speaker_1,104.6,113.85,"That was really bad. I didn't buy that at all. The scene is cut. Do it again. That, that change from delivery of where I was raised to beautiful, I didn't believe it in your eyes at all. You were thinking-"
speaker_2,113.85,118.3,"'Cause I was just, I was trying to get across the idea that I, my meanness is entirely motivated by devotion."
speaker_1,118.38,119.1,You were thinking about green juice.
speaker_2,119.42,119.74,Exactly.
speaker_1,119.78,128.6,"This is how you play it. And Simon is just a beautiful, beautiful person. This is the best."
speaker_0,130.47,133.94,"Alice, you can get him back. Tell us one thing about Simon that might surprise us."
speaker_2,134.08,135.01,It's a bit hot in here all of a sudden.
speaker_1,135.02,139.86,"The thing about Simon is he wears it all on his sleeve, doesn't he? We know exactly what's wrong with him-"
speaker_1,141.14,142.44,"... just, just by looking at him."
speaker_2,142.48,144.6,All my psychosis are very plain to see.
speaker_1,144.72,150.52,"Um, that's, that's called being a comedian. Probably the most difficult predicament in the world, I would say."
speaker_2,150.56,151.39,It's not easy being easy.
speaker_1,151.42,152.34,Other than...
speaker_1,154.9,165.46,"You know, it's not easy. They have to go out and make people laugh. We had a discussion the other day about when Simon would do standup again. I suggested it would be better if he did it in his underwear and very fit."
speaker_2,165.76,166.06,Yes.
speaker_1,166.26,167.58,That usually gets a lot of attention.
speaker_2,167.6,168.299,Absolutely.
speaker_1,168.42,169.84,But what do you think about that?
speaker_2,170.28,180.489,"I think it w- the, the idea of doing standup again for me, I know you didn't ask this question, uh, it, you have to be very, you have to be very match fit to do standup. Like, you have to do a lot of gigs. That, it would take a lot of time. I don't think I can go into that again."
speaker_1,180.8,181.76,See? That's a weakness.
speaker_2,181.86,182.4,That's a weakness.
speaker_0,182.62,186.96,"Can you tell me, as a woman, what's it like being so close to Benedict Cumberbatch?"
speaker_1,187.26,189.36,"As a woman, would you like to share?"
speaker_0,189.42,189.54,Well-
speaker_2,189.549,190.16,"Well, as a woman"
speaker_0,190.26,190.829,... I'm a woman asking.
speaker_1,190.92,191.78,"Oh, you as a woman."
speaker_0,191.88,192.18,Yeah.
speaker_1,192.26,197.44,"Um, I, what's it like being so close to him, uh, you mean phys- when I'm physically close to him, do I get the shivers?"
speaker_2,197.48,198.56,The cumbers bumbers wumbers.
speaker_1,200.12,201.12,Do I want to lick him?
speaker_2,201.56,206.36,"The thing is, the Benedict that everyone kn- sees is a little different to the Benedict we know."
speaker_2,207.76,248.52,"I, the Benedict, the, the real Benedict is like, ""Oh, hello, I'm Benedict."" He talks like that, and he's, he's very ungainly and he's not, he's what I call dyspraxic, which means he can't dance and he can't sort of like physically, uh, um, move himself. But you switch a camera on the guy-... he becomes this super sexy, lithe, Sherlock, super intelligent... It's like, ""Cut,"" and it's like, ""Was that any good?"" And you're like, ""Oh, Benedict, for G- someone's gonna see that and they're gonna know."" So what, after a take, what, Benedict will be shepherded into a small room and he's just kept there. And we tell him he's there for, you know, ""Just stay there, Ben. We'll be out. We all go and have dinner and stuff."" And he just sits there like playing with his, like, you know, we got a little toy for him. It looks like a Rubik's Cube, but it's simpler. It's like a four, it's like four, not six."
speaker_1,249.22,250.42,"Oh, God, Simon."
speaker_2,251.12,255.12,"So the Benedict that you, that all the girls love and stuff, it's a, it's a myth."
speaker_1,255.24,258.14,I would've thought that girls would love Chris Pine as well. Do they not?
speaker_0,258.74,261.68,"I do love him. He's almost a bit obviously handsome, if that's a thing."
speaker_2,261.72,264.01,"I love that, that Chris is actually too handsome to be handsome."
speaker_1,264.22,266.12,"You're too handsome for your own good, Pine."
speaker_0,266.5,268.969,"He's like, oh, Benedict. With Benedict it's like if I tried really hard, maybe I could get him."
speaker_1,269.04,270.02,"Oh, he's attainable."
speaker_0,270.06,270.07,Mm-hmm.
speaker_1,270.14,276.24,"Is that what Benedict feels? You know what I think is with Benedict, I think it's'cause he wants to have a family. I think that's what gets women as well."
speaker_2,276.27,277.5,"Oh, he's giving off those pheromones."
speaker_1,277.56,279.68,I don't think Chris gives off those pheromones.
speaker_2,279.82,281.76,Chris wants to have lots of family.
speaker_2,284.46,285.5,And there's nothing wrong with that.
speaker_1,288.52,290.52,I'm literally gonna pee my pants.
speaker_1,292.74,307.34,"Chris, Benedict, Benedict l- Benedict wants to have... Oh, God. Benedict wants to have a family, and I think that's what women respond to is that he, I th- and I think the thing about him is he will actually be a good dad and a good husband. I think he'll be loyal and I think he'll be caring."
speaker_2,307.62,307.74,Yeah.
speaker_1,307.8,308.48,So I think women-
speaker_2,308.8,309.039,Like a dog.
speaker_1,309.76,311.2,Women respond to that.
speaker_2,311.88,316.45,"Benedict, Benedict, the thing about Benedict is that he is, uh, and in all seriousness, he's, he's such a delightful human being."
speaker_1,316.45,317.96,Let's not do that. Everybody knows it.
speaker_0,318.02,318.16,Mm.
speaker_2,318.38,320.38,"But that, he is a delightful human. Yeah, he's an idiot."
speaker_0,320.42,321.98,Can you set me up with him? Can you just be my nan?
speaker_1,322.04,323.46,"Well, haven't you gone in to meet him?"
speaker_0,323.84,325.72,"Yeah, but he didn't ask me out, which was a shame."
speaker_1,326.24,330.88,"I'm surprised about that, to be honest. Truth be told, I'm actually, with a face like yours, surprised he didn't ask you out."
speaker_2,330.92,331.13,"If you, uh-"
speaker_1,331.18,334.4,So maybe we could circle back and rearrange that meeting.
speaker_2,334.51,335.84,"Yeah. I think he's, is he, uh-"
speaker_1,336.46,337.06,Singulare?
speaker_2,337.18,337.84,Singularis?
speaker_1,338.8,341.03,He's... I wouldn't know. I think that might-
speaker_2,341.1,342.96,I know him sing- I know him and Martin Freeman were tight for a while.
