speaker,start,end,text
speaker_0,2.2,13.84,"All right, listen up, y'all. I'm y'all's substitute teacher, Mr. Garvey. I taught school for 20 years in the inner city, so don't even think about messing with me. Y'all feel me?"
speaker_1,14.96,15.2,Mm-hmm.
speaker_0,15.72,17.26,"Okay, let's take roll here."
speaker_0,19.1,19.64,Jay Quellin?
speaker_0,23.0,25.52,Where's Jay Quellin at? No Jay Quellin here?
speaker_0,28.88,29.06,Yeah.
speaker_2,29.66,31.74,"Uh, do you mean Jacqueline?"
speaker_0,32.28,37.24,"Okay. So, that's how it's gonna be. Y'all wanna play. Okay, then."
speaker_0,38.8,40.02,"I've got my eye on you, Jay Quellin."
speaker_0,44.6,45.16,Balake.
speaker_0,47.12,48.2,Where is Balake at?
speaker_0,49.82,51.48,There's n- no Balake here today?
speaker_0,53.9,54.32,"Yes, sir."
speaker_3,55.02,56.06,My name's Blake.
speaker_0,56.74,56.96,Bl-
speaker_0,58.2,59.6,are you out of your goddamn mind?
speaker_3,60.64,61.6,Blake.
speaker_0,62.18,64.44,"What? Do you wanna go to war, Balake?"
speaker_3,64.82,65.04,No.
speaker_0,65.08,66.28,'Cause we could go to war.
speaker_3,66.46,66.64,No.
speaker_0,67.04,71.84,"I'm for real. I'm for real. So, you better check yourself."
speaker_0,74.82,75.42,D-Nice.
speaker_0,77.88,78.78,Is there a D-Nice?
speaker_0,81.52,84.92,"If one of y'all says some silly-ass name,"
speaker_0,86.14,90.86,"this whole class is gonna feel my wrath. Now, D-Nice."
speaker_4,91.64,92.5,Do you mean Denise?
speaker_0,92.84,94.14,Son of a bitch.
speaker_0,96.02,97.8,"You say your name right, right now."
speaker_4,97.92,98.34,Denise.
speaker_0,98.78,99.12,Say it right.
speaker_4,99.36,99.66,Denise.
speaker_0,99.7,100.08,Correctly.
speaker_4,100.2,100.59,Denise.
speaker_0,100.59,100.82,Right.
speaker_4,100.9,101.22,Denise.
speaker_0,101.26,101.54,Right.
speaker_4,102.36,102.75,D-Nice.
speaker_0,102.84,105.04,"That's better. Thank you. Now,"
speaker_0,106.38,111.9,"A. Aaron, where are you? Where is A. Aaron right now?"
speaker_0,113.34,120.08,"No A. Aaron, huh? Well, you better be sick, dead, or mute, A. Aaron."
speaker_5,120.12,120.38,Here.
speaker_0,120.86,121.6,"Oh, man."
speaker_0,123.7,125.64,"Why didn't you answer me the first time I said it, huh?"
speaker_5,125.72,126.22,Huh?
speaker_0,126.28,132.4,"I'm just, you know, I'm just asking. You know, I said it, like, four times, so why didn't you say it the first time I said A. Aaron?"
speaker_5,135.1,136.42,Because it's pronounced Aaron.
speaker_0,136.8,138.94,Son of a bitch.
speaker_0,140.41,146.96,"You done messed up, A. Aaron. Now take your ass on down to O-Shag Hennessey's office right now and tell him exactly what you did."
speaker_5,148.56,148.72,Who?
speaker_0,149.3,150.36,O-Shag Hennessey.
speaker_5,152.34,153.32,Principal O'Shaughnessy?
speaker_0,153.5,158.46,Get out of my goddamn classroom before I break my foot off in your ass. Insubordinate
speaker_0,160.0,160.76,and churlish.
speaker_0,166.64,167.2,Timothy.
speaker_6,168.52,169.08,Present.
speaker_0,169.92,170.5,Thank you.
