segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,4.43,6.06,1.63,"Hello, I'm Margaret Jo McCullen."
seg_0001,SPEAKER_2,speaker_1,6.6,8.36,1.76,And I'm Teri Rialto.
seg_0002,SPEAKER_1,speaker_0,8.38,10.64,2.26,And you're listening to The Delicious Dish-
seg_0003,SPEAKER_2,speaker_1,10.9,11.07,0.17,The Delicious Dish-
seg_0004,SPEAKER_1,speaker_0,11.07,11.77,0.7,... on National Public Radio
seg_0005,SPEAKER_2,speaker_1,11.77,12.68,0.91,... on National Public Radio.
seg_0006,SPEAKER_1,speaker_0,15.72,18.91,3.19,"Now, Teri, it's Christmas season again, our favorite time of year."
seg_0007,SPEAKER_2,speaker_1,19.63,28.9,9.27,"That's right, Margaret Jo. Holiday time is when the most wonderful culinary wishes can come true. Now, what's on your list this holiday season, Margaret Jo?"
seg_0008,SPEAKER_1,speaker_0,29.49,38.12,8.63,"Well, Teri, I really got greedy this year. I'm asking Kris Kringle for a wooden bowl, some oversized index cards, and a funnel."
seg_0009,SPEAKER_2,speaker_1,39.4,42.84,3.44,"Ooh, a funnel. That'll be great for funneling."
seg_0010,SPEAKER_1,speaker_0,43.12,44.64,1.52,"I know. I, I feel like a glutton."
seg_0011,SPEAKER_1,speaker_0,47.66,49.18,1.52,"What's on your list, Teri?"
seg_0012,SPEAKER_2,speaker_1,49.28,58.22,8.94,"Well, I'm only asking Santa for one thing, a big box of glue traps to help me deal with my excessive rat problem. Now, tell me, um,"
seg_0013,SPEAKER_2,speaker_1,59.76,63.1,3.34,"are you, Margaret Jo, going to leave any treats out for Santa this year?"
seg_0014,SPEAKER_1,speaker_0,63.18,67.5,4.32,"Oh, absolutely. I always do. I like to leave Santa some tap water and rice."
seg_0015,SPEAKER_1,speaker_0,70.82,74.679,3.859,"If Santa's anything like me, Christmas foods really wreak havoc on the old digestive system."
seg_0016,SPEAKER_1,speaker_0,75.88,76.78,0.9,"What are you gonna leave, Teri?"
seg_0017,SPEAKER_2,speaker_1,77.44,81.46,4.02,"Uh, I can't ever leave food out in my apartment because I have an excessive rat problem."
seg_0018,SPEAKER_1,speaker_0,85.24,86.32,1.08,That's neat. Santa's fun.
seg_0019,SPEAKER_2,speaker_1,86.38,86.65,0.27,Santa's fun.
seg_0020,SPEAKER_1,speaker_0,86.66,87.28,0.62,He is fun.
seg_0021,SPEAKER_2,speaker_1,87.31,87.66,0.35,Neat.
seg_0022,SPEAKER_1,speaker_0,87.96,88.42,0.46,"Yeah, it's fun."
seg_0023,SPEAKER_2,speaker_1,88.46,88.7,0.24,Fun.
seg_0024,SPEAKER_1,speaker_0,88.85,89.03,0.18,I like Christmas.
seg_0025,SPEAKER_2,speaker_1,89.04,90.34,1.3,Good times. Good times.
seg_0026,SPEAKER_1,speaker_0,90.78,91.36,0.58,It's neat.
seg_0027,SPEAKER_2,speaker_1,93.64,100.48,6.84,"Well, Christmas is a time for traditional foods and bite-sized treats, and we have a very special guest today."
seg_0028,SPEAKER_1,speaker_0,100.78,105.54,4.76,"That's right, Teri. He's the owner of his own holiday bakery with a very, very clever name,"
seg_0029,SPEAKER_1,speaker_0,107.04,108.06,1.02,Seasons Eatings.
seg_0030,SPEAKER_2,speaker_1,111.74,112.7,0.96,That's really funny.
seg_0031,SPEAKER_1,speaker_0,114.24,116.02,1.78,I know. It rhymes with seasons greetings.
seg_0032,SPEAKER_2,speaker_1,119.34,124.55,5.21,"Uh, please welcome the owner of Seasons Eatings, Pete Schweddy."
seg_0033,SPEAKER_1,speaker_0,126.4,126.41,0.01,"Hi, Pete."
