segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,0.3,7.479,7.179,"Adam, I was thinking about it last night, um, about, and no offense, but... Oh, and actually this doesn't even involve you or your character."
seg_0001,SPEAKER_2,speaker_1,7.6,7.89,0.29,Good.
seg_0002,SPEAKER_1,speaker_0,8.17,16.56,8.39,"But for Kylo Ren to be, be such a bad guy, it means really that Han Solo and Princess Leia had to have been terrible parents. I mean, like-"
seg_0003,SPEAKER_1,speaker_0,17.85,20.51,2.66,"... like, the Menendez Brothers had better parents-"
seg_0004,SPEAKER_1,speaker_0,22.19,27.12,4.93,"... for him to go to those lengths. I feel like that's a, a, a hole that hasn't been explained."
seg_0005,SPEAKER_2,speaker_1,27.98,28.5,0.52,I agree.
seg_0006,SPEAKER_1,speaker_0,28.6,28.84,0.24,Yeah.
seg_0007,SPEAKER_1,speaker_0,30.82,40.6,9.78,"Do, do... Like, when you play a character like that, do children still want to, like, dress as you for Halloween? Or are they just like, ""He's bad. He killed Han Solo. We don't like him."""
seg_0008,SPEAKER_2,speaker_1,40.84,55.94,15.1,"No, that's my favorite part, I think, is kids and Halloween. Especially my building. We have a lot of... E- everybody in my building has, i- in New York has, has kids. Uh, so, uh, uh, applying them with, uh, um, lightsabers and helmets is kind of my job."
seg_0009,SPEAKER_1,speaker_0,56.2,56.48,0.28,I see.
seg_0010,SPEAKER_2,speaker_1,57.15,57.15,0.0,Yeah.
seg_0011,SPEAKER_1,speaker_0,57.2,58.43,1.23,So you supply them with all that stuff.
seg_0012,SPEAKER_2,speaker_1,58.65,58.65,0.0,Yeah.
seg_0013,SPEAKER_1,speaker_0,58.66,61.94,3.28,"And then they come, they reward you by coming to your door dressed as your character."
seg_0014,SPEAKER_2,speaker_1,62.04,62.34,0.3,"Yeah, yeah, yeah."
seg_0015,SPEAKER_1,speaker_0,62.37,64.599,2.229,And will they get extra candy when they do something like that?
seg_0016,SPEAKER_2,speaker_1,64.739,64.84,0.101,No.
seg_0017,SPEAKER_1,speaker_0,65.14,65.519,0.379,They will not.
seg_0018,SPEAKER_1,speaker_0,66.94,68.8,1.86,That's what it is to be a bad guy.
seg_0019,SPEAKER_2,speaker_1,68.84,69.22,0.38,Yeah.
seg_0020,SPEAKER_1,speaker_0,70.74,75.22,4.48,"Rian, is Jedi in the, the title of this film singular or plural?"
seg_0021,SPEAKER_3,speaker_3,75.52,77.26,1.74,"Oh, you go right for the throat, don't you?"
seg_0022,SPEAKER_3,speaker_3,78.73,85.24,6.51,"Uh, who put you up to this? Uh, I always, in my mind it was always singular,'cause in my mind it always referred to Luke."
seg_0023,SPEAKER_1,speaker_0,85.4,85.41,0.01,Okay.
seg_0024,SPEAKER_3,speaker_3,85.42,87.38,1.96,Luke Skywalker is the last Jedi. So-
seg_0025,SPEAKER_1,speaker_0,87.4,88.73,1.33,"And you're the writer, so in your mind you-"
seg_0026,SPEAKER_3,speaker_3,88.76,92.06,3.3,"I, when I say our mind, I don't know what else I'm talking about. But yeah, yeah, yeah, I guess so."
seg_0027,SPEAKER_1,speaker_0,92.14,92.42,0.28,Okay.
seg_0028,SPEAKER_3,speaker_3,92.64,93.46,0.82,"So, yes. Yes."
seg_0029,SPEAKER_1,speaker_0,93.52,97.3,3.78,"It's not Jedi with two... Would Jedi be, would there be two Is at the end of Jedi if it was?"
seg_0030,SPEAKER_3,speaker_3,97.34,98.04,0.7,"Jedi, yes."
seg_0031,SPEAKER_1,speaker_0,98.12,98.52,0.4,Jedu.
seg_0032,SPEAKER_3,speaker_3,98.74,99.28,0.54,Jediol.
seg_0033,SPEAKER_1,speaker_0,100.71,105.22,4.51,"Daisy, uh, is your character, Rey, related to anyone o- on the, any of these charts?"
seg_0034,SPEAKER_1,speaker_0,107.72,108.68,0.96,Do you think that you have a-
seg_0035,SPEAKER_4,speaker_4,109.14,109.15,0.01,Rian?
seg_0036,SPEAKER_3,speaker_3,109.16,109.64,0.48,Daisy?
seg_0037,SPEAKER_1,speaker_0,109.65,110.32,0.67,... a feeling of...
seg_0038,SPEAKER_4,speaker_4,111.34,111.98,0.64,Mark?
seg_0039,SPEAKER_2,speaker_1,112.28,113.0,0.72,Ah.
seg_0040,SPEAKER_4,speaker_4,113.8,113.81,0.01,Huh?
seg_0041,SPEAKER_2,speaker_1,113.84,119.9,6.06,"I'm not telling. You know, uh, it's, this whole saga is about family."
seg_0042,SPEAKER_1,speaker_0,120.58,120.7,0.12,Uh-huh.
seg_0043,SPEAKER_2,speaker_1,120.76,121.78,1.02,A dysfunctional family.
seg_0044,SPEAKER_1,speaker_0,121.82,123.47,1.65,It's like This Is Us in space in a way.
seg_0045,SPEAKER_2,speaker_1,123.48,123.8,0.32,Yes.
seg_0046,SPEAKER_3,speaker_3,123.84,124.14,0.3,Yeah.
seg_0047,SPEAKER_2,speaker_1,125.14,131.96,6.82,"So, I mean, uh, you know, you think you have bad relatives. Imagine how I felt when I realized he was Dad Vader."
seg_0048,SPEAKER_1,speaker_0,132.38,132.78,0.4,Yeah.
seg_0049,SPEAKER_2,speaker_1,132.82,133.76,0.94,"You know? And I, I-"
seg_0050,SPEAKER_1,speaker_0,133.8,134.29,0.49,"And what, how, what was-"
seg_0051,SPEAKER_2,speaker_1,134.36,145.269,10.909,"I thought I was a nice, nurturing... In my mind, I was a, a, a great uncle to, to Ben Solo. And, uh, I feel tremendous guilt, uh, that I wasn't, uh, there for him when-"
seg_0052,SPEAKER_1,speaker_0,145.34,146.66,1.32,"Yeah, nobody was there for him-"
seg_0053,SPEAKER_2,speaker_1,146.72,146.73,0.01,Yeah
seg_0054,SPEAKER_1,speaker_0,146.73,147.74,1.01,... and look what happened.
seg_0055,SPEAKER_2,speaker_1,148.36,150.12,1.76,"Talk about a nefarious nephew, eh?"
seg_0056,SPEAKER_1,speaker_0,151.34,163.59,12.25,"When you did... Now, I don't know, you know, m- m- a lot of people probably don't remember, but when Darth Vader said, ""I am your father,"" it was like, I remember being in the theater and feeling shock and excitement, and it was-"
seg_0057,SPEAKER_2,speaker_1,163.63,163.63,0.0,"Oh, yeah"
seg_0058,SPEAKER_1,speaker_0,163.63,166.62,2.99,... really the ultimate spoiler. We didn't have the internet back then-
seg_0059,SPEAKER_2,speaker_1,166.69,166.69,0.0,Right
seg_0060,SPEAKER_1,speaker_0,166.69,168.67,1.98,... so people couldn't spread it around.
seg_0061,SPEAKER_2,speaker_1,168.76,169.2,0.44,Yeah.
seg_0062,SPEAKER_1,speaker_0,169.21,171.1,1.89,D- how long did you have to keep that secret?
seg_0063,SPEAKER_2,speaker_1,171.4,185.0,13.6,"Oh, well over a year and a half. And you know, in the first one, nobody cared. I, you know, when they gave me Star Wars, I gave it to my friends to read. I said, ""This is really goofy. You should read this."" And they said, ""Can I give it to Sheila?"" ""Sure."""
seg_0064,SPEAKER_2,speaker_1,186.43,232.7,46.27,"You know, I, it, nobody cared. But now, with Empire, Star Wars became a thing. And when I read the script, there was a, uh, a placeholder for that moment, which was, uh, an attempt to keep the secret, even from the cast and crew. Because at that moment in the screenplay, it's just as you see it, but the revelation is when Vader says, ""You don't know the truth. Obi-Wan killed your father."" And I say, scream, ""No,"" just like you see it. ""That's not true. That's impossible."" Wallop with the, the hand and so forth. And I thought, ""What an amazing twist."" Sir Alec Guinness is the ultimate bad guy. And Irvin Kershner, the director, said, uh, ""I wanna see you after shooting,"" which is scary. It's like your teacher in sign out."
seg_0065,SPEAKER_3,speaker_3,232.76,232.78,0.02,I was gonna s-
seg_0066,SPEAKER_2,speaker_1,232.79,232.79,0.0,I know
seg_0067,SPEAKER_3,speaker_3,232.79,233.25,0.46,... save that line-
seg_0068,SPEAKER_2,speaker_1,233.29,233.62,0.33,That's right
seg_0069,SPEAKER_3,speaker_3,233.63,233.9,0.27,... for the next one.
seg_0070,SPEAKER_2,speaker_1,233.94,234.74,0.8,You're in for it now.
