speaker,start,end,text
speaker_0,0.32,3.15,"First of all, congrats on your little bump. Um-"
speaker_1,3.2,4.36,Congrats on your little bump.
speaker_2,5.32,6.46,What about my bump?
speaker_1,8.92,10.38,You've got two nice ones.
speaker_0,10.4,10.75,Do you-
speaker_2,10.78,13.36,"Are these... They are kind of bumps, aren't they?"
speaker_1,13.9,16.76,"No, not bumps. They're lovely lady lumps."
speaker_2,16.86,16.87,Okay.
speaker_1,16.9,17.439,Check it out.
speaker_2,17.64,18.7,Thank you. Thank you.
speaker_0,19.06,19.2,Are you-
speaker_2,19.25,21.2,You like the movie? Are you a Woody Allen fan?
speaker_0,21.28,25.66,"I love most of his movies, and this one was so, like, visually amazing."
speaker_2,25.74,26.84,"Yeah, it's gorgeous."
speaker_0,26.88,29.88,Did you guys love wearing those kind of clothes that you-
speaker_2,30.14,30.91,Yeah.
speaker_1,30.94,31.14,Yeah.
speaker_2,31.17,32.269,"And, you know, working in digital-"
speaker_1,32.269,35.52,"And everyone wants to talk about the clothes, but I wonder if they would ask the men about the clothes."
speaker_0,36.38,36.98,I would.
speaker_2,37.16,39.56,I love little Je- Jesse's suits-
speaker_1,39.66,40.04,He has some beautiful-
speaker_2,40.05,40.05,And how he-
speaker_1,40.05,40.64,That's what I'm saying
speaker_2,40.68,41.07,"... turns it. Oh, I know. Everybody-"
speaker_1,41.07,42.24,"His, his wardrobe was beautiful."
speaker_2,42.3,42.54,I know.
speaker_1,42.76,44.1,Corey's wardrobe was-
speaker_2,44.38,44.449,He's so great
speaker_1,44.449,46.14,... gorgeous. Those high-waisted pants.
speaker_2,46.18,46.92,He's so great.
speaker_1,46.94,47.67,I w- I would wish men more high-waisted pants like that still.
speaker_2,47.67,49.48,I'm sorry too. I know. Me too.
speaker_1,50.18,53.6,"Or, or the father with his, with his, his tank top and vest."
speaker_2,53.74,54.6,"Oh, it's so good."
speaker_1,54.61,56.02,"Just like, it's just like that, you could feel it."
speaker_2,56.03,60.11,"Did you catch the, the tablecloth on the, on the light in the Italian restaurant when they eat spaghetti and the-"
speaker_1,60.11,60.99,"Oh, I didn't notice that. No"
speaker_2,60.99,61.91,... that.
speaker_1,61.94,62.24,So I feel like-
speaker_2,62.28,64.56,"There was so much warmth of everything, you know?"
speaker_1,64.62,67.54,"Yeah. It's not just the women that, that have the clothes."
speaker_2,67.66,68.01,But Vittorio-
speaker_1,68.01,69.81,"I mean, I feel like the women get the conversation, but it was like-"
speaker_2,69.86,70.02,Yeah
speaker_1,70.36,72.2,... every detail with everybody.
speaker_2,72.26,72.66,But yeah.
speaker_1,72.88,73.15,It was so beautiful.
speaker_2,73.15,75.33,It was amazing to look at. And then to see it-
speaker_1,75.37,75.82,Steve's white suits.
speaker_2,76.14,76.48,Yes.
