segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,3.96,18.88,14.92,"Britain is home to almost 30,000 Thai people, and in the heart of southwest London is Europe's only purpose-built Thai temple, where I'll be serving up a very special meal. I love Thai food. I love cooking it, and I love eating it. But this has to be the most daunting task so far."
seg_0001,SPEAKER_1,speaker_0,21.11,28.54,7.43,This small and revered group of Buddhist monks live in the monastery attached to the temple. They spend most of their waking hours meditating and studying.
seg_0002,SPEAKER_1,speaker_0,30.5,37.8,7.3,"Buddhist teachings forbid them to cook, so it's up to the local Thai community to offer the one meal the monks are allowed to eat at 11:00 each day."
seg_0003,SPEAKER_1,speaker_0,40.52,48.46,7.94,"Helping me fulfill this honor and privilege is Chang, executive chef of the Blue Elephant, one of London's top Thai restaurants. Morning. Chang, good morning. How are you?"
seg_0004,SPEAKER_2,speaker_1,48.48,49.72,1.24,"Good morning, Gordon. How are you?"
seg_0005,SPEAKER_1,speaker_0,49.76,50.18,0.42,Good to see you.
seg_0006,SPEAKER_2,speaker_1,50.269,51.8,1.531,Thank you for come to the Blue Elephant.
seg_0007,SPEAKER_1,speaker_0,51.86,53.04,1.18,"God, a little bit tight in here, no?"
seg_0008,SPEAKER_2,speaker_1,53.1,54.78,1.68,"Of course. Because this is the Thai kitchen, no?"
seg_0009,SPEAKER_1,speaker_0,55.14,57.44,2.3,"Where have you gone, Chang? Morning, everybody."
seg_0010,SPEAKER_3,speaker_2,57.949,57.949,0.0,Oh.
seg_0011,SPEAKER_1,speaker_0,58.04,58.66,0.62,"Uh, hi."
seg_0012,SPEAKER_2,speaker_1,59.19,60.03,0.84,"I'm here, I'm here."
seg_0013,SPEAKER_1,speaker_0,60.04,60.76,0.72,"Pressure's on, right?"
seg_0014,SPEAKER_2,speaker_1,60.88,61.04,0.16,Yeah.
seg_0015,SPEAKER_1,speaker_0,61.4,62.58,1.18,So they've gotta be before 11:00.
seg_0016,SPEAKER_2,speaker_1,62.76,62.84,0.08,Yeah.
seg_0017,SPEAKER_1,speaker_0,62.98,63.84,0.86,Are they fussy eaters?
seg_0018,SPEAKER_2,speaker_1,64.04,64.22,0.18,No.
seg_0019,SPEAKER_1,speaker_0,64.56,64.57,0.01,No.
seg_0020,SPEAKER_2,speaker_1,64.599,65.94,1.341,"They are really nice, they're really kind."
seg_0021,SPEAKER_1,speaker_0,65.97,67.06,1.09,Great. Do they ever send food back?
seg_0022,SPEAKER_2,speaker_1,67.8,68.0,0.2,No.
seg_0023,SPEAKER_1,speaker_0,68.2,68.24,0.04,No.
seg_0024,SPEAKER_2,speaker_1,68.3,68.62,0.32,Never.
seg_0025,SPEAKER_1,speaker_0,71.19,81.02,9.83,"The restaurant prepares the very best dishes to offer to the monastery, and every dish has to be perfect, like these savory dumplings known as moneybags. So that's a moneybag. And that's it."
seg_0026,SPEAKER_2,speaker_1,81.56,83.62,2.06,Yeah. So easy and simple.
seg_0027,SPEAKER_1,speaker_0,84.1,84.13,0.03,Uh-huh.
seg_0028,SPEAKER_2,speaker_1,84.18,84.84,0.66,Maybe you can try.
seg_0029,SPEAKER_1,speaker_0,85.6,94.66,9.06,"These dumplings are usually served as a starter. Pork and crab meat are wrapped in a delicate bean curd pastry, and the tops are tied with thin strips of spring onion. Now the shoelace."
seg_0030,SPEAKER_2,speaker_1,94.72,96.0,1.28,"Now is, uh, the next step."
