speaker,start,end,text
speaker_0,0.32,16.36,"It's been a busy week leading up to the nation's 250th anniversary, with major Supreme Court decisions and more primary upsets. To discuss all this further, we turn now to the analysis of Brooks and Capehart. That's The Atlantic's David Brooks and Jonathan Capehart of MS Now. Great to see you both."
speaker_1,16.44,16.86,"Hi, Amna."
speaker_0,16.9,47.5,"Let's begin with the Supreme Court. Closing out a term with some major decisions. A quick recap for everyone following along. Over the term, they handed the president some losses on signature issues like tariffs, birthright citizenship, mail-in ballots, that he couldn't fire a member of the Fed board, but they also said he could fire members of independent agencies. They upheld a state ban on trans women in sports. They sided with him on immigration restrictions. David, one common thread seems to be an expansion of executive authority given to President Trump. Is that a good thing?"
speaker_1,48.5,53.48,"Uh, no. But I, I would say, have to say on the big authoritarian power grabs Trump tried-"
speaker_0,53.52,53.62,Hm
speaker_1,53.98,70.46,"... whether it's the Fed Reserve, birthright citizenship, the tariffs, uh, whether he could put, uh, National Guard troops in Chicago against the local officials' interests, the Court, uh, stood up to Trump and slapped him back down. And the Court hates to take on a sitting president,'cause they don't wanna take on an elected official."
speaker_0,70.75,70.8,Hm.
speaker_1,70.88,92.42,"Remember, the Roberts Courts upheld Obamacare'cause they just didn't wanna upset what democracy had brought to us. And so I'd say on the big authoritarian power grabs, the Supreme Court did pretty good. And it is, this is grading on a very low curve, but it's the most effective branch of government we have right now. Uh, and so-... on, on the, um, on the Slaughter case, which was about the FTC and all those semi-independent agency-"
speaker_0,92.44,93.43,The firing of the commissioner of the FTC
speaker_1,93.43,94.179,"... the, the firing of the commissioners."
speaker_0,94.22,94.64,Yes.
speaker_1,94.68,105.27,"It's not my preference. I like the idea that starting mostly in the 1930s, uh, Federal Reserve was obviously earlier, that we set up some agencies that are protected from raw politics."
speaker_0,105.32,105.96,Yeah.
speaker_1,106.04,132.18,"And I think that was a good thing to do. But the, a, a significant branch of legal thinkers have thought, ""No, they're, uh, the, the, the administration is elected by a president. It should not be c- uh, cushioned off from democracy."" I think that's the wrong decision, but it's a reasonable decision. And so what the Court did on this Slaughter case with the FTC and all the other independent agencies was not my preference, but le- reasonable. And I'd have to say on the big issues of preserving our democracy-"
speaker_0,132.26,132.38,Mm
speaker_1,132.42,133.58,... the Supreme Court did okay this year.
speaker_0,133.82,137.42,"And the Slaughter case, we should also underscore, overturned 100-year-old precedent as-"
speaker_1,137.46,137.549,Right
speaker_0,137.56,139.9,"... as well. Uh, Jonathan, how did, how did you look at this?"
speaker_2,140.1,151.6,"Well, I don't know if the Supreme Court did, you know, okay by, um, democracy. I mean, David said, um, you thought that the Court didn't want to upset what democracy brought to us."
speaker_0,152.57,152.57,Yeah.
speaker_2,152.6,182.32,"Democracy brought to us the Voting Rights Act of 1965, and the Supreme Court just gutted it, decimated it. And states around the country, particularly in the South, moved quickly with the same speed, if not faster, than when the, the Court took the first whack at it in Shelby v, in Shelby v Holder. So, um, I'm not as cheerful when it comes to the Court in terms of, you know, standing, uh, yes, standing up to the president on the big authoritarian pieces."
speaker_0,182.4,182.52,Hm.
speaker_2,182.74,190.98,"But the VRA, um, and Chief, particularly Chief Justice Roberts really wanting to do, to do something to, to, to his mind correct it-"
speaker_0,191.24,191.38,Hm
speaker_2,191.5,219.62,"... predates President Trump. But the other thing about, about the Supreme Court's term is that, you know, a lot of the decisions that they made, you know, would've been nice if Congress were functioning and had actually, you know, exercised its Article 1 branch auth- powers to do some of these things. I mean, it's great that the judiciary is functioning, but it'd be really nice if, if the legislative branch started acting like a co-equal branch of government instead of the staffing arm of the executive."
speaker_0,219.64,263.42,"Well, let's talk a little bit about what could happen in the legislative branch, some of those primary upsets we talked about earlier.'Cause in the past few weeks, we have seen anti-establishment wins for Democratic candidates in particular. First to New York, we saw the Democratic Socialist candidate there, Daria Ilesa Vila Chevalier, unseat the five-term congressman, Adriano Espaillat. We also saw former New York Comptroller Brad Lander unseat representative Dan Goldman. Then in Colorado, we saw Democratic Socialist Milad Kirios oust a 30-year incumbent in Diana DeGette, and we saw the state AG, Phil Weiser there, who ran to the left of Senator Michael Bennett, beat him in the gubernatorial primary there. So David, you see New York and Colorado. Does two make a trend?"
speaker_1,263.9,267.7,"I think so. Uh, I think this is a big, the Colorado story's a bigger story than the New York story."
speaker_0,268.16,268.17,Hm.
speaker_1,268.17,271.3,"New York's my hometown. I love it, but Brooklyn hipsters and Columbia"
speaker_1,272.68,294.44,"U- University are not exactly normal America. Uh, but Colorado is Colorado. It's j- it's a semi-purplish state. Michael Bennett was elected three times to the US Senate statewide, and he lost, and then you had the Democratic Socialist candidate, uh, win. And what you see, it's been re- re- it's been compared, I think accurately, to when Dave Brat beat Eric Cantor in the Republican primary-"
speaker_0,294.66,294.71,Hm
speaker_1,294.76,385.768,"... and you saw a bunch of people said, ""These aren't my party. Screw'em. We're gonna tear it all down."" And, uh, in that case, and I think in this case, Democrats are, they're just looking around for the most furious candidate because they're furious at what's happened, and so they're doing that. And I understand the fury. My problem is the DSA, the Democratic Socialists of America, should not be where you go. The Democratic Socialist party was started in the 1980s by Michael Harrington, a very wonderful guy, a serious intellectual, and he wanted the, the DSA to s- to, you know, move us toward Da- Denmark, a perfectly good political position. Over the last five years, that party has been hijacked and taken over by an authoritarian wing which supported Hamas in s- uh, October 7th, who supports Cuba, who supports China, who supports Maduro's Venezuela, who supports pretty much every left-wing authoritarian regime in the country. So I, I understand wanting to register a protest against Washington, but are the Democrats really gonna take a position that we're gonna become left-wing authoritarians just as the Republicans become right-wing authoritarians? And the final thing to be said is the Democratic Party became great not by fighting the right. But by fighting the left. It was Hubert Humphrey in 1946 who pushed the communists out of the Democratic far, the DFL, the Democratic Farmer Labor Party. It was George Meany who pushed the communists out of the, uh, the labor movement, basically. And they defined who they were by pushing against the right, but also by pushing against the left. And we're gonna see if the Democratic mainstream has the guts, the conviction, or even the clarity of thought, to push against what's happening, and we'll see."
speaker_0,386.328,386.728,Jonathan.
speaker_2,388.228,390.708,"I'm not going to get, um,"
