speaker,start,end,text
speaker_0,1.04,69.78,"We spoke with a bipartisan group of mayors about how local governments can find common ground on solving some of the top problems facing Americans today, particularly affordability concerns like housing costs and energy prices. But for all four mayors, Democrats Eileen Higgins of Miami, Quinton Lucas of Kansas City, plus Republicans David Holt of Oklahoma City and Mark Freeman of Mesa, Arizona, it was clear that immigration has been near top of mind following the deadly shootings of protesters in Minneapolis and the tensions between federal and local governments nationwide. Here's part of our conversation. Mayor Freeman, we checked, 4% of the population in Arizona is undocumented according to Pew. As I understand it, you have limited cooperation with ICE, and you hand people over to federal authorities if they have an immigration infraction, but your local authorities picked them up for something else, right? That's what, in effect, that policy means. Why does that work for you when it doesn't work in places like Minneapolis and you have this high degree of tension and this standoff?"
speaker_1,71.62,110.78,"Well, I, personally, I think that's a great question, but I think there's some misinterpretation, excuse me, of it. Because in Mesa, we have a agreement with ICE, but however, it's only on, uh, infractions that may be a civil infract- infraction. And so we, we don't have a jail in Mesa, Arizona, so we go to a holding facility. And we've been working with ICE for, uh, since 2009 with an agreement that we found very, uh, successful with. But more importantly, what we're doing in Mesa, I've taken it, I've elevated it to the next level. We have, uh, Dia de m- Muertos, the Day of the Dead-"
speaker_0,110.96,110.97,Mm-hmm
speaker_1,110.97,133.38,"... that we have with our Hispanic, Latino community. We have El Grito, who's the, uh, liberation of Spain from Mexico. So we have these great, uh, experiences in Mesa, Arizona in our downtown area in cooperation with our Latino, uh, uh, Hispanic area. And I meet with our pastors as well to make sure that everything is going well on their end."
speaker_0,133.9,140.48,"Mm-hmm. And you don't feel the tension at the local level right now? Like, the debate we're having as a country."
speaker_1,140.54,141.16,"No, I don't feel-"
speaker_0,141.18,142.2,Are people talking about it?
speaker_1,142.74,151.16,"Yeah, they talk about it in our community, but I'm meeting with the people who are actually affected by it, and they find comfort in knowing that our city stands ready to support them."
speaker_0,152.04,156.25,"Uh, Mayor Holt, I, I wanna ask you about your city, but also in this leadership role you have."
speaker_2,156.269,156.269,Mm.
speaker_0,156.3,158.34,"Like, how are you counseling mayors-"
speaker_2,158.44,158.579,Hm
speaker_0,158.59,167.9,"... to, to go through this right now? This is a real pressure at the federal level to sometimes change local laws or state laws."
speaker_2,168.16,169.72,"Hm. Well, um,"
