segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,0.32,16.36,16.04,"It's been a busy week leading up to the nation's 250th anniversary, with major Supreme Court decisions and more primary upsets. To discuss all this further, we turn now to the analysis of Brooks and Capehart. That's The Atlantic's David Brooks and Jonathan Capehart of MS Now. Great to see you both."
seg_0001,SPEAKER_2,speaker_1,16.44,16.86,0.42,"Hi, Amna."
seg_0002,SPEAKER_1,speaker_0,16.9,47.5,30.6,"Let's begin with the Supreme Court. Closing out a term with some major decisions. A quick recap for everyone following along. Over the term, they handed the president some losses on signature issues like tariffs, birthright citizenship, mail-in ballots, that he couldn't fire a member of the Fed board, but they also said he could fire members of independent agencies. They upheld a state ban on trans women in sports. They sided with him on immigration restrictions. David, one common thread seems to be an expansion of executive authority given to President Trump. Is that a good thing?"
seg_0003,SPEAKER_2,speaker_1,48.5,53.48,4.98,"Uh, no. But I, I would say, have to say on the big authoritarian power grabs Trump tried-"
seg_0004,SPEAKER_1,speaker_0,53.52,53.62,0.1,Hm
seg_0005,SPEAKER_2,speaker_1,53.98,70.46,16.48,"... whether it's the Fed Reserve, birthright citizenship, the tariffs, uh, whether he could put, uh, National Guard troops in Chicago against the local officials' interests, the Court, uh, stood up to Trump and slapped him back down. And the Court hates to take on a sitting president,'cause they don't wanna take on an elected official."
seg_0006,SPEAKER_1,speaker_0,70.75,70.8,0.05,Hm.
seg_0007,SPEAKER_2,speaker_1,70.88,92.42,21.54,"Remember, the Roberts Courts upheld Obamacare'cause they just didn't wanna upset what democracy had brought to us. And so I'd say on the big authoritarian power grabs, the Supreme Court did pretty good. And it is, this is grading on a very low curve, but it's the most effective branch of government we have right now. Uh, and so-... on, on the, um, on the Slaughter case, which was about the FTC and all those semi-independent agency-"
seg_0008,SPEAKER_1,speaker_0,92.44,93.43,0.99,The firing of the commissioner of the FTC
seg_0009,SPEAKER_2,speaker_1,93.43,94.179,0.749,"... the, the firing of the commissioners."
seg_0010,SPEAKER_1,speaker_0,94.22,94.64,0.42,Yes.
seg_0011,SPEAKER_2,speaker_1,94.68,105.27,10.59,"It's not my preference. I like the idea that starting mostly in the 1930s, uh, Federal Reserve was obviously earlier, that we set up some agencies that are protected from raw politics."
seg_0012,SPEAKER_1,speaker_0,105.32,105.96,0.64,Yeah.
seg_0013,SPEAKER_2,speaker_1,106.04,132.18,26.14,"And I think that was a good thing to do. But the, a, a significant branch of legal thinkers have thought, ""No, they're, uh, the, the, the administration is elected by a president. It should not be c- uh, cushioned off from democracy."" I think that's the wrong decision, but it's a reasonable decision. And so what the Court did on this Slaughter case with the FTC and all the other independent agencies was not my preference, but le- reasonable. And I'd have to say on the big issues of preserving our democracy-"
seg_0014,SPEAKER_1,speaker_0,132.26,132.38,0.12,Mm
seg_0015,SPEAKER_2,speaker_1,132.42,133.58,1.16,... the Supreme Court did okay this year.
