segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,1.19,17.06,15.87,"Finland's economy has been Scandinavia's worst performer in recent years. It's been stagnating as it struggles with high unemployment, a housing slump, and rising public debt. But could AI and the growth of its defense industry help lift its economy?"
seg_0001,SPEAKER_1,speaker_0,32.88,54.1,21.22,"Hello, and welcome to Roundtable. I'm Enda Brady. Now, Finland's economy is finally showing some signs of life after almost two decades of poor growth. The country's real term GDP has failed to fully recover following the 2008 global financial crisis, and the economic fallout from the war in Ukraine hit Finland harder than other EU countries."
seg_0002,SPEAKER_2,speaker_1,56.16,68.56,12.4,"It's consistently ranked the happiest country in the world, but Finland has been one of Europe's weakest economic performers, weighed down by low growth, high unemployment, and rising public debt."
seg_0003,SPEAKER_2,speaker_1,70.26,103.93,33.67,"Its real term GDP has barely recovered from its pre-pandemic level in 2019, and it still hasn't bounced back from the 2008 global financial crisis. And this consistently weak economic growth has sparked record levels of unemployment, passing 11% in April this year. A big part of the slowdown traces back to the decline of the country's telecoms giant Nokia after it failed to harness the new era of smartphones when Apple launched the iPhone in 2007."
seg_0004,SPEAKER_2,speaker_1,105.72,114.22,8.5,"The war in Ukraine disrupted both trade and energy ties with what was one of Finland's biggest trading partners, its neighbor Russia."
seg_0005,SPEAKER_3,speaker_2,114.86,129.08,14.22,"There were almost two million border crossings yearly at the border crossing point at Vaasa, and now there are none. This had an immediate impact on businesses. Companies have found themselves in a very difficult position as they have had to adapt to this situation."
seg_0006,SPEAKER_2,speaker_1,129.16,141.42,12.26,"There are fresh signs the long slump may be easing. GDP grew by almost 1% in the first quarter of 2026 compared to the previous three months, the fastest pace since 2021."
seg_0007,SPEAKER_2,speaker_1,143.24,162.58,19.34,"The recovery is partly being driven by defense spending, which is feeding through to the wider economy through investment, procurement, and tax revenues. That said, Finland's problems have not vanished and while the latest data are encouraging, policy makers still face the challenge of making this recovery durable."
seg_0008,SPEAKER_2,speaker_1,163.96,172.64,8.68,"After years of underperformance, Finland's economy is finally perking up and the world's happiest country could get even happier."
seg_0009,SPEAKER_1,speaker_0,175.94,211.9,35.96,"Well, let's bring in our guests for this one. I'm delighted to say joining us from Helsinki, we have Teuvo Teivainen. He is chair of the Finnish National Commission for UNESCO. Also, in the Finnish capital, we have Sakari Laudemäki. He is doctor of economics at ETLA Economic Research. And here with me in the studio, we have Daniel Kral. He is lead economist at Oxford Economics. You're all very welcome to Roundtable. Teuvo, to you first of all, we always hear that Finland is such a happy place to live, the Fins are such happy people. Your economy has been quite unhappy for some, some long time now."
