speaker,start,end,text
speaker_0,0.16,7.26,"Yeah, AI, I, I hate the word AI, called artificial intelligence. I call it Alibaba intelligence."
speaker_1,7.86,8.1,Yeah.
speaker_1,9.64,12.46,"M- might, might end up being true. You never know. Um,"
speaker_1,14.54,16.64,"barely getting any information out, basically, with speech."
speaker_0,17.14,37.36,"Yeah. I'm always amazed by the, what you're vision about the technology. I'm not a tech guy. I think more about life. I think AI is going to open a new chapter of the society, of the world, that people try to understand ourself better, rather than the outside world."
speaker_0,38.92,42.56,"And, uh, it's so difficult to predict the future."
speaker_0,44.3,51.06,"99.99% of the predictions that human being had in the history about the future, all wrong."
speaker_1,52.14,52.76,Including that one?
speaker_0,53.06,62.16,"Oh, yeah. Only, you know, the, the 0.00%-... of the prediction are right. They're right because by accident."
speaker_1,63.2,65.6,"Y- yeah, but it's also true that 80% of statistics are false."
speaker_0,66.14,69.2,Yeah. So my meaning is that-
speaker_1,69.21,70.66,"It's a cold room. Come on, guys. It was a joke."
speaker_0,73.6,82.72,"But is, I'm happy about the, uh, artificial- People worry a lot about this today, are those people, I call them, called, um, uh,"
speaker_0,84.18,95.0,"called college smartness. People like us, street smart, we never scared of that. We, we think it's a great fun, and we want to change ourself to embrace it."
speaker_1,95.64,97.38,"I don't know, man. That's like famous last words."
speaker_1,98.86,107.58,"Is... Let me tell you. Like, you couldn't evolve silicon circuits. You need, they needed to be, uh, biology to get there."
speaker_0,110.08,110.32,Good.
speaker_1,110.92,112.12,Yeah.
speaker_0,112.18,119.64,"Well, let's talk about something fun. I... What do you think about that? I, I, actually, I'm not interested in, uh, Mars. I just came back from there, so."
speaker_1,122.02,133.12,"I'm more interested on the Earth, the things, what's going on happening here. So what, why you are so curious about the Mars? Just, uh, one step, you go to Mars, but you will never be able to come back. Yeah, that, that's-"
speaker_0,133.13,133.72,"Well, that's my view"
speaker_1,133.76,134.73,"... that's not how it works, though. Uh."
speaker_0,134.78,135.329,"And, uh,"
speaker_0,137.44,138.03,"also, also I-"
speaker_1,138.03,138.4,"No, don't do it."
speaker_0,139.769,147.44,"Yeah. I hate to go to Himalayas too. I mean, when you climb on the... I think someday I will go there. When the elevator's ready, I will go to have a look."
speaker_1,148.54,148.74,Wow. But I-
speaker_0,148.769,152.74,"So that's my view. About jobs, don't worry about it. We, you will have jobs."
speaker_1,155.96,156.98,Yeah.
speaker_1,158.56,158.87,"I, I,"
speaker_1,160.72,184.5,"I mean, I think... Man, you, you think of, like, technology, like, technology and technology awareness, there's like, it's like, if there was, like, a topological map of technology awareness, and it's mostly flat but with a few short buildings, and then some very tall spires. Very tall spires. And unless you're on that very tall spire, it's not obvious what the topology is."
speaker_0,186.84,193.5,Yeah. I never worry about the things that I cannot solve. I let other people to solve it.
speaker_1,193.549,193.549,Sure.
speaker_0,193.6,204.88,"If nobody can solve it, just let it be. That's my life. Oh, let's talk about education. I'm, uh, quite interesting about education. Computer only have chips. Men have the heart."
speaker_0,206.22,214.28,"It's the heart where the wisdom comes from. So I think that's my view, and don't worry about it. We will change it."
speaker_1,216.84,219.59,"Yeah. Yeah, that's cool. Yeah. Thanks. Um."
speaker_0,219.62,259.04,"So I never in my life, and e- especially last two years when people talk about, uh, AI, say, uh, human, human being will be controlled by machines, I never think about that. I think it's, it's, it's, it's impossible. Right? It's impossible'cause,'cause human beings, they are different. Machines are invented by human beings. And according to the science, right, humans can never create another animal that is smarter than humans. Especially when you have so many smart people, it's impossible to make another smart people."
speaker_1,259.34,260.6,"I, I very much disagree with that."
speaker_0,260.82,261.06,Okay.
speaker_1,261.28,261.399,Yeah.
speaker_0,261.74,262.2,That's good.
speaker_1,263.02,265.2,"Yeah. Um, but, um-"
speaker_0,265.28,273.28,"Okay. Yeah, my view is that, um, computer may be clever, but human being are much smarter."
speaker_1,274.2,274.74,"Yeah, definitely not."
speaker_0,274.88,290.76,"Clever is very academic. So I told those guys, they are very sad. Say, ""Ah, computer will be smarter than human beings because computer can play chess better."" Ah, I think you are stupid to compete with that. Don't do that."
speaker_0,292.54,294.29,"So this is, this is-"
speaker_1,294.32,294.33,Well-
speaker_0,294.33,296.02,We will always do things we are good at.
speaker_1,296.26,303.76,"Sure. Okay. Well, what would be an example of something that humans are better than a computer at, and, and then let's see if that happens."
speaker_0,305.08,325.56,"Well, humans... Computer is only one of the clever tools that human created. And hu- computers are s- are clever, but there will be more tools that human beings will created much clever than computers. That's my view."
speaker_1,328.24,328.92,Yeah. O- okay.
speaker_0,329.18,336.02,"Q, right? In the future, if you wanna survive in this world, you have to be the LQ, the Q of love."
speaker_0,337.66,342.08,"That's important too. Otherwise, you cannot survive in artificial intelligence time."
speaker_0,343.32,343.4,Uh.
speaker_1,343.42,344.96,"Well, I agree with love is the answer."
speaker_0,345.14,345.32,Yeah.
speaker_1,345.62,346.38,There's many songs about that.
