segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,0.1,17.0,16.9,"Here's how it works. In front of each of us are two envelopes containing confessions. One is true, and the other is a lie. Once you read the confession, the two other players get to interrogate you. They have to come to a unanimous decision. Is it the truth, or is it the lie? Uh, Billie, you'll go first. Colin, which envelope should she open?"
seg_0001,SPEAKER_2,speaker_1,17.36,18.7,1.34,"Mm, uh, two."
seg_0002,SPEAKER_1,speaker_0,19.94,20.66,0.72,Mm. Mm-hmm.
seg_0003,SPEAKER_3,speaker_2,20.78,21.16,0.38,This?
seg_0004,SPEAKER_1,speaker_0,21.36,22.86,1.5,Mm. Numero dos.
seg_0005,SPEAKER_3,speaker_2,24.76,25.06,0.3,Wait.
seg_0006,SPEAKER_1,speaker_0,26.55,27.64,1.09,That's how you open an envelope?
seg_0007,SPEAKER_3,speaker_2,27.86,28.24,0.38,Shut up.
seg_0008,SPEAKER_3,speaker_2,29.58,30.94,1.36,"Oh, it's open on the bottom."
seg_0009,SPEAKER_1,speaker_0,31.0,31.16,0.16,Yeah.
seg_0010,SPEAKER_3,speaker_2,32.9,33.91,1.01,"Okay, are you ready for this?"
seg_0011,SPEAKER_1,speaker_0,34.36,35.12,0.76,Okay. Wow.
seg_0012,SPEAKER_3,speaker_2,35.62,37.41,1.79,That is a strong case.
seg_0013,SPEAKER_1,speaker_0,37.46,38.25,0.79,"Strong fake cigarette, yeah."
seg_0014,SPEAKER_3,speaker_2,38.34,38.74,0.4,Um-
seg_0015,SPEAKER_3,speaker_2,40.0,45.7,5.7,"So, I once farted in my friend's mouth while she was yawning, and she threw up."
seg_0016,SPEAKER_1,speaker_0,48.52,49.44,0.92,"All right, what year was this?"
seg_0017,SPEAKER_3,speaker_2,53.68,58.86,5.18,"Um, it was, um, I was 12, so I, it was-"
seg_0018,SPEAKER_1,speaker_0,59.0,59.38,0.38,Last year
seg_0019,SPEAKER_3,speaker_2,59.84,60.49,0.65,... eight.
seg_0020,SPEAKER_1,speaker_0,60.949,60.949,0.0,Yeah.
seg_0021,SPEAKER_3,speaker_2,60.949,60.949,0.0,"But, uh-"
seg_0022,SPEAKER_1,speaker_0,60.98,62.04,1.06,"So it was last year. Okay, great"
seg_0023,SPEAKER_3,speaker_2,62.14,64.06,1.92,... it was 2014.
seg_0024,SPEAKER_1,speaker_0,64.099,64.29,0.191,"Okay, okay."
seg_0025,SPEAKER_3,speaker_2,64.3,64.31,0.01,I was 12.
seg_0026,SPEAKER_1,speaker_0,64.31,65.26,0.95,"And where, where were you?"
seg_0027,SPEAKER_3,speaker_2,65.74,66.4,0.66,I was in my yard.
seg_0028,SPEAKER_1,speaker_0,66.96,67.88,0.92,"Out back, in your backyard?"
seg_0029,SPEAKER_3,speaker_2,67.92,69.62,1.7,"Yeah, in my backyard. In my backyard."
seg_0030,SPEAKER_2,speaker_1,70.08,70.58,0.5,Daytime?
seg_0031,SPEAKER_3,speaker_2,70.86,71.02,0.16,Yeah.
seg_0032,SPEAKER_1,speaker_0,71.92,73.76,1.84,"No, they were at nighttime in the backyard. What are you-"
seg_0033,SPEAKER_1,speaker_0,75.56,76.23,0.67,"Camping, you think they were camping?"
seg_0034,SPEAKER_2,speaker_1,76.24,76.85,0.61,"Well, yeah, he-"
seg_0035,SPEAKER_1,speaker_0,76.88,79.65,2.77,"What were you doing, like wrestling or fooling around or doing gymnastics?"
seg_0036,SPEAKER_3,speaker_2,80.11,80.11,0.0,Um-
seg_0037,SPEAKER_2,speaker_1,80.13,80.3,0.17,Whoa
seg_0038,SPEAKER_3,speaker_2,80.36,84.6,4.24,"... I was, so I was, it was like, there was a, there was a, a table, and she was sitting."
seg_0039,SPEAKER_1,speaker_0,85.0,85.26,0.26,"Oh, please."
seg_0040,SPEAKER_3,speaker_2,85.32,88.94,3.62,"I was standing here. So she was sitting, like facing this way. I was standing here facing that way."
seg_0041,SPEAKER_1,speaker_0,89.3,89.56,0.26,Okay.
seg_0042,SPEAKER_3,speaker_2,89.9,90.5,0.6,She was eating.
seg_0043,SPEAKER_1,speaker_0,90.64,91.66,1.02,And where's the table? Say I'm the table.
seg_0044,SPEAKER_3,speaker_2,91.7,92.84,1.14,The table's here.
seg_0045,SPEAKER_1,speaker_0,92.87,92.87,0.0,Yeah.
seg_0046,SPEAKER_3,speaker_2,92.92,94.4,1.48,So she was facing the other way.
seg_0047,SPEAKER_1,speaker_0,94.48,94.78,0.3,Okay.
seg_0048,SPEAKER_2,speaker_1,94.83,95.1,0.27,What was she eating?
seg_0049,SPEAKER_3,speaker_2,95.52,95.92,0.4,Pizza.
seg_0050,SPEAKER_2,speaker_1,96.36,96.74,0.38,Pizza.
seg_0051,SPEAKER_1,speaker_0,96.78,97.7,0.92,Daytime pizza.
seg_0052,SPEAKER_3,speaker_2,99.26,100.6,1.34,You want some nighttime pizza? Like...
seg_0053,SPEAKER_1,speaker_0,100.64,105.34,4.7,That's kind of nighttime. All right. Kind of running out of time here. I don't know. We didn't even ask enough questions.
seg_0054,SPEAKER_2,speaker_1,105.4,105.41,0.01,Okay.
seg_0055,SPEAKER_1,speaker_0,105.41,107.15,1.74,"Wait, so, and are you friends with her today?"
seg_0056,SPEAKER_3,speaker_2,108.24,109.46,1.22,"Yeah, sorta."
seg_0057,SPEAKER_1,speaker_0,110.74,111.72,0.98,Was it weird after that?
seg_0058,SPEAKER_2,speaker_1,111.73,111.87,0.14,That is-
seg_0059,SPEAKER_3,speaker_2,112.46,113.53,1.07,It was so funny.
seg_0060,SPEAKER_3,speaker_2,115.19,115.7,0.51,So funny.
seg_0061,SPEAKER_1,speaker_0,115.78,116.68,0.9,What do we think? I think-
seg_0062,SPEAKER_2,speaker_1,117.64,117.73,0.09,I think-
seg_0063,SPEAKER_1,speaker_0,117.73,118.0,0.27,I think
seg_0064,SPEAKER_2,speaker_1,118.72,119.33,0.61,... true.
seg_0065,SPEAKER_1,speaker_0,119.6,120.07,0.47,"Yeah, I think true."
seg_0066,SPEAKER_3,speaker_2,120.29,120.29,0.0,Oh.
seg_0067,SPEAKER_1,speaker_0,120.34,121.69,1.35,I think it sounds like something that weirdly-
seg_0068,SPEAKER_3,speaker_2,121.76,122.34,0.58,Yeah.
seg_0069,SPEAKER_1,speaker_0,123.26,123.69,0.43,Is it true?
seg_0070,SPEAKER_3,speaker_2,124.34,125.36,1.02,"Uh, yes."
seg_0071,SPEAKER_1,speaker_0,128.8,134.609,5.809,"Whoa. Oh, man. Oh my God. That just, but why did you do that? Did you do that on- What, why did you do that? Was that on purpose?"
seg_0072,SPEAKER_3,speaker_2,134.7,139.92,5.22,"It was silent. Listen, it was silent. I did not think it would be bad, but you know those are always the worst ones, you know?"
seg_0073,SPEAKER_2,speaker_1,139.98,140.24,0.26,That's right.
seg_0074,SPEAKER_1,speaker_0,140.36,141.62,1.26,"See, you got it. Alright, here we go."
seg_0075,SPEAKER_3,speaker_2,141.72,142.299,0.579,That's the problem.
seg_0076,SPEAKER_1,speaker_0,142.36,145.36,3.0,"Which envelope should I open? Which, uh- Truth or lie, what do you think?"
seg_0077,SPEAKER_2,speaker_1,145.54,145.62,0.08,Uh-
seg_0078,SPEAKER_1,speaker_0,145.64,146.76,1.12,Billie? Colin?
seg_0079,SPEAKER_3,speaker_2,148.62,149.9,1.28,"Uh, uh, one."
seg_0080,SPEAKER_1,speaker_0,150.2,150.3,0.1,Yeah.
seg_0081,SPEAKER_3,speaker_2,150.54,150.59,0.05,One.
seg_0082,SPEAKER_1,speaker_0,150.62,152.4,1.78,"Doesn't really matter,'cause I'm such a good actor."
seg_0083,SPEAKER_3,speaker_2,152.54,153.769,1.229,"Whoa. Whoa, whoa."
seg_0084,SPEAKER_3,speaker_2,156.46,156.9,0.44,Shut up.
seg_0085,SPEAKER_2,speaker_1,157.02,158.28,1.26,Ever see a little movie called Taxi?
seg_0086,SPEAKER_1,speaker_0,161.24,166.44,5.2,"Okay, here we go. Uh, oh, I got fired from my job at the supermarket for pretending to be French."
seg_0087,SPEAKER_3,speaker_2,170.18,170.46,0.28,When?
seg_0088,SPEAKER_1,speaker_0,171.02,173.67,2.65,"Uh, this is, I was 15, so I'd probably say this is, yeah, 30 years ago."
seg_0089,SPEAKER_2,speaker_1,173.7,175.2,1.5,"What, what was the name of the supermarket?"
seg_0090,SPEAKER_1,speaker_0,175.72,177.96,2.24,"Oddly, it was Great American, was the name of the supermarket."
seg_0091,SPEAKER_3,speaker_2,178.02,179.64,1.62,Can you repeat what happened?
seg_0092,SPEAKER_1,speaker_0,179.7,182.02,2.32,I got fired from my job for pretending to be French.
seg_0093,SPEAKER_3,speaker_2,183.5,184.72,1.22,Why were you pretending to be French?
seg_0094,SPEAKER_1,speaker_0,184.84,185.86,1.02,I was bored.
seg_0095,SPEAKER_3,speaker_2,185.92,186.24,0.32,You were bored.
seg_0096,SPEAKER_1,speaker_0,186.36,189.78,3.42,"I was bored. I was putting stickers on canned, canned foods."
seg_0097,SPEAKER_3,speaker_2,190.03,190.03,0.0,Putting stickers on cans.
seg_0098,SPEAKER_1,speaker_0,190.04,193.16,3.12,"I was bored, and people would ask me questions, and I'd be like, ""No."""
seg_0099,SPEAKER_1,speaker_0,195.28,200.64,5.36,"No. And then some, sometimes people would ask me for something, I'd go, ""Uh, you want,"" and I would point to French dressing."
