speaker,start,end,text
speaker_0,0.1,1.18,We've been riding with the police-
speaker_1,1.21,1.21,Yes
speaker_0,1.21,2.12,"... a little bit, you know that."
speaker_1,2.26,3.74,"They've been telling you about us, right?"
speaker_0,3.78,7.51,"They told me that you run things round here, and that you control the flow of drugs around here."
speaker_1,7.58,10.56,"No, no. That's, that's wrong, man. That's wrong."
speaker_0,11.24,14.7,"The, what's the story with your chain? Is that, are those, are those real diamonds?"
speaker_1,18.3,18.72,Yes.
speaker_2,19.1,19.63,They are.
speaker_0,19.63,20.84,Are they? How much for something like that?
speaker_1,21.86,23.52,"Like, couple, couple grand."
speaker_0,24.06,24.58,Couple of grand?
speaker_1,24.82,24.96,Yeah.
speaker_0,25.04,27.04,"If those are diamonds, that must be quite a bit more than that."
speaker_1,27.08,27.98,"Yes, it is."
speaker_0,28.2,28.74,How much?
speaker_1,29.34,30.32,Probably 24.
speaker_0,30.74,32.32,"24,000? Maybe a bit more?"
speaker_1,32.619,34.24,"Maybe a, the gold is higher now."
speaker_0,34.74,35.339,"How much, then?"
speaker_1,35.54,36.58,"Probably, like, 25."
speaker_0,37.44,38.32,How do you make your living?
speaker_1,38.76,49.24,"Well, look, I, look, s- real estate. We, we sell cars, and everything, you know. Look, this is my daughter right here. You know what I mean?"
speaker_0,49.3,49.58,Really?
speaker_1,49.74,54.32,"Yes. This is my daughter. She's seven years old. We're not doing nothing bad, man."
speaker_0,55.22,57.52,"If I asked one of those police what you do, what would he say?"
speaker_1,58.16,63.82,"That, that, that, that I'm a, that I, that I, whatever. I don't know. What, they got they own opinion."
speaker_0,64.22,66.34,"They'd say that, they'd say that you're a big time drug dealer."
speaker_1,67.14,72.679,"I'm not, man. For real, man. I, look, I, look, I pay rent."
speaker_0,72.94,74.75,"In your opinion, why do they have that view of you?"
speaker_1,74.8,76.52,Because they see me every day out here.
speaker_0,77.34,77.35,Yeah.
speaker_1,77.42,77.7,And-
speaker_0,77.78,78.86,"On the streets, on the corner?"
speaker_1,78.88,79.76,"O- on the corner, but-"
speaker_0,80.17,80.17,What-
speaker_1,80.22,81.6,I live right around the corner.
speaker_2,82.62,83.02,"Oh, milk."
speaker_1,84.24,91.6,"Yeah, man, look, we, look, these animals was gonna be butchered, and I think I did a good deed. I think God is seeing this."
speaker_0,92.18,93.88,"Joel, what's the story with your watch?"
speaker_2,94.4,95.12,Huh?
speaker_1,98.18,98.78,That watch?
speaker_0,98.86,101.44,"Let me see that. How much for something like that, Joel?"
speaker_2,101.78,103.07,"Uh, I only paid"
speaker_2,104.28,104.58,200.
speaker_1,104.59,104.59,Probably-
speaker_0,104.59,104.82,200 what?
speaker_2,105.12,105.38,Yeah.
speaker_1,105.44,105.89,$200.
speaker_0,106.3,106.94,$200?
speaker_2,107.02,107.38,Yes.
speaker_1,108.22,108.64,"You know, yeah."
speaker_0,108.66,111.1,"Did it cost more than two, did it cost more than $200?"
speaker_2,111.24,112.64,"Yeah, it cost more than 200."
speaker_0,112.88,113.32,How much?
speaker_1,114.46,115.26,A couple dollars.
speaker_2,115.87,115.88,Yeah.
speaker_0,115.9,118.68,"Like, maybe, what, more than, like, $20,000?"
speaker_1,118.84,119.06,No.
speaker_2,119.42,119.43,No.
speaker_1,119.46,120.3,"What, for the chain?"
speaker_2,120.34,120.93,"Oh, no. No."
speaker_0,120.94,121.96,"Yeah, but what about for the chain?"
speaker_2,122.04,123.38,"He paid the 100,000 for that."
speaker_1,123.44,124.24,"No, no."
speaker_0,132.5,133.56,Have you ever shot anyone?
speaker_1,134.42,140.2,"No. No, I never shot nobody. You know what I mean? I never shot nobody."
speaker_0,140.98,142.56,"Did you ever hurt anyone, physically?"
speaker_1,143.16,145.02,"Oh, always, yeah."
speaker_0,145.14,145.769,"You have been, mm-hmm."
speaker_1,145.78,156.94,"Yeah, we always beat people up. I'm not gonna lie to you. We always fight for family problems, you know. Sometimes you do what you gotta do to survive, man."
speaker_0,157.22,158.78,Did you stomp on that girl's head?
speaker_1,159.06,178.92,"No, I did not stomp on that girl's head. She'll tell you herself. I did not touch that girl. That's why I came out and they locked me up. But I ain't stomp on that girl head. They said I did,'cause everybody say stuff, but the detectives found out that I was telling the truth, and that's why they let me go."
speaker_0,179.32,186.58,"They'd probably say that the witnesses were scared because you, you command a lot of respect out here on the street, and that people would be afraid to testify."
speaker_1,187.0,194.66,"No. Honestly, nah. Honestly, nah.'Cause, look, look, I'm about to leave out of this shit hole soon."
speaker_1,195.88,206.74,"There's gonna be m- more worser people than me, all right? Once, once w- w- whatever they say, there's gonna be worser people a- and there's gonna be more problems."
speaker_0,206.88,207.6,More hitters.
speaker_1,207.7,209.16,"Yeah.'Cause, look,"
speaker_1,210.42,216.18,"everything is going good, man. Ain't nobody doing nothing wrong, man, look. You see somebody doing something wrong? No."
speaker_0,216.7,221.88,"You think it's good to have someone who's, who, who controls a bit of the area so that he can keep the peace a little?"
speaker_1,221.9,225.36,"Yes. I think that's, that's, that play a part in, in society."
speaker_0,225.4,227.24,"Rather than have smaller, little factions-"
speaker_1,227.25,228.86,"Yes. Yeah,'cause everybody wanna do what-"
speaker_0,228.97,229.049,... fighting each other out
speaker_1,229.049,237.78,"... exactly,'cause then everybody wanna do whatever, anything anybody wanna do, and that's when chaos come. Somebody gotta have control of something."
