speaker,start,end,text
speaker_0,0.24,13.26,"I'm here with Kate McKinnon. Her new movie, Rough Night, is in theaters next Friday. Don't drink, it's a prop. Kate and I are about to play a game of deception called True True Confession Session."
speaker_0,22.14,30.56,"First we're gonna need another player to fill out this table, and we found a good one. He's the host of American Grit on Fox. Please welcome John Cena. Whoo."
speaker_0,34.22,35.56,Don't drink that.
speaker_0,37.7,41.85,It's a prop. It's a prop. This is a prop. This is supposed to be like a detective envelope.
speaker_3,41.85,42.69,"God, it's urine."
speaker_0,42.74,44.919,"Don't, don't... That's not urine."
speaker_3,44.949,44.949,Ugh.
speaker_0,44.98,63.54,"Guys, here's how the game works. In front of each of us are two envelopes containing confessions sessions. One of the envelopes is something that actually happened to us in real life. The other envelope is a lie. Once you read your confession, the other two have 60 seconds to interrogate you, then each of us have to guess whether you've been telling the truth or lying. John, you'll go first."
speaker_3,63.98,64.86,This is complicated.
speaker_0,64.94,67.86,"Kate, which envelope should he open? Which envelope?"
speaker_1,68.44,68.55,One.
speaker_0,68.55,69.58,One. Mm.
speaker_3,71.34,71.63,"Hold on, I-"
speaker_0,71.66,72.7,Envelope number one.
speaker_3,72.88,75.06,"I don't want you to see anything here. Okay, um."
speaker_0,75.14,76.36,You're gonna have to read it to us anyway.
speaker_3,78.14,87.64,"Okay, so I, I just, I read what's on the card. Okay, fair enough. Uh, ""I was once hit by a car while riding my bike and the driver was my girlfriend."""
speaker_0,89.25,89.5,Mm-hmm.
speaker_3,89.79,90.06,"Mm, that's it."
speaker_0,90.44,90.86,What was her name?
speaker_3,91.5,92.24,My name is John Cena.
speaker_0,92.36,93.34,"No, what's her name?"
speaker_3,95.98,96.86,"That is, uh..."
speaker_3,98.62,100.38,That's enough questions out of you. I already told you my name.
speaker_1,101.5,103.84,Were you dating at the time of the hit?
speaker_3,103.96,104.14,Yes.
speaker_0,104.92,106.72,And why were you riding your bike and she was in the car?
speaker_3,107.08,110.16,"'Cause as a young man, I fancied myself physically fit."
speaker_0,111.48,115.36,"You wouldn't travel in other, any transportation but bicycling?"
speaker_3,115.58,119.15,"I, there's enough horsepower in this body to bicycle around West Newbury just fine."
speaker_1,122.36,125.62,Did she cry when she found that she'd injured her one true love?
speaker_3,125.94,128.28,"Uh, nope, and that was the abrupt end of the relationship."
speaker_0,130.07,130.07,Oh.
speaker_3,130.08,130.16,Yeah.
speaker_0,130.19,130.4,Huh.
speaker_1,130.65,130.65,Huh.
speaker_0,130.68,132.06,"Okay. That, that was a good question."
speaker_1,132.1,133.52,What sort of bike was it?
speaker_3,133.84,134.66,It was a 10-speed.
speaker_0,134.84,135.2,What color?
speaker_3,135.58,136.04,It was maroon.
speaker_0,136.14,136.8,What year?
speaker_3,137.1,138.02,It was 1994.
speaker_1,138.2,139.57,What grade were you in in school?
speaker_3,139.82,141.16,I was just entering college.
speaker_1,142.62,143.62,Where was the accident?
speaker_0,143.91,143.91,True.
speaker_3,144.48,148.58,"It was, it was, uh, on a small street outside of Route 113, West Newbury, Massachusetts."
