speaker,start,end,text
speaker_0,0.38,0.85,How are you?
speaker_1,0.85,1.44,"Good to see you, Gordon Ramsay."
speaker_2,1.52,2.24,"Welcome, Norm Macdonald."
speaker_0,2.25,3.01,"How you doing, man?"
speaker_1,3.04,3.9,"Okay, good. Now-"
speaker_2,3.949,6.979,"You're gonna show both of us, uh, how to cook something fantastic today. Is that correct?"
speaker_1,7.01,13.38,"Yes. We're gonna do an, the most amazing red mullet with some fennel, orange, and on the back of how bad you were last time, this is gonna be cooked in a bag."
speaker_2,13.66,14.78,"Uh, okay. We're gonna cook this in a bag."
speaker_1,14.82,15.04,Yes.
speaker_2,15.26,16.919,"You are known, you clap your hands a lot."
speaker_1,16.94,17.13,Yes.
speaker_2,17.14,19.16,You yell at people. You're intimidating.
speaker_1,19.17,19.17,Uh-
speaker_2,19.18,20.22,This is gonna go very badly.
speaker_1,20.26,21.16,As well as you two guys.
speaker_2,21.3,21.41,All right.
speaker_1,21.41,21.68,"No, come on."
speaker_2,21.8,22.14,Very good.
speaker_1,22.19,24.76,"Uh, right. First thing I want you to do is to segment an orange."
speaker_2,24.84,24.93,All right.
speaker_1,24.93,25.52,"Okay, Norm?"
speaker_0,25.9,26.16,Yeah?
speaker_1,26.4,27.8,Wakey-wakey. Okay.
speaker_0,28.1,30.9,"Well, no- no one else in the world says segment an orange."
speaker_2,31.57,31.57,Yeah.
speaker_1,31.62,31.78,Okay.
speaker_2,31.88,34.5,"You just cut the edges off. That's what you want, right? You want the-"
speaker_1,34.53,36.3,"No, no, you've already started the wrong end. Look, that's the bit there."
speaker_2,36.44,37.83,All right. All right. Okay.
speaker_1,37.92,41.19,So just top and tail it like that. Look. Come on. Wake up. Stay with me.
speaker_0,41.26,42.78,"I'm up, I'm up to four segments."
speaker_1,43.46,45.3,"So, so. Now-"
speaker_0,45.34,46.91,Why? You didn't tell me a number of segments.
speaker_1,47.0,48.05,"No, no, no, no, no."
speaker_2,48.06,50.24,"He wants the edges off, I think."
speaker_0,50.64,51.2,"One way or another, I'm gonna."
speaker_2,52.26,53.52,"Hey, hey, hey, hey, hey, hey! Hey!"
speaker_1,55.42,55.56,Right.
speaker_0,55.6,55.61,What?
speaker_1,55.64,56.1,Okay.
speaker_0,56.14,56.31,I got it.
speaker_1,56.36,58.38,"Norm, so you go from there. Look, all the way around."
speaker_0,58.48,58.58,Yeah.
speaker_1,58.84,58.92,Yes.
speaker_2,59.06,61.16,Seven minutes of audio will play for this whole hour.
speaker_1,61.22,63.37,"Now, all the way there. Once you've gone all the way around-"
speaker_2,63.37,63.96,Between you two guys.
speaker_0,63.98,64.03,Yeah.
speaker_2,64.03,64.72,"All right, here we go. Yeah."
speaker_1,64.92,66.17,"Uh, Conan, pay attention, please. Watch."
speaker_2,66.19,66.759,"Yeah, all right. I'm over here."
speaker_1,66.77,66.77,Okay.
speaker_2,66.96,67.94,I've got my own orange going. All right.
speaker_1,67.95,70.06,"Okay, watch. All the way around. So take off the skin."
speaker_2,70.44,70.45,"Uh, uh."
speaker_1,70.46,70.89,And then from there-
speaker_0,71.06,71.8,You're not teaching me
speaker_1,71.82,71.84,... now-
speaker_0,71.85,72.76,You're just showing up
speaker_1,73.64,76.3,"... yeah. And then, and then from there, that's a segment."
speaker_2,76.32,77.1,There you go. All right.
speaker_1,77.22,77.36,There you segment.
speaker_2,77.42,78.42,Cheerio and chop-chop.
speaker_1,78.49,78.49,Left and right.
speaker_2,78.49,78.91,There we go. All right.
speaker_1,78.94,79.26,Off you go.
speaker_0,79.34,79.39,I'll do that.
speaker_1,79.39,79.98,Now watch your fingers.
speaker_0,80.3,80.82,I'll do that.
speaker_1,81.0,81.02,Now.
speaker_2,81.06,81.22,All right.
