segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,ANTON_CHIGURH,speaker_0,8.78,9.26,0.48,How much?
seg_0001,GAS_STATION_PROPRIETOR,speaker_1,10.3,12.08,1.78,69 cent.
seg_0002,ANTON_CHIGURH,speaker_0,12.12,12.74,0.62,And the gas.
seg_0003,GAS_STATION_PROPRIETOR,speaker_1,13.84,15.8,1.96,Y'all getting any rain up your way?
seg_0004,ANTON_CHIGURH,speaker_0,17.42,18.42,1.0,What way would that be?
seg_0005,GAS_STATION_PROPRIETOR,speaker_1,18.74,20.32,1.58,I seen you was from Dallas.
seg_0006,ANTON_CHIGURH,speaker_0,22.94,25.78,2.84,"What business is it of yours where I'm from,"
seg_0007,ANTON_CHIGURH,speaker_0,27.72,28.28,0.56,friendo?
seg_0008,GAS_STATION_PROPRIETOR,speaker_1,31.0,32.61,1.61,I didn't mean nothing by it.
seg_0009,ANTON_CHIGURH,speaker_0,32.74,33.86,1.12,You didn't mean nothing.
seg_0010,GAS_STATION_PROPRIETOR,speaker_1,34.94,36.32,1.38,Just passing the time.
seg_0011,GAS_STATION_PROPRIETOR,speaker_1,38.66,41.98,3.32,"If you don't wanna accept that, I don't know what else I can do for you."
seg_0012,GAS_STATION_PROPRIETOR,speaker_1,45.36,46.52,1.16,Will there be something else?
seg_0013,ANTON_CHIGURH,speaker_0,46.94,48.54,1.6,I don't know. Will there?
seg_0014,GAS_STATION_PROPRIETOR,speaker_1,55.3,56.14,0.84,Is something wrong?
seg_0015,ANTON_CHIGURH,speaker_0,56.62,57.0,0.38,With what?
seg_0016,GAS_STATION_PROPRIETOR,speaker_1,57.2,57.84,0.64,With anything.
seg_0017,ANTON_CHIGURH,speaker_0,59.58,63.46,3.88,Is that what you're asking me? Is there something wrong with anything?
seg_0018,GAS_STATION_PROPRIETOR,speaker_1,64.28,65.36,1.08,Will there be anything else?
seg_0019,ANTON_CHIGURH,speaker_0,65.62,66.58,0.96,You already asked me that.
seg_0020,GAS_STATION_PROPRIETOR,speaker_1,70.26,72.94,2.68,"Oh, well, I need to see about closing now."
seg_0021,ANTON_CHIGURH,speaker_0,73.48,74.3,0.82,See about closing.
seg_0022,GAS_STATION_PROPRIETOR,speaker_1,74.58,74.94,0.36,"Yes, sir."
seg_0023,ANTON_CHIGURH,speaker_0,75.14,76.14,1.0,What time do you close?
seg_0024,GAS_STATION_PROPRIETOR,speaker_1,76.4,77.6,1.2,Now. We close now.
seg_0025,ANTON_CHIGURH,speaker_0,77.78,79.84,2.06,Now is not a time. What time do you close?
seg_0026,GAS_STATION_PROPRIETOR,speaker_1,79.94,81.64,1.7,Generally around dark. At dark.
seg_0027,ANTON_CHIGURH,speaker_0,86.54,88.08,1.54,"You don't know what you're talking about, do you?"
seg_0028,GAS_STATION_PROPRIETOR,speaker_1,88.54,88.9,0.36,Sir?
seg_0029,ANTON_CHIGURH,speaker_0,90.78,93.9,3.12,I said you don't know what you're talking about.
seg_0030,ANTON_CHIGURH,speaker_0,97.04,98.26,1.22,What time do you go to bed?
seg_0031,GAS_STATION_PROPRIETOR,speaker_1,98.84,99.24,0.4,Sir?
seg_0032,ANTON_CHIGURH,speaker_0,99.74,103.02,3.28,"You're a bit, uh, fragile. I said what time do you go to bed?"
seg_0033,GAS_STATION_PROPRIETOR,speaker_1,105.12,105.3,0.18,"Oh,"
seg_0034,GAS_STATION_PROPRIETOR,speaker_1,107.84,111.1,3.26,"somewhere around 9:30. I'd, I'd say around 9:30."
seg_0035,ANTON_CHIGURH,speaker_0,111.6,112.54,0.94,I could come back then.
seg_0036,GAS_STATION_PROPRIETOR,speaker_1,112.96,115.26,2.3,Why would you be coming back? We'll be closed.
seg_0037,ANTON_CHIGURH,speaker_0,115.38,116.08,0.7,"Yeah, you said that."
seg_0038,GAS_STATION_PROPRIETOR,speaker_1,118.52,120.0,1.48,"Well, I got to close now."
seg_0039,ANTON_CHIGURH,speaker_0,120.22,121.8,1.58,You live in that house out back?
seg_0040,GAS_STATION_PROPRIETOR,speaker_1,124.0,124.8,0.8,"Yes, I do."
seg_0041,ANTON_CHIGURH,speaker_0,125.86,126.98,1.12,You lived here all your life?
seg_0042,GAS_STATION_PROPRIETOR,speaker_1,128.72,132.36,3.64,This was my wife's father's place o- originally.
seg_0043,ANTON_CHIGURH,speaker_0,135.3,136.12,0.82,You married into it.
seg_0044,GAS_STATION_PROPRIETOR,speaker_1,137.26,139.8,2.54,"We lived in Temple, Texas for many years."
seg_0045,GAS_STATION_PROPRIETOR,speaker_1,141.44,146.88,5.44,Raised a family there in Temple. We come out here about four years ago.
seg_0046,ANTON_CHIGURH,speaker_0,147.52,148.48,0.96,You married into it.
seg_0047,GAS_STATION_PROPRIETOR,speaker_1,149.45,150.74,1.29,If that's the way you wanna put it.
seg_0048,ANTON_CHIGURH,speaker_0,151.06,152.88,1.82,"Well, I don't have some way to put it."
seg_0049,ANTON_CHIGURH,speaker_0,154.08,154.92,0.84,That's the way it is.
seg_0050,ANTON_CHIGURH,speaker_0,163.38,165.72,2.34,What's the most you ever lost on a coin toss?
seg_0051,GAS_STATION_PROPRIETOR,speaker_1,167.14,167.42,0.28,Sir?
seg_0052,ANTON_CHIGURH,speaker_0,167.8,170.78,2.98,The most you ever lost on a coin toss.
seg_0053,GAS_STATION_PROPRIETOR,speaker_1,172.92,174.84,1.92,I don't know. I couldn't say.
seg_0054,ANTON_CHIGURH,speaker_0,178.23,178.6,0.37,Call it.
seg_0055,GAS_STATION_PROPRIETOR,speaker_1,179.46,179.88,0.42,Call it.
seg_0056,ANTON_CHIGURH,speaker_0,179.92,180.14,0.22,Yes.
seg_0057,GAS_STATION_PROPRIETOR,speaker_1,181.26,181.9,0.64,For what?
seg_0058,ANTON_CHIGURH,speaker_0,182.28,182.84,0.56,Just call it.
seg_0059,GAS_STATION_PROPRIETOR,speaker_1,185.9,189.58,3.68,"Well, we need to know what we're calling it for here."
seg_0060,ANTON_CHIGURH,speaker_0,189.74,194.28,4.54,"You need to call it. I can't call it for you. Well, it wouldn't be fair."
seg_0061,GAS_STATION_PROPRIETOR,speaker_1,195.12,196.36,1.24,I didn't put nothing up.
seg_0062,ANTON_CHIGURH,speaker_0,196.5,200.9,4.4,"Yes, you did. You've been putting it up your whole life. You just didn't know it."
