segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_2,speaker_1,17.18,18.3,1.12,Latrell.
seg_0001,SPEAKER_1,speaker_0,19.08,20.12,1.04,"What's up, baby girl?"
seg_0002,SPEAKER_2,speaker_1,20.54,21.76,1.22,Can you please turn that off?
seg_0003,SPEAKER_1,speaker_0,22.26,23.6,1.34,Why? You don't like my music?
seg_0004,SPEAKER_2,speaker_1,24.34,29.24,4.9,Is it music? Because i- it sounds like a bunch of sex noises over a bass line.
seg_0005,SPEAKER_1,speaker_0,30.04,30.34,0.3,"Oh,"
seg_0006,SPEAKER_1,speaker_0,31.64,36.96,5.32,I get it. You don't like my music'cause I'm gay. You can't handle a gay man's music.
seg_0007,SPEAKER_2,speaker_1,37.14,41.28,4.14,"No, no, no. It's... I'm trying to work here, and that music is weirdly sexual."
seg_0008,SPEAKER_1,speaker_0,41.7,51.84,10.14,"Oh, I see. So my sexuality is weird. You just can't fathom a man being attracted to another man."
seg_0009,SPEAKER_2,speaker_1,52.8,58.44,5.64,I can fathom it. It's... Can you just please listen to some other gay music like Barbra Streisand or something? Anything that's-
seg_0010,SPEAKER_1,speaker_0,58.449,65.84,7.391,"Oh, I see. I see. Okay, so listening to Barbra Streisand is gay. Stereotype much?"
seg_0011,SPEAKER_1,speaker_0,70.88,72.12,1.24,So you seeing anybody lately?
seg_0012,SPEAKER_2,speaker_1,75.18,77.69,2.51,"Yeah, I, I mean, kind of. I think that-"
seg_0013,SPEAKER_1,speaker_0,77.7,86.44,8.74,"'Cause I got it good last night. Ooh, it was like pow. I mean, my man was like blop, like he had a baby arm holding onto a apple."
seg_0014,SPEAKER_2,speaker_1,86.76,89.84,3.08,"Ah, don't call it a baby arm."
seg_0015,SPEAKER_1,speaker_0,90.32,90.64,0.32,"Oh,"
seg_0016,SPEAKER_1,speaker_0,91.94,96.98,5.04,I see. So you can't handle hearing about how I'm gay. I'm sorry.
seg_0017,SPEAKER_2,speaker_1,97.46,102.84,5.38,You just referred to your boyfriend's penis as a baby's arm holding an apple.
seg_0018,SPEAKER_1,speaker_0,102.85,109.0,6.15,"Well, that's what it looked like. And it's not my boyfriend, by the way. And anywhat, you're homophobic."
seg_0019,SPEAKER_2,speaker_1,110.7,117.84,7.14,"No. No, no. That's not homophobic, okay? You're explicitly talking about sexual things in the workplace."
seg_0020,SPEAKER_1,speaker_0,118.7,124.42,5.72,"Fine. There's plenty of stuff that we could talk about. You know, it's, uh, my, my penis cup,"
seg_0021,SPEAKER_1,speaker_0,125.78,135.34,9.56,"my scrotum cozies that I have been knitting recently. Oh, with these knitting needles that I have just noticed look like little skinny purple penises, et cetera and et cetera."
seg_0022,SPEAKER_2,speaker_1,135.58,136.3,0.72,Oh my God.
seg_0023,SPEAKER_1,speaker_0,137.4,140.06,2.66,"Can I show you a picture, and then you tell me if it's good for Facebook?"
seg_0024,SPEAKER_2,speaker_1,141.26,144.76,3.5,Okay. I'm fairly certain you're going to show me something overtly sexual.
seg_0025,SPEAKER_1,speaker_0,144.82,146.48,1.66,Don't you prejudge me. Here it is.
seg_0026,SPEAKER_2,speaker_1,146.74,147.1,0.36,"Ah,"
seg_0027,SPEAKER_2,speaker_1,148.34,150.66,2.32,. That's a close-up of an anus.
seg_0028,SPEAKER_1,speaker_0,150.72,152.16,1.44,"Oh, no, that's not an anus."
seg_0029,SPEAKER_1,speaker_0,153.46,154.64,1.18,"That's my anus, baby girl."
seg_0030,SPEAKER_2,speaker_1,156.02,157.16,1.14,That's disgusting.
seg_0031,SPEAKER_1,speaker_0,157.44,162.14,4.7,"Oh, I see. So you don't wanna see a close-up picture of my anus'cause you hate gay men."
seg_0032,SPEAKER_2,speaker_1,162.34,166.1,3.76,"No, I don't wanna look at a close-up picture of anyone's anus."
seg_0033,SPEAKER_1,speaker_0,167.06,170.68,3.62,Homophobe. Homophobe. This a homophobe right here. Ho-
seg_0034,SPEAKER_1,speaker_0,172.44,176.6,4.16,"Homophobe alert. Homophobe. Woo, woo, woo, woo."
seg_0035,SPEAKER_3,speaker_2,178.58,178.78,0.2,Hey.
seg_0036,SPEAKER_2,speaker_1,180.4,181.109,0.709,"Hey, baby. How's it going?"
seg_0037,SPEAKER_3,speaker_2,182.54,183.16,0.62,Ready to go to lunch?
seg_0038,SPEAKER_2,speaker_1,183.78,188.64,4.86,"Yeah. S- uh, Latrell, this is Gavin. Gavin, this is Latrell. This is my boyfriend."
seg_0039,SPEAKER_3,speaker_2,188.88,189.26,0.38,How you doing?
seg_0040,SPEAKER_1,speaker_0,190.08,193.82,3.74,"I'm, I'm, I'm doing very well. How, how are you doing, Gavin, Gavin?"
seg_0041,SPEAKER_3,speaker_2,194.38,195.9,1.52,Great. Wanna go?
seg_0042,SPEAKER_2,speaker_1,196.06,196.26,0.2,Yeah.
seg_0043,SPEAKER_3,speaker_2,196.48,196.98,0.5,Nice to meet you.
seg_0044,SPEAKER_2,speaker_1,197.32,198.56,1.24,"No. Trust me, it's not."
seg_0045,SPEAKER_3,speaker_2,198.66,198.9,0.24,It's not?
seg_0046,SPEAKER_2,speaker_1,198.92,199.54,0.62,That's the guy.
seg_0047,SPEAKER_3,speaker_2,200.6,201.92,1.32,Oh.
seg_0048,SPEAKER_1,speaker_0,201.93,205.82,3.89,"Oh, I get it. I'm not persecuted. I'm just a ass."
seg_0049,SPEAKER_4,speaker_3,212.66,221.95,9.29,"I want you, but I don't need you. I want you, but I don't need you. I-"
