segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,0.32,3.15,2.83,"First of all, congrats on your little bump. Um-"
seg_0001,SPEAKER_2,speaker_1,3.2,4.36,1.16,Congrats on your little bump.
seg_0002,SPEAKER_3,speaker_2,5.32,6.46,1.14,What about my bump?
seg_0003,SPEAKER_2,speaker_1,8.92,10.38,1.46,You've got two nice ones.
seg_0004,SPEAKER_1,speaker_0,10.4,10.75,0.35,Do you-
seg_0005,SPEAKER_3,speaker_2,10.78,13.36,2.58,"Are these... They are kind of bumps, aren't they?"
seg_0006,SPEAKER_2,speaker_1,13.9,16.76,2.86,"No, not bumps. They're lovely lady lumps."
seg_0007,SPEAKER_3,speaker_2,16.86,16.87,0.01,Okay.
seg_0008,SPEAKER_2,speaker_1,16.9,17.439,0.539,Check it out.
seg_0009,SPEAKER_3,speaker_2,17.64,18.7,1.06,Thank you. Thank you.
seg_0010,SPEAKER_1,speaker_0,19.06,19.2,0.14,Are you-
seg_0011,SPEAKER_3,speaker_2,19.25,21.2,1.95,You like the movie? Are you a Woody Allen fan?
seg_0012,SPEAKER_1,speaker_0,21.28,25.66,4.38,"I love most of his movies, and this one was so, like, visually amazing."
seg_0013,SPEAKER_3,speaker_2,25.74,26.84,1.1,"Yeah, it's gorgeous."
seg_0014,SPEAKER_1,speaker_0,26.88,29.88,3.0,Did you guys love wearing those kind of clothes that you-
seg_0015,SPEAKER_3,speaker_2,30.14,30.91,0.77,Yeah.
seg_0016,SPEAKER_2,speaker_1,30.94,31.14,0.2,Yeah.
seg_0017,SPEAKER_3,speaker_2,31.17,32.269,1.099,"And, you know, working in digital-"
seg_0018,SPEAKER_2,speaker_1,32.269,35.52,3.251,"And everyone wants to talk about the clothes, but I wonder if they would ask the men about the clothes."
seg_0019,SPEAKER_1,speaker_0,36.38,36.98,0.6,I would.
seg_0020,SPEAKER_3,speaker_2,37.16,39.56,2.4,I love little Je- Jesse's suits-
seg_0021,SPEAKER_2,speaker_1,39.66,40.04,0.38,He has some beautiful-
seg_0022,SPEAKER_3,speaker_2,40.05,40.05,0.0,And how he-
seg_0023,SPEAKER_2,speaker_1,40.05,40.64,0.59,That's what I'm saying
seg_0024,SPEAKER_3,speaker_2,40.68,41.07,0.39,"... turns it. Oh, I know. Everybody-"
seg_0025,SPEAKER_2,speaker_1,41.07,42.24,1.17,"His, his wardrobe was beautiful."
seg_0026,SPEAKER_3,speaker_2,42.3,42.54,0.24,I know.
seg_0027,SPEAKER_2,speaker_1,42.76,44.1,1.34,Corey's wardrobe was-
seg_0028,SPEAKER_3,speaker_2,44.38,44.449,0.069,He's so great
seg_0029,SPEAKER_2,speaker_1,44.449,46.14,1.691,... gorgeous. Those high-waisted pants.
seg_0030,SPEAKER_3,speaker_2,46.18,46.92,0.74,He's so great.
