speaker,start,end,text
speaker_1,17.18,18.3,Latrell.
speaker_0,19.08,20.12,"What's up, baby girl?"
speaker_1,20.54,21.76,Can you please turn that off?
speaker_0,22.26,23.6,Why? You don't like my music?
speaker_1,24.34,29.24,Is it music? Because i- it sounds like a bunch of sex noises over a bass line.
speaker_0,30.04,30.34,"Oh,"
speaker_0,31.64,36.96,I get it. You don't like my music'cause I'm gay. You can't handle a gay man's music.
speaker_1,37.14,41.28,"No, no, no. It's... I'm trying to work here, and that music is weirdly sexual."
speaker_0,41.7,51.84,"Oh, I see. So my sexuality is weird. You just can't fathom a man being attracted to another man."
speaker_1,52.8,58.44,I can fathom it. It's... Can you just please listen to some other gay music like Barbra Streisand or something? Anything that's-
speaker_0,58.449,65.84,"Oh, I see. I see. Okay, so listening to Barbra Streisand is gay. Stereotype much?"
speaker_0,70.88,72.12,So you seeing anybody lately?
speaker_1,75.18,77.69,"Yeah, I, I mean, kind of. I think that-"
speaker_0,77.7,86.44,"'Cause I got it good last night. Ooh, it was like pow. I mean, my man was like blop, like he had a baby arm holding onto a apple."
speaker_1,86.76,89.84,"Ah, don't call it a baby arm."
speaker_0,90.32,90.64,"Oh,"
speaker_0,91.94,96.98,I see. So you can't handle hearing about how I'm gay. I'm sorry.
speaker_1,97.46,102.84,You just referred to your boyfriend's penis as a baby's arm holding an apple.
speaker_0,102.85,109.0,"Well, that's what it looked like. And it's not my boyfriend, by the way. And anywhat, you're homophobic."
speaker_1,110.7,117.84,"No. No, no. That's not homophobic, okay? You're explicitly talking about sexual things in the workplace."
speaker_0,118.7,124.42,"Fine. There's plenty of stuff that we could talk about. You know, it's, uh, my, my penis cup,"
speaker_0,125.78,135.34,"my scrotum cozies that I have been knitting recently. Oh, with these knitting needles that I have just noticed look like little skinny purple penises, et cetera and et cetera."
speaker_1,135.58,136.3,Oh my God.
speaker_0,137.4,140.06,"Can I show you a picture, and then you tell me if it's good for Facebook?"
speaker_1,141.26,144.76,Okay. I'm fairly certain you're going to show me something overtly sexual.
speaker_0,144.82,146.48,Don't you prejudge me. Here it is.
speaker_1,146.74,147.1,"Ah,"
speaker_1,148.34,150.66,. That's a close-up of an anus.
speaker_0,150.72,152.16,"Oh, no, that's not an anus."
speaker_0,153.46,154.64,"That's my anus, baby girl."
speaker_1,156.02,157.16,That's disgusting.
speaker_0,157.44,162.14,"Oh, I see. So you don't wanna see a close-up picture of my anus'cause you hate gay men."
speaker_1,162.34,166.1,"No, I don't wanna look at a close-up picture of anyone's anus."
speaker_0,167.06,170.68,Homophobe. Homophobe. This a homophobe right here. Ho-
speaker_0,172.44,176.6,"Homophobe alert. Homophobe. Woo, woo, woo, woo."
speaker_2,178.58,178.78,Hey.
speaker_1,180.4,181.109,"Hey, baby. How's it going?"
speaker_2,182.54,183.16,Ready to go to lunch?
speaker_1,183.78,188.64,"Yeah. S- uh, Latrell, this is Gavin. Gavin, this is Latrell. This is my boyfriend."
speaker_2,188.88,189.26,How you doing?
speaker_0,190.08,193.82,"I'm, I'm, I'm doing very well. How, how are you doing, Gavin, Gavin?"
speaker_2,194.38,195.9,Great. Wanna go?
speaker_1,196.06,196.26,Yeah.
speaker_2,196.48,196.98,Nice to meet you.
speaker_1,197.32,198.56,"No. Trust me, it's not."
speaker_2,198.66,198.9,It's not?
speaker_1,198.92,199.54,That's the guy.
speaker_2,200.6,201.92,Oh.
speaker_0,201.93,205.82,"Oh, I get it. I'm not persecuted. I'm just a ass."
speaker_3,212.66,221.95,"I want you, but I don't need you. I want you, but I don't need you. I-"
