video_id,baseline_key,baseline_segments,baseline_embedding_providers,live_sentences,live_audio_clips,live_embedding_providers,live_source_kind,complete_live_embeddings,title
1NBVQB-Srpw,1NBVQB-Srpw,85,15,105,105,15,repo_complete_23,true,Interview with drug dealer - Louis Theroux - BBC
20v1OxUXcQY,20v1OxUXcQY,98,15,138,138,15,repo_complete_23,true,Simon Pegg: The truth about Benedict Cumberbatch
6BuK09sWn9s,6BuK09sWn9s,24,0,58,0,3,saved_live_session,false,YouTube 6BuK09sWn9s - Jul 10 16:32
acbnyagl8jo,acbnyagl8jo,94,15,115,115,15,repo_complete_23,true,Margin Call meeting scene
aHGd6LqAVzw,aHGd6LqAVzw,57,15,92,92,15,repo_complete_23,true,When Elon Musk realised China's richest man is an idiot
blcKeLDDzSM,blcKeLDDzSM,61,15,116,116,15,repo_complete_23,true,Barbie Instagram - SNL
bPpcfH_HHH8,bPpcfH_HHH8,101,15,102,102,15,repo_more_4,true,NPR’s Delicious Dish: Schweddy Balls - SNL
cLdy4P-XJPE,cLdy4P-XJPE,52,15,134,134,15,repo_complete_23,true,Brooks and Capehart on whether the Supreme Court has stood up to Trump
Dd7FixvoKBw,Dd7FixvoKBw,57,15,66,66,15,repo_complete_23,true,Substitute Teacher - Key & Peele
DsyfYJ5Ou3g,DsyfYJ5Ou3g,70,15,90,90,15,repo_complete_23,true,Gordon tries to make Pad Thai
e3h6es6zh1c,e3h6es6zh1c,50,15,85,85,15,repo_more_4,true,Key & Peele - Office Homophobe
F2-2RBi1qzY,F2-2RBi1qzY,100,15,71,71,15,repo_complete_23,true,The Blake Lively interview that made me want to quit my job
gj7BRMuB-n4,gj7BRMuB-n4,155,15,209,209,15,repo_complete_23,true,True Confessions with Kate McKinnon and John Cena
JWS-qfR6K3w,cunk,45,15,65,65,15,repo_complete_23,true,Philomena Cunk's most HILARIOUS interviews | Cunk on Earth - BBC
k1tsGGz-Qw0,k1tsGGz-Qw0,83,15,127,127,15,repo_more_4,true,Key & Peele - High On Potenuse
KdOXM3I_5hk,KdOXM3I_5hk,245,15,191,191,15,repo_complete_23,true,Conan & Norm Macdonald Cook With Gordon Ramsay
L-CfFo5aQGU,L-CfFo5aQGU,132,15,267,267,15,repo_complete_23,true,"Face The Nation: Kaine, Mayor Panel"
mBeT_AoCXvc,mBeT_AoCXvc,96,15,149,149,15,repo_complete_23,true,"America's mayors panel: 4 mayors on immigration, data centers and more issues in their cities"
mWABb5Dy9BQ,mWABb5Dy9BQ,219,15,220,220,15,repo_complete_23,true,True Confessions with Billie Eilish and Colin Quinn
oFBuCp19L7M,oFBuCp19L7M,95,15,114,114,15,repo_complete_23,true,Mark Hamill talks about keeping I am your father secret
onHUfyRP1BE,onHUfyRP1BE,9,15,64,64,15,repo_complete_23,true,Academic Panel COI/ Kyle Diorio pt. 2/3
pD4IdQTmneI,pD4IdQTmneI,15,15,64,64,15,repo_complete_23,true,"'RIDICULOUS, ABSURD': Political analyst RIPS alleged fraudsters after DOJ crackdown"
PhofRoLXqhE,PhofRoLXqhE,100,15,286,286,15,repo_complete_23,true,"Washington Week with The Atlantic full episode, July 3, 2026"
S_o3y7CzDUY,S_o3y7CzDUY,76,15,274,274,15,repo_complete_23,true,Why is Finland’s economy stuck in a rut?
vIfGgDnmBXg,vIfGgDnmBXg,145,15,155,155,15,repo_more_4,true,It’s Actually Really Hard to Storm Out of an Interview - Key & Peele
WNZn37Uc700,WNZn37Uc700,174,15,178,178,15,repo_complete_23,true,True Confessions with Matthew McConaughey and Hugh Grant
y_5WfLjvOK4,y_5WfLjvOK4,91,15,327,327,15,repo_complete_23,true,Full discussion: Face the Nation foreign policy panel gives 2023 outlook
ZY0DG8rUnCA,ZY0DG8rUnCA,81,15,85,85,15,repo_complete_23,true,The Coin Toss | No Country for Old Men | Max
