speaker,start,end,text
speaker_0,0.1,17.0,"Here's how it works. In front of each of us are two envelopes containing confessions. One is true, and the other is a lie. Once you read the confession, the two other players get to interrogate you. They have to come to a unanimous decision. Is it the truth, or is it the lie? Uh, Billie, you'll go first. Colin, which envelope should she open?"
speaker_1,17.36,18.7,"Mm, uh, two."
speaker_0,19.94,20.66,Mm. Mm-hmm.
speaker_2,20.78,21.16,This?
speaker_0,21.36,22.86,Mm. Numero dos.
speaker_2,24.76,25.06,Wait.
speaker_0,26.55,27.64,That's how you open an envelope?
speaker_2,27.86,28.24,Shut up.
speaker_2,29.58,30.94,"Oh, it's open on the bottom."
speaker_0,31.0,31.16,Yeah.
speaker_2,32.9,33.91,"Okay, are you ready for this?"
speaker_0,34.36,35.12,Okay. Wow.
speaker_2,35.62,37.41,That is a strong case.
speaker_0,37.46,38.25,"Strong fake cigarette, yeah."
speaker_2,38.34,38.74,Um-
speaker_2,40.0,45.7,"So, I once farted in my friend's mouth while she was yawning, and she threw up."
speaker_0,48.52,49.44,"All right, what year was this?"
speaker_2,53.68,58.86,"Um, it was, um, I was 12, so I, it was-"
speaker_0,59.0,59.38,Last year
speaker_2,59.84,60.49,... eight.
speaker_0,60.949,60.949,Yeah.
speaker_2,60.949,60.949,"But, uh-"
speaker_0,60.98,62.04,"So it was last year. Okay, great"
speaker_2,62.14,64.06,... it was 2014.
speaker_0,64.099,64.29,"Okay, okay."
speaker_2,64.3,64.31,I was 12.
speaker_0,64.31,65.26,"And where, where were you?"
speaker_2,65.74,66.4,I was in my yard.
speaker_0,66.96,67.88,"Out back, in your backyard?"
speaker_2,67.92,69.62,"Yeah, in my backyard. In my backyard."
speaker_1,70.08,70.58,Daytime?
speaker_2,70.86,71.02,Yeah.
speaker_0,71.92,73.76,"No, they were at nighttime in the backyard. What are you-"
speaker_0,75.56,76.23,"Camping, you think they were camping?"
speaker_1,76.24,76.85,"Well, yeah, he-"
speaker_0,76.88,79.65,"What were you doing, like wrestling or fooling around or doing gymnastics?"
speaker_2,80.11,80.11,Um-
speaker_1,80.13,80.3,Whoa
speaker_2,80.36,84.6,"... I was, so I was, it was like, there was a, there was a, a table, and she was sitting."
speaker_0,85.0,85.26,"Oh, please."
speaker_2,85.32,88.94,"I was standing here. So she was sitting, like facing this way. I was standing here facing that way."
speaker_0,89.3,89.56,Okay.
speaker_2,89.9,90.5,She was eating.
speaker_0,90.64,91.66,And where's the table? Say I'm the table.
speaker_2,91.7,92.84,The table's here.
speaker_0,92.87,92.87,Yeah.
speaker_2,92.92,94.4,So she was facing the other way.
speaker_0,94.48,94.78,Okay.
speaker_1,94.83,95.1,What was she eating?
speaker_2,95.52,95.92,Pizza.
speaker_1,96.36,96.74,Pizza.
speaker_0,96.78,97.7,Daytime pizza.
speaker_2,99.26,100.6,You want some nighttime pizza? Like...
speaker_0,100.64,105.34,That's kind of nighttime. All right. Kind of running out of time here. I don't know. We didn't even ask enough questions.
speaker_1,105.4,105.41,Okay.
speaker_0,105.41,107.15,"Wait, so, and are you friends with her today?"
speaker_2,108.24,109.46,"Yeah, sorta."
speaker_0,110.74,111.72,Was it weird after that?
speaker_1,111.73,111.87,That is-
speaker_2,112.46,113.53,It was so funny.
speaker_2,115.19,115.7,So funny.
speaker_0,115.78,116.68,What do we think? I think-
speaker_1,117.64,117.73,I think-
speaker_0,117.73,118.0,I think
speaker_1,118.72,119.33,... true.
speaker_0,119.6,120.07,"Yeah, I think true."
speaker_2,120.29,120.29,Oh.
speaker_0,120.34,121.69,I think it sounds like something that weirdly-
speaker_2,121.76,122.34,Yeah.
speaker_0,123.26,123.69,Is it true?
speaker_2,124.34,125.36,"Uh, yes."
speaker_0,128.8,134.609,"Whoa. Oh, man. Oh my God. That just, but why did you do that? Did you do that on- What, why did you do that? Was that on purpose?"
speaker_2,134.7,139.92,"It was silent. Listen, it was silent. I did not think it would be bad, but you know those are always the worst ones, you know?"
speaker_1,139.98,140.24,That's right.
speaker_0,140.36,141.62,"See, you got it. Alright, here we go."
speaker_2,141.72,142.299,That's the problem.
speaker_0,142.36,145.36,"Which envelope should I open? Which, uh- Truth or lie, what do you think?"
speaker_1,145.54,145.62,Uh-
speaker_0,145.64,146.76,Billie? Colin?
speaker_2,148.62,149.9,"Uh, uh, one."
speaker_0,150.2,150.3,Yeah.
speaker_2,150.54,150.59,One.
speaker_0,150.62,152.4,"Doesn't really matter,'cause I'm such a good actor."
speaker_2,152.54,153.769,"Whoa. Whoa, whoa."
speaker_2,156.46,156.9,Shut up.
speaker_1,157.02,158.28,Ever see a little movie called Taxi?
speaker_0,161.24,166.44,"Okay, here we go. Uh, oh, I got fired from my job at the supermarket for pretending to be French."
speaker_2,170.18,170.46,When?
speaker_0,171.02,173.67,"Uh, this is, I was 15, so I'd probably say this is, yeah, 30 years ago."
speaker_1,173.7,175.2,"What, what was the name of the supermarket?"
speaker_0,175.72,177.96,"Oddly, it was Great American, was the name of the supermarket."
speaker_2,178.02,179.64,Can you repeat what happened?
speaker_0,179.7,182.02,I got fired from my job for pretending to be French.
speaker_2,183.5,184.72,Why were you pretending to be French?
speaker_0,184.84,185.86,I was bored.
speaker_2,185.92,186.24,You were bored.
speaker_0,186.36,189.78,"I was bored. I was putting stickers on canned, canned foods."
speaker_2,190.03,190.03,Putting stickers on cans.
speaker_0,190.04,193.16,"I was bored, and people would ask me questions, and I'd be like, ""No."""
speaker_0,195.28,200.64,"No. And then some, sometimes people would ask me for something, I'd go, ""Uh, you want,"" and I would point to French dressing."
speaker_0,202.52,210.49,"Or if it was around the mustard, I'd be, ""French's Mustard."" But that was at my, and I think someone ratted on me. Someone complained, and then they said, ""Who did it?"" And then one of my friends ratted on me."
speaker_1,210.5,211.12,"Some French guy, yeah?"
speaker_0,211.42,215.76,"Yeah, yeah. ""Who was, who's pretending to be French and not helping people?"" And then I was like, ""I don't know who did it."""
speaker_1,215.78,217.72,"Sound like a very pretentious 15-year-old, by the way."
speaker_0,219.3,219.31,Eh.
speaker_2,219.34,220.92,So you were pretending to not understand them.
speaker_0,221.18,222.08,"Uh, no."
speaker_2,222.18,222.5,Okay.
speaker_0,222.6,224.38,I don't know.
speaker_2,225.2,225.9,You were 15.
speaker_0,225.94,226.24,Yeah.
speaker_0,227.5,228.72,"All right, what do you guys think?"
speaker_2,229.92,230.66,Uh...
speaker_1,234.32,235.42,"I, I don't think so."
speaker_2,237.12,238.8,Mm-mm. I wanna say
speaker_2,240.52,242.46,"it's almost, like, not funny enough to be true."
speaker_2,244.46,246.9,"But you know what I'm saying? Like, you agree?"
speaker_0,247.02,248.34,"Now I'm thinking, now I'm thinking it did happen."
speaker_2,248.4,250.4,You know what I'm saying? Oh.
speaker_1,250.84,251.78,Now you're thinking it did happen?
speaker_0,251.82,252.42,Now I'm thinking it did happen.
speaker_2,252.44,255.73,"So I'm just gonna say it happened. You can say it didn't, so we can just one-up each other way."
speaker_0,255.78,256.38,"Okay, good."
speaker_2,256.57,256.7,Okay?
speaker_0,257.24,258.399,"No, I think you have to be unanimous."
speaker_2,258.459,258.579,No.
speaker_1,258.589,258.959,"Oh, we do?"
speaker_2,259.14,260.209,"No. Okay, sure."
speaker_1,260.22,265.06,"I like it how you, I like it how he's played this game. He goes, ""No, I think you have to be unani-"" You don't even know the rules of the game."
speaker_0,266.18,269.14,"All right, uh, you have to be unanimous. Ready? One, two, three, yay or nay."
speaker_2,269.64,269.65,Y-
speaker_1,270.02,270.23,Yay.
speaker_2,270.23,270.26,Yay.
speaker_1,270.6,270.63,Yay.
speaker_0,270.63,271.64,"You think yay, it did happen."
speaker_2,271.7,272.54,I think it did happen.
speaker_0,272.6,274.04,Yeah. It did not happen.
speaker_1,274.13,274.13,Oh.
speaker_2,275.06,275.27,"Okay, good."
speaker_0,275.32,275.8,You were right.
speaker_2,276.04,276.19,"No, good."
speaker_0,276.19,277.099,You should've stuck to your gut.
speaker_2,277.54,277.79,That's good.
speaker_0,277.79,280.62,That's the lesson learned. Stick to your gut. No.
speaker_1,280.98,281.32,Oh.
speaker_0,281.38,287.31,"I did get fired, but it was for doing, uh, it was for doing whip-its. All right, Colin, I think you should, you should, uh, I think you should-"
speaker_1,287.34,287.84,"Come on, baby"
speaker_0,288.06,290.16,"... I think number one,'cause you know why? You're number one to me, man."
speaker_1,290.28,291.3,"Oh, thanks."
speaker_2,291.49,291.5,Oh.
speaker_0,291.54,292.92,Yeah. Here we go.
speaker_1,293.14,293.78,"Okay, ready?"
speaker_0,294.24,294.38,Yeah.
speaker_1,295.54,299.06,My first stand-up set was in a police station while I was under arrest.
speaker_2,299.94,300.51,That's so good.
speaker_0,300.56,302.84,This is absolutely true. This is so true.
speaker_2,303.06,303.76,"I, I love-"
speaker_0,303.82,304.44,He's Colin Quinn.
speaker_2,304.48,304.55,I just love hearing this
speaker_0,304.55,313.88,"... he's the most Irish guy I know. This is the perfect for his one-man show, for his book. This is so him. He did stand-up in a police station. I, I... Why were you arrested?"
speaker_1,314.64,316.42,Possession of a controlled substance.
speaker_0,318.56,320.33,"Do you had weed on you, or is it something else?"
