speaker,raw_speakers,start,end,text
PHILOMENA_CUNK,speaker_0,0.12,7.3,"Which was more culturally significant, the Renaissance or Single Ladies by Beyonce?"
RENAISSANCE_INTERVIEWEE,speaker_1,8.62,22.96,"They both have their period, um, they both have their time. Um, Beyonce I'm rather fond of, uh, but what the Renaissance was trying to do was to reform culture as a whole, and whatever Beyonce does, I don't think she's quite got that ambition."
PHILOMENA_CUNK,speaker_0,23.38,35.42,"So what, the, the work of a few straight white men just blows Beyonce out of the water? Is that what you're saying, on camera? Why are pyramids that shape? Is it to stop homeless people sleeping on them?"
EGYPT_INTERVIEWEE,speaker_2,35.98,38.42,I don't think they had many homeless people in ancient Egypt.
PHILOMENA_CUNK,speaker_0,38.72,39.19,"Oh, did they not?"
EGYPT_INTERVIEWEE,speaker_2,39.68,42.18,"No. No, people looked after each other, I think-"
PHILOMENA_CUNK,speaker_0,42.44,42.54,Yeah
EGYPT_INTERVIEWEE,speaker_2,42.6,43.54,... and helped each other.
PHILOMENA_CUNK,speaker_0,43.64,54.44,"Right. Suppose it's good with rain as well,'cause it'll just roll off. How did Egyptians build the pyramids? Did they start at the top and work down, or start at the bottom and work up?"
EGYPT_INTERVIEWEE,speaker_2,54.82,59.24,They had to start at the bottom and work up because it would be impossible to start at the top and work down.
PHILOMENA_CUNK,speaker_0,59.78,66.24,Whenever you see medieval times there's this sort of annoying hey nonny no music playing constantly.
MEDIEVAL_INTERVIEWEE,speaker_3,66.96,67.59,"Yeah, pretty much."
PHILOMENA_CUNK,speaker_0,67.59,69.9,"You know that, that music. You know that sort"
PHILOMENA_CUNK,speaker_0,73.74,74.51,of.
MEDIEVAL_INTERVIEWEE,speaker_3,75.12,75.48,Yeah.
MEDIEVAL_INTERVIEWEE,speaker_3,86.16,87.92,"Yep. Yep, there's a lot of that."
PHILOMENA_CUNK,speaker_0,88.28,95.96,Where's that sound coming from? Couldn't they switch it off? So how did they mummify people? Talk me through the process.
EGYPT_INTERVIEWEE,speaker_2,96.08,116.6,"Um, you'd get your dead body and you'd, you'd lay it out on um, a table, and then you wash it, and then you start by removing the brain. And then they would cut open down the middle of the body and they would take out anything that they thought would rot. And then they would cover it in salt and dry it out, and then they would wrap it in bandages, and then that would be a mummy."
PHILOMENA_CUNK,speaker_0,117.6,125.22,"So the kind of spa treatment that Gwyneth Paltrow has on a weekly basis. The Olympics, athletes had to compete in the nude."
OLYMPICS_INTERVIEWEE,speaker_4,125.76,133.74,"So they did compete naked. And, um, there are writings about this being quite an erotic sight in some cases."
PHILOMENA_CUNK,speaker_0,133.84,148.48,"With wrestling, with all that wriggling about, they'd have seen right up their bum holes and everything. Couldn't they censor it for people watching it in the auditorium? Modesty patches or something. Or ask people to close their eyes each time someone bends over."
OLYMPICS_INTERVIEWEE,speaker_4,150.48,152.19,I think that probably wouldn't have worked.
PHILOMENA_CUNK,speaker_0,152.38,154.2,But you'd have seen right up their bum holes.
OLYMPICS_INTERVIEWEE,speaker_4,155.34,157.16,"In some cases, people might have done."
PHILOMENA_CUNK,speaker_0,157.64,162.76,Did Zeus really approve of that? Was Beethoven good at music?
CLASSICAL_MUSIC_INTERVIEWEE,speaker_3,164.4,169.48,"Yeah. I mean, he's considered to be the best composer of Western classical music ever."
PHILOMENA_CUNK,speaker_0,169.8,174.84,"Beethoven wrote that song that goes da da da dum, da da da dum."
PHILOMENA_CUNK,speaker_0,176.34,177.74,What do those lyrics mean?
CLASSICAL_MUSIC_INTERVIEWEE,speaker_3,178.4,181.7,"Um, well, it's a really strong orchestra motif."
PHILOMENA_CUNK,speaker_0,181.76,188.04,"It's just the word dum over and over again. Is it a dig at his audience, or is it German for something?"
CLASSICAL_MUSIC_INTERVIEWEE,speaker_3,188.54,198.18,"With the, Beethoven's symphonic music, um, it's all just instruments, so there are no words to these pieces at all."
PHILOMENA_CUNK,speaker_0,198.38,211.98,No lyrics? How are we supposed to know what it's about if it doesn't have lyrics? It's literally meaningless. Why was it so dangerous to show Elvis from the waist down? Was he naked underneath like a pervert on a Zoom call?
ELVIS_INTERVIEWEE,speaker_2,212.88,222.34,"He wasn't naked. He moved his hips around a lot in a, in a very sort of, uh, sexual manner, and there was a lot of anxiety that young women-"
PHILOMENA_CUNK,speaker_0,222.92,223.08,Yeah
ELVIS_INTERVIEWEE,speaker_2,223.34,226.08,"... might be, might be a little bit too turned on-"
PHILOMENA_CUNK,speaker_0,226.32,226.37,Yeah
ELVIS_INTERVIEWEE,speaker_2,226.37,227.18,... by Elvis.
PHILOMENA_CUNK,speaker_0,227.5,232.75,"People were prudish back then, weren't they? If they saw his penis they'd probably have a stroke, wouldn't they?"
ELVIS_INTERVIEWEE,speaker_2,233.58,238.5,"Probably. I don't think that would have made it onto the main feature. Oh, God."
