speaker,start,end,text
speaker_0,0.14,22.2,"Welcome back to Face the Nation, and we continue our conversation with Senator Tim Kaine of Virginia. Uh, Senator, uh, yesterday for the fifth time, we learned about this other tranche of classified information being kept at the president's, um, personal, uh, residence. It, how does a senator accidentally take classified material home?"
speaker_1,23.94,69.62,"Um, Margaret, I, I don't really know the answer to that question. Um, because I, I review classified material as senator on the Armed Services and Foreign Relations Committees, but when I do it, it's always in a classified facility where I don't have access to, uh, the materials other than to sit there and read them. So that's why there needs to be this independent investigation and independent prosecutor. How many documents are we talking about? Dozens? A handful or hundreds? Um, how serious are they? Um, why were they taken? Did anyone have access to them? And then is the president being cooperative? And I think by all accounts it suggests that, yes, of course, he's being cooperative, as, as anyone should be. Uh, but these are the reasons why this independent prosecutor and an investigation is necessary."
speaker_0,70.3,87.0,"Y- you're one of the few Senate Democrats who've said, you know, that you have concern, uh, about this issue. Um, I, I wonder w- how concerned you are, and politically, doesn't this damage the White House and the president in terms of trust and credibility?"
speaker_1,88.32,92.14,"Well, again, th- th- those questions do depend on the answer to the, uh-"
speaker_0,92.15,92.35,Mm-hmm
speaker_1,92.36,123.9,"... that we'll get in this investigation. I mean, Margaret, you, you know this. Government has a tendency to over-classify. If they are looking at a document and they have to analyze to decide whether to classify, sometimes they just mark it classified, I'll read it in the Skiff and say, ""Margaret was reporting on that a month ago,"" or, ""The Washington Post has been telling me this for the last six months."" So you do have to see what's the scope, how serious, did anyone have access, and those questions have to be answered before, you know, we decide is this, h- how significant an issue is this."
speaker_0,124.32,146.34,"Right. Uh, and that may take some time. Um, I, I wanna ask you about some of the, the business that Congress will have to get to, uh, soon. Um, as you know, the White House wants a clean lift to the debt limit with no strings attached. Um, Senator Manchin said it's a mistake for the White House to refuse to negotiate with Republicans. Do you think that position is changing? I- is it a mistake?"
speaker_1,147.66,185.98,"Well, first, we should l- we should have a clean lift of the debt ceiling, because the 14th Amendment to the Constitution says nobody should question the credit worthiness of the United States. This is about whether the US pays our credit card or not, and I don't think anyone should flirt with not paying the, the US' credit card, which is what Republicans are doing. So the White House position is correct, we should raise the debt ceiling. But if Republicans are saying they won't do it and they're threatening our credit worthiness because they want cuts, let them put cuts on the table. Is it the cutting Social Security and Medicare that Rick Scott wanted to do? Is it cutting aid to Ukraine in the middle of a war between a, a democracy and an-"
speaker_0,186.01,186.01,Mm-hmm
speaker_1,186.01,194.1,"... illegally invading dictator? Let them put on the table what they wanna cut so that the American public can see, uh, what their priorities are."
