speaker,start,end,text
speaker_1,5.18,10.26,"The right triangle's longest side is called the hypotenuse, and it's this side here."
speaker_2,10.72,10.93,Hey.
speaker_1,10.98,12.12,"See, the longest one-"
speaker_2,12.58,15.46,I wish I were high on pot noose.
speaker_2,17.14,19.38,I wish I was high on pot noose.
speaker_1,31.5,37.48,"Okay. Okay, okay. Uh, Mr. Morrison, it's very funny. It's very funny, but let's get back to the lesson."
speaker_1,39.2,42.54,And we can see the longest one where it goes from this point-
speaker_2,42.62,43.52,That was my joke
speaker_1,43.58,44.15,... to that point. This is one-
speaker_3,44.22,45.42,"I know, man. That was hilarious"
speaker_1,45.5,48.36,"... of a triangle. I've labeled them here A, B, and C."
speaker_2,48.44,49.61,"No, but I mean, I said that"
speaker_1,49.64,50.34,They could be labeled anything.
speaker_2,50.49,50.96,I said it.
speaker_1,51.1,52.81,"We say that they're A, B, and C so that when you-"
speaker_2,52.81,53.56,I said it. I said that.
speaker_1,53.82,58.14,"Please, please, Mr. Jackson, keep your comments to yourself. Thank you."
speaker_1,60.08,61.7,"Now, the hypotenuse i-"
speaker_1,68.58,78.04,"Mr. Morrison, you really got me on that one. Oh, so great. Oh, oh, Principal Martel, Principal Martel, come here, come here, come here. Uh, tell Principal Martel what you said, Troy."
speaker_2,78.6,84.66,"Oh, uh, sh- um, she, she was talking about the hypotenuse and I said, ""I wish I was high on pot noose."""
speaker_2,88.64,89.22,I'm sorry.
speaker_2,92.24,92.94,He likes it.
speaker_2,94.6,95.84,Principal Martel's cool.
speaker_3,97.46,99.82,"Oh, that's, that's very funny."
speaker_2,100.1,102.92,"Principal Martel, Principal Martel, I, I said that."
speaker_1,103.32,105.54,"Mr. Jackson, that is enough."
speaker_2,105.78,106.6,But I said it first.
speaker_3,108.12,111.06,"Oh, uh, uh, Mr. Iglesias, Mr. Iglesias. Yes, come in, come in."
speaker_0,111.88,111.89,Ah.
speaker_4,111.92,112.04,Yeah.
speaker_3,112.3,112.4,Yes.
speaker_4,112.66,113.18,"What's up, peoples?"
speaker_3,113.54,120.96,Nothing. Comedian Gabriel Iglesias is touring the local schools today for a charity he's working on. A- a- tell him what you said. Tell him what you said.
speaker_2,122.04,124.74,"Um, I, I wish I was high on pot noose."
speaker_4,127.48,132.36,Oh my God. That is clever. That is cle- very funny. Very funny.
speaker_2,133.14,133.56,Right?
speaker_4,133.73,134.36,Thanks.
speaker_2,134.72,138.72,"Mr. Iglesias, Mr. Iglesias, uh, I'm your biggest fan. That was my joke."
speaker_4,139.14,148.8,"Uh, you know, it's not really cool, buddy, to take credit for other people's jokes. Hey, listen, funny stuff. I'm doing this big tour right now. You wanna see about maybe we could talk about you opening? I need an opener."
speaker_2,149.1,151.66,"Wha- oh, sh- um, sure."
speaker_4,152.56,153.2,What do you think? Is that okay?
speaker_3,153.38,153.9,Of course.
speaker_4,154.14,154.3,Yeah?
speaker_3,154.31,155.1,Of course it is.
speaker_2,155.2,156.48,"Oh, what?"
speaker_0,156.86,157.7,Oh.
speaker_2,159.5,160.15,Sorry about that.
speaker_4,160.2,160.8,"Talent, man."
speaker_2,160.81,161.86,It's nice to meet you. Thanks so much.
speaker_4,161.92,163.34,"That's like a Richard Pryor. Get over here, man."
speaker_2,163.41,163.43,Oh.
speaker_4,163.44,163.7,Come on.
speaker_2,163.96,164.72,Richard Pryor.
speaker_1,166.54,172.26,"He deserved it. All right, so across from the longest side is a 90-degree angle."
speaker_2,173.84,176.3,Good thing I've got a 90-degree dangle.
speaker_1,176.44,179.7,"Joel, stop it! You will never be Troy."
speaker_5,180.38,183.26,Why are you trying to be like Troy? Dick.
speaker_2,184.8,186.04,"Et tu, nerdy girl?"
speaker_1,187.5,189.32,So the hypotenue-
speaker_3,194.68,197.36,What the is going on?
speaker_1,197.48,202.98,"I wrote ""miss"" my pants. I wrote ""missed my pants"" right here. Oh my God."
speaker_6,208.62,244.86,"Good evening, my fellow Americans. Every day our citizens improve the lives of those around them. Today, we honor Troy Morrison. Now, Troy was in, uh, geometry class when his teacher mentioned the hypotenuse of a triangle. Troy said, ""I wish I was high on pot noose."" Well, that really cracked me up, and it cracked up the rest of America, too. So today, I'm pleased to present Troy with the Congressional Comedy Medal of Honor. Troy, on behalf of the entire country, I just want to, uh, thank you for your fantastic off-the-cuff line. You are a true comedy hero."
speaker_4,244.96,249.34,"Thank you, sir. Thank you. And now also, Mr. President, I have, uh, something for you."
speaker_6,249.48,249.96,What's that?
speaker_6,251.78,261.86,"Oh. God, one. I... Yes, these are sold out. I, I haven't been able to get my hands on one of these. Thanks, Troy. Oh my God, ""high on pot noose."""
speaker_7,262.46,266.24,"Have you ever found yourself in High Point, North Carolina, and not feeling safe?"
speaker_2,266.78,267.58,Gonna be for you.
speaker_7,272.37,275.58,"'Cause that's lunacy, okay? Do you understand?"
speaker_4,275.72,275.84,No.
speaker_2,276.34,279.54,Make it rain. I try to make you laugh.
speaker_4,280.44,282.04,Are you serious? This is bull.
speaker_7,285.04,288.58,"Dude, I cut my balls off on this one, okay? Oh."
speaker_4,290.1,292.1,I totally love my nails right now.
speaker_7,292.7,293.95,That's what you call a booty investment.
speaker_2,294.9,296.719,"Brothers, brothers, brothers."
speaker_7,297.24,297.99,Tackle and grapple.
speaker_2,298.8,300.12,"you, Keegan."
speaker_3,300.18,300.6,Furious.
speaker_7,300.86,301.5,Then who is?
speaker_4,301.62,303.25,The you can go and
speaker_4,304.58,304.969,yourself.
speaker_2,305.48,307.92,"Keegan, seriously, I'm done."
speaker_0,316.6,325.49,I want you. But I don't need you. I want you. But I don't need you. I-
