speaker,start,end,text
speaker_0,3.96,18.88,"Britain is home to almost 30,000 Thai people, and in the heart of southwest London is Europe's only purpose-built Thai temple, where I'll be serving up a very special meal. I love Thai food. I love cooking it, and I love eating it. But this has to be the most daunting task so far."
speaker_0,21.11,28.54,This small and revered group of Buddhist monks live in the monastery attached to the temple. They spend most of their waking hours meditating and studying.
speaker_0,30.5,37.8,"Buddhist teachings forbid them to cook, so it's up to the local Thai community to offer the one meal the monks are allowed to eat at 11:00 each day."
speaker_0,40.52,48.46,"Helping me fulfill this honor and privilege is Chang, executive chef of the Blue Elephant, one of London's top Thai restaurants. Morning. Chang, good morning. How are you?"
speaker_1,48.48,49.72,"Good morning, Gordon. How are you?"
speaker_0,49.76,50.18,Good to see you.
speaker_1,50.269,51.8,Thank you for come to the Blue Elephant.
speaker_0,51.86,53.04,"God, a little bit tight in here, no?"
speaker_1,53.1,54.78,"Of course. Because this is the Thai kitchen, no?"
speaker_0,55.14,57.44,"Where have you gone, Chang? Morning, everybody."
speaker_2,57.949,57.949,Oh.
speaker_0,58.04,58.66,"Uh, hi."
speaker_1,59.19,60.03,"I'm here, I'm here."
speaker_0,60.04,60.76,"Pressure's on, right?"
speaker_1,60.88,61.04,Yeah.
speaker_0,61.4,62.58,So they've gotta be before 11:00.
speaker_1,62.76,62.84,Yeah.
speaker_0,62.98,63.84,Are they fussy eaters?
speaker_1,64.04,64.22,No.
speaker_0,64.56,64.57,No.
speaker_1,64.599,65.94,"They are really nice, they're really kind."
speaker_0,65.97,67.06,Great. Do they ever send food back?
speaker_1,67.8,68.0,No.
speaker_0,68.2,68.24,No.
speaker_1,68.3,68.62,Never.
speaker_0,71.19,81.02,"The restaurant prepares the very best dishes to offer to the monastery, and every dish has to be perfect, like these savory dumplings known as moneybags. So that's a moneybag. And that's it."
speaker_1,81.56,83.62,Yeah. So easy and simple.
speaker_0,84.1,84.13,Uh-huh.
speaker_1,84.18,84.84,Maybe you can try.
speaker_0,85.6,94.66,"These dumplings are usually served as a starter. Pork and crab meat are wrapped in a delicate bean curd pastry, and the tops are tied with thin strips of spring onion. Now the shoelace."
speaker_1,94.72,96.0,"Now is, uh, the next step."
speaker_0,98.1,98.6,Nice and tight.
speaker_1,98.62,99.34,Very tight.
speaker_0,99.86,102.25,And how do you call the moneybag in your language? It's called-
speaker_1,102.3,104.1,"Uh, thung aun, thung thong."
speaker_0,104.36,104.8,Thung thong.
speaker_1,104.98,107.3,Thung thong or thung aun yong.
speaker_0,107.38,108.26,Right. Moneybags.
speaker_1,108.42,108.68,Okay.
speaker_0,108.72,109.24,"Okay, good."
speaker_1,110.01,110.01,Good.
speaker_0,110.04,125.1,"Chang's authentic moneybags are delicious, but I want to show him my take on a classic, Thailand's national dish, pad Thai. Okay, a quick pad Thai. I fry shallots, garlic, and chili with salt and a little bit of sugar. Color on the shallots."
speaker_0,126.62,134.12,Half the spring onions. This is a dish I love cooking at home. I'm using delicious king prawns and adding some extras like chili and tamarind paste.
speaker_0,136.28,137.94,I'm so excited I'm gonna be cooking for the monks today.
speaker_1,138.22,138.48,Yes.
speaker_0,138.92,140.36,Never cooked for monks before.
speaker_1,140.37,140.7,"Me too, me too, you know?"
speaker_0,141.62,148.0,"Those prawns smell amazing. My pad Thai is made sweet and sour with fish sauce, salt, and sugar."
speaker_0,150.94,153.92,Turn up the gas. And the tamarind paste.
speaker_0,156.82,161.26,A beaten egg is cooked in the wok and then added with the noodles and bean sprouts to the sauce.
speaker_0,162.78,164.46,"I hope they're gonna be happy with this, you know that?"
speaker_1,164.48,166.04,I think the monk will be happy.
speaker_0,167.24,175.96,"Prawns and fresh coriander finish the pad Thai. But what will Chang think of my quick and easy version of this classic? And then some peanuts around the outside. Happy? Oh, no."
speaker_1,175.98,176.78,But I have to taste.
speaker_0,177.3,178.24,"Yeah, please. I'd like to-"
speaker_1,178.26,180.02,"Before you go call pad Thai, I have to taste it first."
speaker_1,187.19,188.82,What you want to know from me? Ask me.
speaker_0,189.38,190.62,"Well, uh, uh, how is it?"
speaker_1,191.4,191.56,Hmm?
speaker_0,192.26,193.3,"Oh, no. Look at that face."
speaker_1,194.1,195.36,This is not pad Thai at all.
speaker_0,195.6,196.18,This is not pad Thai?
speaker_1,196.86,197.0,No.
speaker_0,197.14,197.15,No.
speaker_1,197.16,199.46,"Pad Thai have to be sweet, sour, and salty."
speaker_0,202.7,206.14,I think that doesn't taste too bad. It's not perfect.
speaker_1,206.16,207.66,"For you, but not for me."
speaker_0,209.0,211.4,You're a tough cookie. I'm gonna keep an eye on the monks-
speaker_1,211.49,211.49,Okay
speaker_0,211.49,212.22,... to see how it goes down.
