speaker,start,end,text
speaker_0,8.78,9.26,How much?
speaker_1,10.3,12.08,69 cent.
speaker_0,12.12,12.74,And the gas.
speaker_1,13.84,15.8,Y'all getting any rain up your way?
speaker_0,17.42,18.42,What way would that be?
speaker_1,18.74,20.32,I seen you was from Dallas.
speaker_0,22.94,25.78,"What business is it of yours where I'm from,"
speaker_0,27.72,28.28,friendo?
speaker_1,31.0,32.61,I didn't mean nothing by it.
speaker_0,32.74,33.86,You didn't mean nothing.
speaker_1,34.94,36.32,Just passing the time.
speaker_1,38.66,41.98,"If you don't wanna accept that, I don't know what else I can do for you."
speaker_1,45.36,46.52,Will there be something else?
speaker_0,46.94,48.54,I don't know. Will there?
speaker_1,55.3,56.14,Is something wrong?
speaker_0,56.62,57.0,With what?
speaker_1,57.2,57.84,With anything.
speaker_0,59.58,63.46,Is that what you're asking me? Is there something wrong with anything?
speaker_1,64.28,65.36,Will there be anything else?
speaker_0,65.62,66.58,You already asked me that.
speaker_1,70.26,72.94,"Oh, well, I need to see about closing now."
speaker_0,73.48,74.3,See about closing.
speaker_1,74.58,74.94,"Yes, sir."
speaker_0,75.14,76.14,What time do you close?
speaker_1,76.4,77.6,Now. We close now.
speaker_0,77.78,79.84,Now is not a time. What time do you close?
speaker_1,79.94,81.64,Generally around dark. At dark.
speaker_0,86.54,88.08,"You don't know what you're talking about, do you?"
speaker_1,88.54,88.9,Sir?
speaker_0,90.78,93.9,I said you don't know what you're talking about.
speaker_0,97.04,98.26,What time do you go to bed?
speaker_1,98.84,99.24,Sir?
speaker_0,99.74,103.02,"You're a bit, uh, fragile. I said what time do you go to bed?"
speaker_1,105.12,105.3,"Oh,"
speaker_1,107.84,111.1,"somewhere around 9:30. I'd, I'd say around 9:30."
speaker_0,111.6,112.54,I could come back then.
speaker_1,112.96,115.26,Why would you be coming back? We'll be closed.
speaker_0,115.38,116.08,"Yeah, you said that."
speaker_1,118.52,120.0,"Well, I got to close now."
speaker_0,120.22,121.8,You live in that house out back?
speaker_1,124.0,124.8,"Yes, I do."
speaker_0,125.86,126.98,You lived here all your life?
speaker_1,128.72,132.36,This was my wife's father's place o- originally.
speaker_0,135.3,136.12,You married into it.
speaker_1,137.26,139.8,"We lived in Temple, Texas for many years."
speaker_1,141.44,146.88,Raised a family there in Temple. We come out here about four years ago.
speaker_0,147.52,148.48,You married into it.
speaker_1,149.45,150.74,If that's the way you wanna put it.
speaker_0,151.06,152.88,"Well, I don't have some way to put it."
speaker_0,154.08,154.92,That's the way it is.
speaker_0,163.38,165.72,What's the most you ever lost on a coin toss?
speaker_1,167.14,167.42,Sir?
speaker_0,167.8,170.78,The most you ever lost on a coin toss.
speaker_1,172.92,174.84,I don't know. I couldn't say.
speaker_0,178.23,178.6,Call it.
speaker_1,179.46,179.88,Call it.
speaker_0,179.92,180.14,Yes.
speaker_1,181.26,181.9,For what?
speaker_0,182.28,182.84,Just call it.
speaker_1,185.9,189.58,"Well, we need to know what we're calling it for here."
speaker_0,189.74,194.28,"You need to call it. I can't call it for you. Well, it wouldn't be fair."
speaker_1,195.12,196.36,I didn't put nothing up.
speaker_0,196.5,200.9,"Yes, you did. You've been putting it up your whole life. You just didn't know it."
speaker_0,202.58,204.1,You know what date is on this coin?
speaker_1,204.88,205.08,No.
speaker_0,205.42,213.44,"1958. It's been traveling 22 years to get here, and now it's here, and it's either heads or tails,"
speaker_0,214.72,215.94,and you have to say call it.
speaker_1,216.7,219.62,"Look, I n- need to know what I stand to win."
speaker_0,219.76,220.299,Everything.
speaker_1,221.8,222.29,How's that?
speaker_0,222.78,224.6,You stand to win everything. Call it.
speaker_1,229.42,229.84,All right.
speaker_1,231.68,232.46,Heads then.
speaker_0,237.56,238.08,Well done.
speaker_0,240.72,241.64,Don't put it in your pocket.
speaker_1,241.76,241.98,Sir?
speaker_0,242.74,244.6,Don't put it in your pocket. It's your lucky quarter.
speaker_1,246.64,247.94,Where you want me to put it?
speaker_0,248.04,249.12,Anywhere not in your pocket
speaker_0,250.38,253.22,or it'll get mixed in with the others and become just a coin.
speaker_0,257.84,258.399,Which it is.
