segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,0.1,1.18,1.08,We've been riding with the police-
seg_0001,SPEAKER_2,speaker_1,1.21,1.21,0.0,Yes
seg_0002,SPEAKER_1,speaker_0,1.21,2.12,0.91,"... a little bit, you know that."
seg_0003,SPEAKER_2,speaker_1,2.26,3.74,1.48,"They've been telling you about us, right?"
seg_0004,SPEAKER_1,speaker_0,3.78,7.51,3.73,"They told me that you run things round here, and that you control the flow of drugs around here."
seg_0005,SPEAKER_2,speaker_1,7.58,10.56,2.98,"No, no. That's, that's wrong, man. That's wrong."
seg_0006,SPEAKER_1,speaker_0,11.24,14.7,3.46,"The, what's the story with your chain? Is that, are those, are those real diamonds?"
seg_0007,SPEAKER_2,speaker_1,18.3,18.72,0.42,Yes.
seg_0008,SPEAKER_3,speaker_2,19.1,19.63,0.53,They are.
seg_0009,SPEAKER_1,speaker_0,19.63,20.84,1.21,Are they? How much for something like that?
seg_0010,SPEAKER_2,speaker_1,21.86,23.52,1.66,"Like, couple, couple grand."
seg_0011,SPEAKER_1,speaker_0,24.06,24.58,0.52,Couple of grand?
seg_0012,SPEAKER_2,speaker_1,24.82,24.96,0.14,Yeah.
seg_0013,SPEAKER_1,speaker_0,25.04,27.04,2.0,"If those are diamonds, that must be quite a bit more than that."
seg_0014,SPEAKER_2,speaker_1,27.08,27.98,0.9,"Yes, it is."
seg_0015,SPEAKER_1,speaker_0,28.2,28.74,0.54,How much?
seg_0016,SPEAKER_2,speaker_1,29.34,30.32,0.98,Probably 24.
seg_0017,SPEAKER_1,speaker_0,30.74,32.32,1.58,"24,000? Maybe a bit more?"
seg_0018,SPEAKER_2,speaker_1,32.619,34.24,1.621,"Maybe a, the gold is higher now."
seg_0019,SPEAKER_1,speaker_0,34.74,35.339,0.599,"How much, then?"
seg_0020,SPEAKER_2,speaker_1,35.54,36.58,1.04,"Probably, like, 25."
seg_0021,SPEAKER_1,speaker_0,37.44,38.32,0.88,How do you make your living?
seg_0022,SPEAKER_2,speaker_1,38.76,49.24,10.48,"Well, look, I, look, s- real estate. We, we sell cars, and everything, you know. Look, this is my daughter right here. You know what I mean?"
seg_0023,SPEAKER_1,speaker_0,49.3,49.58,0.28,Really?
seg_0024,SPEAKER_2,speaker_1,49.74,54.32,4.58,"Yes. This is my daughter. She's seven years old. We're not doing nothing bad, man."
seg_0025,SPEAKER_1,speaker_0,55.22,57.52,2.3,"If I asked one of those police what you do, what would he say?"
seg_0026,SPEAKER_2,speaker_1,58.16,63.82,5.66,"That, that, that, that I'm a, that I, that I, whatever. I don't know. What, they got they own opinion."
seg_0027,SPEAKER_1,speaker_0,64.22,66.34,2.12,"They'd say that, they'd say that you're a big time drug dealer."
seg_0028,SPEAKER_2,speaker_1,67.14,72.679,5.539,"I'm not, man. For real, man. I, look, I, look, I pay rent."
