speaker,start,end,text
speaker_0,0.3,7.479,"Adam, I was thinking about it last night, um, about, and no offense, but... Oh, and actually this doesn't even involve you or your character."
speaker_1,7.6,7.89,Good.
speaker_0,8.17,16.56,"But for Kylo Ren to be, be such a bad guy, it means really that Han Solo and Princess Leia had to have been terrible parents. I mean, like-"
speaker_0,17.85,20.51,"... like, the Menendez Brothers had better parents-"
speaker_0,22.19,27.12,"... for him to go to those lengths. I feel like that's a, a, a hole that hasn't been explained."
speaker_1,27.98,28.5,I agree.
speaker_0,28.6,28.84,Yeah.
speaker_0,30.82,40.6,"Do, do... Like, when you play a character like that, do children still want to, like, dress as you for Halloween? Or are they just like, ""He's bad. He killed Han Solo. We don't like him."""
speaker_1,40.84,55.94,"No, that's my favorite part, I think, is kids and Halloween. Especially my building. We have a lot of... E- everybody in my building has, i- in New York has, has kids. Uh, so, uh, uh, applying them with, uh, um, lightsabers and helmets is kind of my job."
speaker_0,56.2,56.48,I see.
speaker_1,57.15,57.15,Yeah.
speaker_0,57.2,58.43,So you supply them with all that stuff.
speaker_1,58.65,58.65,Yeah.
speaker_0,58.66,61.94,"And then they come, they reward you by coming to your door dressed as your character."
speaker_1,62.04,62.34,"Yeah, yeah, yeah."
speaker_0,62.37,64.599,And will they get extra candy when they do something like that?
speaker_1,64.739,64.84,No.
speaker_0,65.14,65.519,They will not.
speaker_0,66.94,68.8,That's what it is to be a bad guy.
speaker_1,68.84,69.22,Yeah.
speaker_0,70.74,75.22,"Rian, is Jedi in the, the title of this film singular or plural?"
speaker_3,75.52,77.26,"Oh, you go right for the throat, don't you?"
speaker_3,78.73,85.24,"Uh, who put you up to this? Uh, I always, in my mind it was always singular,'cause in my mind it always referred to Luke."
speaker_0,85.4,85.41,Okay.
speaker_3,85.42,87.38,Luke Skywalker is the last Jedi. So-
speaker_0,87.4,88.73,"And you're the writer, so in your mind you-"
speaker_3,88.76,92.06,"I, when I say our mind, I don't know what else I'm talking about. But yeah, yeah, yeah, I guess so."
speaker_0,92.14,92.42,Okay.
speaker_3,92.64,93.46,"So, yes. Yes."
speaker_0,93.52,97.3,"It's not Jedi with two... Would Jedi be, would there be two Is at the end of Jedi if it was?"
speaker_3,97.34,98.04,"Jedi, yes."
speaker_0,98.12,98.52,Jedu.
speaker_3,98.74,99.28,Jediol.
speaker_0,100.71,105.22,"Daisy, uh, is your character, Rey, related to anyone o- on the, any of these charts?"
speaker_0,107.72,108.68,Do you think that you have a-
speaker_4,109.14,109.15,Rian?
speaker_3,109.16,109.64,Daisy?
speaker_0,109.65,110.32,... a feeling of...
speaker_4,111.34,111.98,Mark?
speaker_1,112.28,113.0,Ah.
speaker_4,113.8,113.81,Huh?
speaker_1,113.84,119.9,"I'm not telling. You know, uh, it's, this whole saga is about family."
speaker_0,120.58,120.7,Uh-huh.
speaker_1,120.76,121.78,A dysfunctional family.
speaker_0,121.82,123.47,It's like This Is Us in space in a way.
speaker_1,123.48,123.8,Yes.
speaker_3,123.84,124.14,Yeah.
speaker_1,125.14,131.96,"So, I mean, uh, you know, you think you have bad relatives. Imagine how I felt when I realized he was Dad Vader."
speaker_0,132.38,132.78,Yeah.
speaker_1,132.82,133.76,"You know? And I, I-"
speaker_0,133.8,134.29,"And what, how, what was-"
speaker_1,134.36,145.269,"I thought I was a nice, nurturing... In my mind, I was a, a, a great uncle to, to Ben Solo. And, uh, I feel tremendous guilt, uh, that I wasn't, uh, there for him when-"
speaker_0,145.34,146.66,"Yeah, nobody was there for him-"
speaker_1,146.72,146.73,Yeah
speaker_0,146.73,147.74,... and look what happened.
speaker_1,148.36,150.12,"Talk about a nefarious nephew, eh?"
speaker_0,151.34,163.59,"When you did... Now, I don't know, you know, m- m- a lot of people probably don't remember, but when Darth Vader said, ""I am your father,"" it was like, I remember being in the theater and feeling shock and excitement, and it was-"
speaker_1,163.63,163.63,"Oh, yeah"
speaker_0,163.63,166.62,... really the ultimate spoiler. We didn't have the internet back then-
speaker_1,166.69,166.69,Right
speaker_0,166.69,168.67,... so people couldn't spread it around.
speaker_1,168.76,169.2,Yeah.
speaker_0,169.21,171.1,D- how long did you have to keep that secret?
speaker_1,171.4,185.0,"Oh, well over a year and a half. And you know, in the first one, nobody cared. I, you know, when they gave me Star Wars, I gave it to my friends to read. I said, ""This is really goofy. You should read this."" And they said, ""Can I give it to Sheila?"" ""Sure."""
speaker_1,186.43,232.7,"You know, I, it, nobody cared. But now, with Empire, Star Wars became a thing. And when I read the script, there was a, uh, a placeholder for that moment, which was, uh, an attempt to keep the secret, even from the cast and crew. Because at that moment in the screenplay, it's just as you see it, but the revelation is when Vader says, ""You don't know the truth. Obi-Wan killed your father."" And I say, scream, ""No,"" just like you see it. ""That's not true. That's impossible."" Wallop with the, the hand and so forth. And I thought, ""What an amazing twist."" Sir Alec Guinness is the ultimate bad guy. And Irvin Kershner, the director, said, uh, ""I wanna see you after shooting,"" which is scary. It's like your teacher in sign out."
speaker_3,232.76,232.78,I was gonna s-
speaker_1,232.79,232.79,I know
speaker_3,232.79,233.25,... save that line-
speaker_1,233.29,233.62,That's right
speaker_3,233.63,233.9,... for the next one.
speaker_1,233.94,234.74,You're in for it now.
speaker_0,234.86,236.24,This is after you shot the scene?
speaker_1,236.72,238.1,"Uh, no, before we shot the scene."
speaker_0,238.14,238.34,Okay.
speaker_1,238.37,247.9,"He said, ""I'm gonna tell you something that I know, George knows,"" meaning George Lucas, ""and when I tell you, you'll know. Because if it leaks, we'll know it's you."""
speaker_1,249.46,258.62,"And I said, ""What? What? What?"" He said, ""We're gonna put in this line."" And he gave me the piece of paper that said, ""I am your father."" And I was just, like you."
speaker_0,258.8,259.14,Yeah.
speaker_1,259.22,288.37,"I was just stunned. I thought, ""Well, as, you know, as good as, uh, Guinness being the bad guy, this is even..."" I said, ""Is this true?"" And he said, ""Well, you're gonna play."" He says, ""Search your feelings,"" and, uh, you know, it was shocking. But I have to tell you, within three days of shooting that scene, there were, uh, tabloid news reporters that would hang around in pubs, uh, uh, down the street from Elstree Studios in Borehamwood, offering 15 pound notes. ""You go on Star Wars. Come on, we need some stories."""
speaker_1,289.95,307.03,"And within three days on, it wasn't a big he- it was a little box on the front of a, a tabloid. It said, ""Guinness Head Baddie in Star Wars II."" In England, baddie is what they use for villain. There's no title, Empire Strikes Back, just Star Wars II. And I was delighted, because they had leaked-"
speaker_0,307.06,308.34,The wrong information
speaker_1,308.36,308.39,... the information.
speaker_0,308.4,308.92,Got it.
speaker_1,308.96,309.22,Yeah.
speaker_0,309.23,309.23,Yeah.
speaker_1,309.24,334.82,"But the thing is, it, it was torturous. Because for a year and a half, I mean, I was really nervous that I'd slip up or talk in my sleep or something. It, it was a real, it was a real burden. But I'm really proud, because by, by the time we saw the screening and it happened, everybody even in the screening that had worked on the film, and the cast was there too, were stunned. Harrison turned around, he was sitting right in front of me, he said, ""Hey, kid."""
speaker_1,336.36,337.84,"""You didn't tell me that."""
speaker_0,344.1,344.88,Yeah. Uh-
speaker_1,344.98,345.36,Yes
speaker_0,345.37,349.51,"... I, I apologize. I only included the F-bomb for historical accuracy."
speaker_1,349.52,351.45,"Well, it, he, he's the one who said it."
speaker_0,351.48,352.6,Because that's what he said.
speaker_1,352.72,354.24,Does he like your imitation of him?
speaker_0,355.22,357.159,"Uh, I- I don't think so. He-"
speaker_1,357.26,361.04,"I got a phone call from him one time. He said, ""Yeah, that don't sound anything like that."""
speaker_0,363.44,369.84,"Do you love clicking buttons and subscribing to things? Then click the button to subscribe to my channel, and you'll finally be happy."
