speaker,start,end,text
speaker_0,0.06,0.86,Here's how this works.
speaker_1,1.1,1.18,Whoo.
speaker_0,1.48,14.4,"We each have two envelopes containing confessions. One is true, the other is a lie. Once you read your confession, the other two players get to interrogate you, and then they have to come up with a unanimous decision: is it the truth or is it a lie?"
speaker_2,14.52,14.72,Ooh.
speaker_1,14.93,14.93,Ooh.
speaker_0,15.82,16.9,"Matthew, you'll go first."
speaker_2,17.12,17.4,Ooh. Ooh.
speaker_0,17.58,20.21,"Uh, what envelope should you open, number one or two?"
speaker_2,20.24,21.1,"Oh, which one?"
speaker_0,21.54,22.28,I think we should say-
speaker_2,22.8,23.12,Number two
speaker_0,23.2,23.58,... number two.
speaker_2,23.7,23.96,There you are.
speaker_1,23.98,24.22,Number-
speaker_0,24.4,24.79,Number two
speaker_2,25.12,28.97,... two. See what we've got here. I once ate
speaker_2,31.36,36.02,... I once ate peyote in a cage with a mountain lion.
speaker_2,39.48,40.02,Okay.
speaker_0,40.4,40.48,W- what?
speaker_2,40.52,41.29,Can I start with a question?
speaker_0,41.32,41.94,"Yes, of course."
speaker_2,42.38,44.12,What in God's name is peyote?
speaker_0,45.84,48.589,"Oh, I know. Peyote is, like, some type of hallucinogenic-"
speaker_2,48.61,49.75,"It's a, it's a spiritual, uh, uh-"
speaker_1,49.84,50.52,"Oh, it's a drug"
speaker_2,50.64,50.73,... thing
speaker_0,50.74,51.44,You were in a ca-
speaker_2,51.64,51.65,Please
speaker_0,51.66,52.28,What year was this?
speaker_2,52.96,53.55,What year was this?
speaker_0,53.62,54.2,"Yeah, when was it?"
speaker_2,54.8,56.62,"14, 14 years ago."
speaker_0,56.92,60.66,"F- yeah, and why would you, how could you, how could you be in a cage with a mountain lion?"
speaker_2,60.68,61.919,"Well, that was the easy part."
speaker_2,63.6,65.44,"Did, did the mountain lion take any peyote?"
speaker_2,67.32,71.44,"I will say this, four hours later, the mountain lion was cuddled up with me and purring."
speaker_0,74.52,79.4,"He's such a good actor, I'm freaking out. Uh, wait. W- why, what would make you do this, and was it a mistake?"
speaker_2,80.6,85.5,"No, it was one of the more thrilling, uh, uh, um, escapades of my life, actually."
speaker_0,86.72,88.25,"Do you, did you pay someone to do this?"
speaker_2,89.02,90.94,"No, no, this was just me and the mountain lion."
speaker_0,92.82,94.0,"Do you, do you take a lot of drugs?"
speaker_2,94.01,96.56,"So it was not filmed. No, I do not."
speaker_0,97.76,98.29,What do you think?
speaker_2,99.38,101.82,"Well, I think he is quite druggy, so I-"
speaker_0,106.62,110.76,"Right, but peyote with a mountain lion is dangerous. Well, he could be a little dangerous, too."
speaker_2,112.28,114.3,He may have thought he saw a lion.
speaker_2,116.72,118.0,I'm going to go with true.
speaker_0,120.74,121.82,"Okay, I'll say true as well."
speaker_2,121.98,122.44,That is true.
speaker_1,122.69,123.28,What?
speaker_0,123.31,124.66,What? What?
speaker_0,126.74,127.39,Are you kidding me?
speaker_2,127.72,130.94,"It was in Me- it was in Mexico, if that helps the believability of the story."
speaker_0,130.949,131.34,"Oh, in Mexico."
speaker_2,131.44,133.36,"Oh, well, yeah. Of course, anything happens."
speaker_0,133.4,134.72,Are you serious?
speaker_2,134.92,135.2,Yes.
speaker_0,135.22,136.06,Were you freaking out?
speaker_2,136.76,137.98,"No, that's why it worked out."
speaker_0,139.9,140.04,Matthew.
speaker_2,140.06,145.26,"If I would've freaked out, it probably wouldn't have worked out. Was the lion menacing at any stage?"
speaker_0,146.82,147.34,At the beginning.
speaker_0,149.22,149.72,But I-
speaker_2,149.78,151.63,You took- We got on the same frequency and-
speaker_0,152.13,152.13,There you are.
speaker_0,153.7,154.15,"All right, all right, all right."
speaker_2,154.26,155.26,"Oh, my gosh"
speaker_0,155.32,160.049,"We, we, we, we got on the mammalian frequency and things all-... they said. He ended up purring and-"
speaker_2,160.14,160.47,"Oh, my-"
speaker_0,160.62,164.23,... scratching him behind the ears four hours later. Everyone should try it at least once.
speaker_2,164.28,165.84,"All right, which one should I open, one or two?"
speaker_0,166.2,166.21,One.
speaker_2,166.22,167.3,"Two, two, two."
speaker_1,168.64,169.0,One.
speaker_2,170.36,170.679,One.
speaker_0,176.46,178.64,I got hit by a car at full speed and survived.
speaker_2,179.48,180.24,"No, you didn't."
speaker_1,181.35,181.35,True.
speaker_2,181.4,184.26,"No, you didn't. Full, what's full speed?"
speaker_2,185.88,187.2,Like a Matchbox car?
speaker_0,187.32,187.81,It wasn't a very... I'd say probably f-
speaker_2,188.64,189.18,Hot Wheels?
speaker_2,190.76,191.91,Is this a regular-sized automobile?
speaker_0,191.92,193.62,"Uh, yeah. Sure, regular size."
speaker_2,193.63,193.79,Like a passenger?
speaker_0,193.94,195.22,I'd say it's like an SUV maybe.
speaker_2,195.4,196.64,"Oh, SUV maybe."
speaker_1,197.14,197.15,Yeah.
speaker_0,197.16,198.19,"It was going very fast. I couldn't, like-"
speaker_2,198.2,198.92,What year was this?
speaker_0,200.6,201.66,I'd say it's probably
speaker_0,202.96,203.84,10 years ago maybe or-
speaker_2,203.89,204.96,Were you doing peyote?
speaker_0,207.16,209.12,"No, I was not doing peyote. I had a... No."
speaker_2,209.2,211.359,Did you go under the car or over the top?
speaker_2,213.16,213.93,"Oh, a minor detail you forgot."
speaker_0,213.93,218.13,"Are you picturing me f- flipping over it? No, you know what happened is I... No. I didn't go, I didn't-"
speaker_0,219.9,220.47,"The, the, the details of the taxi-"
speaker_2,220.47,224.549,"I, I kind of, I kind of grazed it. I, I grazed the mirror. The, the mirror."
speaker_0,224.609,225.25,"Oh, it didn't really hit you."
speaker_2,225.25,226.5,So it didn't really hit you at full speed.
speaker_0,226.8,229.4,I f- I spun around and my shoes came off.
speaker_0,231.26,231.29,It's all-
speaker_2,231.3,232.45,"And you were in flip-flops, though?"
speaker_0,232.86,235.06,"No, I was wear- I was into, like, clogs at this time of my life."
speaker_2,235.14,236.9,"Oh, and they were untied anyway, though."
speaker_0,236.92,237.68,They were tied up.
speaker_2,237.74,238.02,Mm.
speaker_1,238.82,240.8,What else were you wearing besides clogs?
speaker_0,241.84,242.68,I was wearing jeans.
speaker_2,242.86,244.62,Did you have underwear on under those jeans?
speaker_0,245.7,248.34,"Yeah, for a moment. No, I did, yeah."
speaker_2,248.5,252.27,"Were, were those underwear the- Were they still clean after the, after the clogs?"
speaker_0,252.28,253.92,"No. No, yeah, no. Questions are-"
speaker_2,254.34,255.78,"The story, the story is false. It's false."
speaker_0,255.8,256.01,It is false.
speaker_2,256.019,256.35,Because it-
speaker_0,256.63,256.67,Yeah
speaker_2,256.68,259.06,"... for a start, you weren't really hit. If anything, you were brushed."
speaker_0,259.089,259.8,Yeah. It just nicked you.
