speaker,start,end,text
speaker_0,4.43,6.06,"Hello, I'm Margaret Jo McCullen."
speaker_1,6.6,8.36,And I'm Teri Rialto.
speaker_0,8.38,10.64,And you're listening to The Delicious Dish-
speaker_1,10.9,11.07,The Delicious Dish-
speaker_0,11.07,11.77,... on National Public Radio
speaker_1,11.77,12.68,... on National Public Radio.
speaker_0,15.72,18.91,"Now, Teri, it's Christmas season again, our favorite time of year."
speaker_1,19.63,28.9,"That's right, Margaret Jo. Holiday time is when the most wonderful culinary wishes can come true. Now, what's on your list this holiday season, Margaret Jo?"
speaker_0,29.49,38.12,"Well, Teri, I really got greedy this year. I'm asking Kris Kringle for a wooden bowl, some oversized index cards, and a funnel."
speaker_1,39.4,42.84,"Ooh, a funnel. That'll be great for funneling."
speaker_0,43.12,44.64,"I know. I, I feel like a glutton."
speaker_0,47.66,49.18,"What's on your list, Teri?"
speaker_1,49.28,58.22,"Well, I'm only asking Santa for one thing, a big box of glue traps to help me deal with my excessive rat problem. Now, tell me, um,"
speaker_1,59.76,63.1,"are you, Margaret Jo, going to leave any treats out for Santa this year?"
speaker_0,63.18,67.5,"Oh, absolutely. I always do. I like to leave Santa some tap water and rice."
speaker_0,70.82,74.679,"If Santa's anything like me, Christmas foods really wreak havoc on the old digestive system."
speaker_0,75.88,76.78,"What are you gonna leave, Teri?"
speaker_1,77.44,81.46,"Uh, I can't ever leave food out in my apartment because I have an excessive rat problem."
speaker_0,85.24,86.32,That's neat. Santa's fun.
speaker_1,86.38,86.65,Santa's fun.
speaker_0,86.66,87.28,He is fun.
speaker_1,87.31,87.66,Neat.
speaker_0,87.96,88.42,"Yeah, it's fun."
speaker_1,88.46,88.7,Fun.
speaker_0,88.85,89.03,I like Christmas.
speaker_1,89.04,90.34,Good times. Good times.
speaker_0,90.78,91.36,It's neat.
speaker_1,93.64,100.48,"Well, Christmas is a time for traditional foods and bite-sized treats, and we have a very special guest today."
speaker_0,100.78,105.54,"That's right, Teri. He's the owner of his own holiday bakery with a very, very clever name,"
speaker_0,107.04,108.06,Seasons Eatings.
speaker_1,111.74,112.7,That's really funny.
speaker_0,114.24,116.02,I know. It rhymes with seasons greetings.
speaker_1,119.34,124.55,"Uh, please welcome the owner of Seasons Eatings, Pete Schweddy."
speaker_0,126.4,126.41,"Hi, Pete."
speaker_0,128.36,129.109,Welcome. How are you?
speaker_1,129.12,129.759,"Welcome, Pete."
speaker_0,129.8,130.8,We like the name of your store.
speaker_2,131.76,132.84,Hi. Thanks for having me.
speaker_1,133.7,136.88,"Oh. Now, did I pronounce your name, uh, correctly?"
speaker_2,137.6,139.42,Y- you sure did. Pete Schweddy.
speaker_0,142.56,149.5,"Well, Pete, Teri and I have been looking forward to having you on the show'cause we know you're the master of all kinds of Christmas goodies. Tell us about them."
speaker_2,149.94,153.12,"Well, there are lots of great treats this time of year, zucchini bread-"
speaker_1,153.29,153.29,Mm
speaker_2,153.29,158.04,... fruitcake. But the thing that I most like to bring out at this time of the year are my balls.
speaker_1,165.1,167.32,"Mm. Mm, balls."
speaker_1,168.9,169.08,Mm.
speaker_1,170.32,172.04,"Tell us about your balls, Pete."
speaker_2,174.18,178.19,"Well, over at Seasons Eatings, we have balls for every taste, popcorn balls-"
speaker_1,178.28,178.329,Mm
speaker_2,178.329,179.84,"... cheese balls, rum balls, you name it."
speaker_0,179.88,179.98,Mm.
speaker_0,181.54,184.78,Wow. My mouth's watering just thinking about those balls.
speaker_1,188.38,190.94,It's been years since I've seen any balls.
speaker_2,193.769,195.19,Would you like to see my balls now?
speaker_0,196.44,196.7,Yeah.
speaker_1,196.76,197.16,Yeah.
speaker_0,197.22,197.66,Whip'em out.
speaker_1,198.2,199.079,"Whip'em, baby."
speaker_0,201.86,202.459,Ooh.
speaker_1,202.62,202.63,Wow.
speaker_0,202.68,203.34,Mm.
speaker_1,204.34,207.02,Wow. You have some beautiful balls.
speaker_0,209.15,210.36,They're bigger than I expected.
speaker_2,213.3,214.48,I know. A lot of people tell me that.
speaker_0,215.76,217.2,"Look at that, Teri, the way they glisten."
speaker_2,219.37,222.38,That's because I make sure that each one of my balls gets plenty of oil.
speaker_1,224.12,226.74,"I can't help but notice, Pete, your balls are a little misshapen."
speaker_2,229.52,232.36,That's because I rested them on a hot stove for too long.
speaker_1,235.52,236.62,Can I touch your balls?
speaker_2,238.84,240.66,"Go ahead, but be careful. They're very delicate."
