segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,2.2,13.84,11.64,"All right, listen up, y'all. I'm y'all's substitute teacher, Mr. Garvey. I taught school for 20 years in the inner city, so don't even think about messing with me. Y'all feel me?"
seg_0001,SPEAKER_2,speaker_1,14.96,15.2,0.24,Mm-hmm.
seg_0002,SPEAKER_1,speaker_0,15.72,17.26,1.54,"Okay, let's take roll here."
seg_0003,SPEAKER_1,speaker_0,19.1,19.64,0.54,Jay Quellin?
seg_0004,SPEAKER_1,speaker_0,23.0,25.52,2.52,Where's Jay Quellin at? No Jay Quellin here?
seg_0005,SPEAKER_1,speaker_0,28.88,29.06,0.18,Yeah.
seg_0006,SPEAKER_3,speaker_2,29.66,31.74,2.08,"Uh, do you mean Jacqueline?"
seg_0007,SPEAKER_1,speaker_0,32.28,37.24,4.96,"Okay. So, that's how it's gonna be. Y'all wanna play. Okay, then."
seg_0008,SPEAKER_1,speaker_0,38.8,40.02,1.22,"I've got my eye on you, Jay Quellin."
seg_0009,SPEAKER_1,speaker_0,44.6,45.16,0.56,Balake.
seg_0010,SPEAKER_1,speaker_0,47.12,48.2,1.08,Where is Balake at?
seg_0011,SPEAKER_1,speaker_0,49.82,51.48,1.66,There's n- no Balake here today?
seg_0012,SPEAKER_1,speaker_0,53.9,54.32,0.42,"Yes, sir."
seg_0013,SPEAKER_4,speaker_3,55.02,56.06,1.04,My name's Blake.
seg_0014,SPEAKER_1,speaker_0,56.74,56.96,0.22,Bl-
seg_0015,SPEAKER_1,speaker_0,58.2,59.6,1.4,are you out of your goddamn mind?
seg_0016,SPEAKER_4,speaker_3,60.64,61.6,0.96,Blake.
seg_0017,SPEAKER_1,speaker_0,62.18,64.44,2.26,"What? Do you wanna go to war, Balake?"
seg_0018,SPEAKER_4,speaker_3,64.82,65.04,0.22,No.
seg_0019,SPEAKER_1,speaker_0,65.08,66.28,1.2,'Cause we could go to war.
seg_0020,SPEAKER_4,speaker_3,66.46,66.64,0.18,No.
seg_0021,SPEAKER_1,speaker_0,67.04,71.84,4.8,"I'm for real. I'm for real. So, you better check yourself."
seg_0022,SPEAKER_1,speaker_0,74.82,75.42,0.6,D-Nice.
seg_0023,SPEAKER_1,speaker_0,77.88,78.78,0.9,Is there a D-Nice?
seg_0024,SPEAKER_1,speaker_0,81.52,84.92,3.4,"If one of y'all says some silly-ass name,"
seg_0025,SPEAKER_1,speaker_0,86.14,90.86,4.72,"this whole class is gonna feel my wrath. Now, D-Nice."
seg_0026,SPEAKER_5,speaker_4,91.64,92.5,0.86,Do you mean Denise?
seg_0027,SPEAKER_1,speaker_0,92.84,94.14,1.3,Son of a bitch.
seg_0028,SPEAKER_1,speaker_0,96.02,97.8,1.78,"You say your name right, right now."
seg_0029,SPEAKER_5,speaker_4,97.92,98.34,0.42,Denise.
seg_0030,SPEAKER_1,speaker_0,98.78,99.12,0.34,Say it right.
seg_0031,SPEAKER_5,speaker_4,99.36,99.66,0.3,Denise.
seg_0032,SPEAKER_1,speaker_0,99.7,100.08,0.38,Correctly.
seg_0033,SPEAKER_5,speaker_4,100.2,100.59,0.39,Denise.
seg_0034,SPEAKER_1,speaker_0,100.59,100.82,0.23,Right.
seg_0035,SPEAKER_5,speaker_4,100.9,101.22,0.32,Denise.
seg_0036,SPEAKER_1,speaker_0,101.26,101.54,0.28,Right.
seg_0037,SPEAKER_5,speaker_4,102.36,102.75,0.39,D-Nice.
seg_0038,SPEAKER_1,speaker_0,102.84,105.04,2.2,"That's better. Thank you. Now,"
seg_0039,SPEAKER_1,speaker_0,106.38,111.9,5.52,"A. Aaron, where are you? Where is A. Aaron right now?"
seg_0040,SPEAKER_1,speaker_0,113.34,120.08,6.74,"No A. Aaron, huh? Well, you better be sick, dead, or mute, A. Aaron."
seg_0041,SPEAKER_6,speaker_5,120.12,120.38,0.26,Here.
seg_0042,SPEAKER_1,speaker_0,120.86,121.6,0.74,"Oh, man."
seg_0043,SPEAKER_1,speaker_0,123.7,125.64,1.94,"Why didn't you answer me the first time I said it, huh?"
seg_0044,SPEAKER_6,speaker_5,125.72,126.22,0.5,Huh?
seg_0045,SPEAKER_1,speaker_0,126.28,132.4,6.12,"I'm just, you know, I'm just asking. You know, I said it, like, four times, so why didn't you say it the first time I said A. Aaron?"
seg_0046,SPEAKER_6,speaker_5,135.1,136.42,1.32,Because it's pronounced Aaron.
seg_0047,SPEAKER_1,speaker_0,136.8,138.94,2.14,Son of a bitch.
seg_0048,SPEAKER_1,speaker_0,140.41,146.96,6.55,"You done messed up, A. Aaron. Now take your ass on down to O-Shag Hennessey's office right now and tell him exactly what you did."
seg_0049,SPEAKER_6,speaker_5,148.56,148.72,0.16,Who?
seg_0050,SPEAKER_1,speaker_0,149.3,150.36,1.06,O-Shag Hennessey.
seg_0051,SPEAKER_6,speaker_5,152.34,153.32,0.98,Principal O'Shaughnessy?
seg_0052,SPEAKER_1,speaker_0,153.5,158.46,4.96,Get out of my goddamn classroom before I break my foot off in your ass. Insubordinate
seg_0053,SPEAKER_1,speaker_0,160.0,160.76,0.76,and churlish.
seg_0054,SPEAKER_1,speaker_0,166.64,167.2,0.56,Timothy.
seg_0055,SPEAKER_7,speaker_6,168.52,169.08,0.56,Present.
seg_0056,SPEAKER_1,speaker_0,169.92,170.5,0.58,Thank you.
