speaker,start,end,text
speaker_0,0.68,16.48,"Hi, guys. Welcome to your first day as interns at Mattel, the Barbie division. You're all here because of your interest in toy marketing or in Barbie herself. We take the Barbie brand very seriously here. I'll let the senior VP of Barbie social media elaborate more on that."
speaker_1,17.48,31.94,Who is Barbie? Barbie is fun. Barbie works hard and plays thoughtfully. She has one boyfriend. She is impossible. She is girl to the max. Barbie is current. You understand?
speaker_0,32.259,41.26,"Yes, exactly. And last year we launched her very popular Instagram account, which allows her to connect with her fans online. Now, you three will be helping out with the captions."
speaker_1,41.76,42.74,Why don't we give it a try?
speaker_0,44.34,47.2,What would be a fun caption for this post? Tamra?
speaker_3,48.16,51.24,"Mm, love my juice and my chocolate bar."
speaker_1,52.52,55.0,That's not a chocolate bar. It's a clutch.
speaker_0,55.04,57.62,"It's, it's fine. You, what would you write here?"
speaker_4,58.78,59.9,I'm holding a chocolate bar.
speaker_1,60.94,61.84,I swear to God.
speaker_0,61.92,63.9,"Michael, sweetie, he just told you it's a clutch."
speaker_4,64.519,67.04,"Oh, oh, then, ""Oh, no, I forgot my clutch."""
speaker_1,68.46,69.58,She's holding the clutch.
speaker_4,70.42,72.38,"Oh, then where's her chocolate bar?"
speaker_1,73.32,74.2,There never was one.
speaker_0,74.23,75.64,"All right, never mind. What about you?"
speaker_5,77.02,79.82,I can't shake the image of that girl getting hit by that car-
speaker_5,81.55,87.04,"... four years ago outside of my Dreamhouse. Anyway, I was holding a chocolate bar like this one."
speaker_1,89.7,96.35,"Listen to me, boy. Barbie never witnessed such a thing. That sort of thing does not happen outside of Barbie's house."
speaker_0,96.38,101.6,"Bernard, calm down. It's okay. Let's just, we'll do another picture, all right? Tamra, what's your caption?"
speaker_3,102.32,105.78,"Hi, it's Barbie. I can't find my dog."
speaker_1,110.78,114.1,The dog is right there-... at her feet.
speaker_3,115.02,117.08,"Yeah, but she's not seeing it."
speaker_0,117.54,119.54,"All right. Michael, what's your caption?"
speaker_4,120.1,120.72,"""I'm Barbie."""
speaker_0,121.9,124.12,"She's answering the phone saying, ""I'm Barbie""?"
speaker_4,124.82,126.46,"No, she's just thinking it."
speaker_1,127.78,132.95,"So she picked up the phone, held it to her face and mouth, and thought, ""I'm Barbie""?"
speaker_4,133.9,135.68,"Yes, exactly. She's practicing."
speaker_1,136.42,138.39,Practicing what? Thinking that she's Barbie?
speaker_0,138.56,140.72,"O- okay, l- let's move on. Jason, your caption?"
speaker_5,141.26,149.7,"Hey, I'm so sorry to do this, but I won't be able to come to the party. I just can't. I got all dressed up, but I just can't shake this funk I'm in."
speaker_5,151.38,152.2,I'm freaking out.
speaker_5,153.74,156.06,I'm back to thinking about that girl from four years ago.
speaker_5,158.23,165.38,"I know it sounds crazy, but I think she was trying to tell me something. I'm sorry. I'm stuck. Anyway, give me a call when you can."
speaker_5,167.56,173.38,"Oh, I'm sorry, this is Barbie. But you knew that, you have caller ID. I'm so stupid. Goodbye."
speaker_1,175.74,185.32,"So young man, you are suggesting that not only Barbie will miss a party, but that she's traumatized by something that I just told you never happened to her?"
speaker_5,185.94,189.06,I think addressing the trauma is important. It's a discussion that needs to be had.
speaker_1,189.72,192.62,Not by Barbie. Not by Barbie.
speaker_0,192.68,201.44,"Bernard, breathe. Remember your condition. Okay, let's just do another one, but I'll show you what we have in mind, okay? Beautiful sunset in Malibu. You see? Just like that."
speaker_4,201.8,201.96,Oh.
speaker_5,202.02,202.68,"Sure, I like it."
speaker_0,202.76,203.56,"Okay, go for it."
speaker_3,204.82,206.82,It's almost not night anymore.
speaker_0,206.88,207.38,Oh my God.
speaker_0,208.7,209.18,And you?
speaker_4,210.54,211.24,Is that Barbie?
speaker_0,212.06,214.16,Is that Barbie in the picture? Of course that's Barbie.
speaker_4,214.54,219.64,"Oh, I didn't recognize her back. In that case, I'm Barbie. This is just my back."
speaker_5,221.3,230.92,"Now me. I overheard a woman at the supermarket say the strangest thing. She said, ""There goes Barbie. Poor thing, she doesn't know she's a toy-"
speaker_5,232.25,245.76,"... created by a corporation. Silly thing has never wondered where the car or the house came from."" And the truth is, I'd never thought of those things until today. Today is the first and very last day of my life."
speaker_1,248.98,259.82,"Okay, I'm really trying to wrap my brain around this. You're suggesting that Barbie finds out that she's a toy in the supermarket, and then she has some sort of identity crisis that drives her to suicide?"
speaker_5,260.2,261.38,It's the only way she can be free.
speaker_1,263.38,268.32,"Okay, Deirdre, I'm gonna close my eyes, and when I open them, I want all three of them out of the building."
speaker_0,268.34,273.219,"Yes, yes, and I'm going to leave my eyes open and make sure that that happens for him. Well, leave."
speaker_3,273.64,273.75,Oh.
speaker_0,275.94,278.08,"All right, you can open your eyes. They're gone."
speaker_1,278.2,278.4,Thank God.
speaker_0,278.46,281.57,"All right, so we're gonna go with the, ""I'm Barbie, this is my back,"" right?"
speaker_1,281.72,282.84,"Oh, definitely. It gets to the point."
speaker_0,282.969,283.52,That's good.
