segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_2,speaker_1,5.18,10.26,5.08,"The right triangle's longest side is called the hypotenuse, and it's this side here."
seg_0001,SPEAKER_3,speaker_2,10.72,10.93,0.21,Hey.
seg_0002,SPEAKER_2,speaker_1,10.98,12.12,1.14,"See, the longest one-"
seg_0003,SPEAKER_3,speaker_2,12.58,15.46,2.88,I wish I were high on pot noose.
seg_0004,SPEAKER_3,speaker_2,17.14,19.38,2.24,I wish I was high on pot noose.
seg_0005,SPEAKER_2,speaker_1,31.5,37.48,5.98,"Okay. Okay, okay. Uh, Mr. Morrison, it's very funny. It's very funny, but let's get back to the lesson."
seg_0006,SPEAKER_2,speaker_1,39.2,42.54,3.34,And we can see the longest one where it goes from this point-
seg_0007,SPEAKER_3,speaker_2,42.62,43.52,0.9,That was my joke
seg_0008,SPEAKER_2,speaker_1,43.58,44.15,0.57,... to that point. This is one-
seg_0009,SPEAKER_4,speaker_3,44.22,45.42,1.2,"I know, man. That was hilarious"
seg_0010,SPEAKER_2,speaker_1,45.5,48.36,2.86,"... of a triangle. I've labeled them here A, B, and C."
seg_0011,SPEAKER_3,speaker_2,48.44,49.61,1.17,"No, but I mean, I said that"
seg_0012,SPEAKER_2,speaker_1,49.64,50.34,0.7,They could be labeled anything.
seg_0013,SPEAKER_3,speaker_2,50.49,50.96,0.47,I said it.
seg_0014,SPEAKER_2,speaker_1,51.1,52.81,1.71,"We say that they're A, B, and C so that when you-"
seg_0015,SPEAKER_3,speaker_2,52.81,53.56,0.75,I said it. I said that.
seg_0016,SPEAKER_2,speaker_1,53.82,58.14,4.32,"Please, please, Mr. Jackson, keep your comments to yourself. Thank you."
seg_0017,SPEAKER_2,speaker_1,60.08,61.7,1.62,"Now, the hypotenuse i-"
seg_0018,SPEAKER_2,speaker_1,68.58,78.04,9.46,"Mr. Morrison, you really got me on that one. Oh, so great. Oh, oh, Principal Martel, Principal Martel, come here, come here, come here. Uh, tell Principal Martel what you said, Troy."
seg_0019,SPEAKER_3,speaker_2,78.6,84.66,6.06,"Oh, uh, sh- um, she, she was talking about the hypotenuse and I said, ""I wish I was high on pot noose."""
seg_0020,SPEAKER_3,speaker_2,88.64,89.22,0.58,I'm sorry.
seg_0021,SPEAKER_3,speaker_2,92.24,92.94,0.7,He likes it.
seg_0022,SPEAKER_3,speaker_2,94.6,95.84,1.24,Principal Martel's cool.
seg_0023,SPEAKER_4,speaker_3,97.46,99.82,2.36,"Oh, that's, that's very funny."
seg_0024,SPEAKER_3,speaker_2,100.1,102.92,2.82,"Principal Martel, Principal Martel, I, I said that."
seg_0025,SPEAKER_2,speaker_1,103.32,105.54,2.22,"Mr. Jackson, that is enough."
seg_0026,SPEAKER_3,speaker_2,105.78,106.6,0.82,But I said it first.
seg_0027,SPEAKER_4,speaker_3,108.12,111.06,2.94,"Oh, uh, uh, Mr. Iglesias, Mr. Iglesias. Yes, come in, come in."
seg_0028,SPEAKER_1,speaker_0,111.88,111.89,0.01,Ah.
seg_0029,SPEAKER_5,speaker_4,111.92,112.04,0.12,Yeah.
seg_0030,SPEAKER_4,speaker_3,112.3,112.4,0.1,Yes.
seg_0031,SPEAKER_5,speaker_4,112.66,113.18,0.52,"What's up, peoples?"
seg_0032,SPEAKER_4,speaker_3,113.54,120.96,7.42,Nothing. Comedian Gabriel Iglesias is touring the local schools today for a charity he's working on. A- a- tell him what you said. Tell him what you said.
seg_0033,SPEAKER_3,speaker_2,122.04,124.74,2.7,"Um, I, I wish I was high on pot noose."
seg_0034,SPEAKER_5,speaker_4,127.48,132.36,4.88,Oh my God. That is clever. That is cle- very funny. Very funny.
seg_0035,SPEAKER_3,speaker_2,133.14,133.56,0.42,Right?
seg_0036,SPEAKER_5,speaker_4,133.73,134.36,0.63,Thanks.
seg_0037,SPEAKER_3,speaker_2,134.72,138.72,4.0,"Mr. Iglesias, Mr. Iglesias, uh, I'm your biggest fan. That was my joke."
seg_0038,SPEAKER_5,speaker_4,139.14,148.8,9.66,"Uh, you know, it's not really cool, buddy, to take credit for other people's jokes. Hey, listen, funny stuff. I'm doing this big tour right now. You wanna see about maybe we could talk about you opening? I need an opener."
seg_0039,SPEAKER_3,speaker_2,149.1,151.66,2.56,"Wha- oh, sh- um, sure."
seg_0040,SPEAKER_5,speaker_4,152.56,153.2,0.64,What do you think? Is that okay?
seg_0041,SPEAKER_4,speaker_3,153.38,153.9,0.52,Of course.
seg_0042,SPEAKER_5,speaker_4,154.14,154.3,0.16,Yeah?
seg_0043,SPEAKER_4,speaker_3,154.31,155.1,0.79,Of course it is.
seg_0044,SPEAKER_3,speaker_2,155.2,156.48,1.28,"Oh, what?"
seg_0045,SPEAKER_1,speaker_0,156.86,157.7,0.84,Oh.
seg_0046,SPEAKER_3,speaker_2,159.5,160.15,0.65,Sorry about that.
seg_0047,SPEAKER_5,speaker_4,160.2,160.8,0.6,"Talent, man."
seg_0048,SPEAKER_3,speaker_2,160.81,161.86,1.05,It's nice to meet you. Thanks so much.
seg_0049,SPEAKER_5,speaker_4,161.92,163.34,1.42,"That's like a Richard Pryor. Get over here, man."
seg_0050,SPEAKER_3,speaker_2,163.41,163.43,0.02,Oh.
seg_0051,SPEAKER_5,speaker_4,163.44,163.7,0.26,Come on.
seg_0052,SPEAKER_3,speaker_2,163.96,164.72,0.76,Richard Pryor.
seg_0053,SPEAKER_2,speaker_1,166.54,172.26,5.72,"He deserved it. All right, so across from the longest side is a 90-degree angle."
seg_0054,SPEAKER_3,speaker_2,173.84,176.3,2.46,Good thing I've got a 90-degree dangle.
seg_0055,SPEAKER_2,speaker_1,176.44,179.7,3.26,"Joel, stop it! You will never be Troy."
