segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,2.829,22.98,20.151,"Welcome back to The Morty Jepson Show. I'm Morty Jepson. We're here today continuing our conversation with unbelievable mega superstar, Young Bidness. Now, Young Bidness, I gotta tell you, we've been tiptoeing around a particular subject all day, and I think it's time to broach it. You've separated recently with your, your actress girlfriend, Tina Bouquet."
seg_0001,SPEAKER_2,speaker_1,23.1,23.51,0.41,No. Mort.
seg_0002,SPEAKER_1,speaker_0,23.52,24.7,1.18,And everybody wants to know-
seg_0003,SPEAKER_2,speaker_1,24.84,25.06,0.22,Mort
seg_0004,SPEAKER_1,speaker_0,25.18,25.58,0.4,Yeah?
seg_0005,SPEAKER_2,speaker_1,25.64,26.8,1.16,"We, we ain't gonna talk about that."
seg_0006,SPEAKER_1,speaker_0,27.16,27.18,0.02,Oh.
seg_0007,SPEAKER_2,speaker_1,27.24,28.39,1.15,I'm not here to talk about that.
seg_0008,SPEAKER_1,speaker_0,28.39,29.92,1.53,I understand. I just wanna hear your side of the story.
seg_0009,SPEAKER_2,speaker_1,30.0,30.599,0.599,You don't wanna hear-
seg_0010,SPEAKER_1,speaker_0,30.63,30.79,0.16,I just wanna-
seg_0011,SPEAKER_2,speaker_1,30.88,32.02,1.14,I told y'all motherfuckers-
seg_0012,SPEAKER_1,speaker_0,32.08,33.53,1.45,"Listen, in your music, Young Bidness-"
seg_0013,SPEAKER_2,speaker_1,33.57,33.71,0.14,"... we weren't gonna talk about that, Mort"
seg_0014,SPEAKER_1,speaker_0,33.71,34.949,1.239,... you do a lot of autobiographical songs.
seg_0015,SPEAKER_2,speaker_1,34.949,35.72,0.771,I'm trying to talk about the music.
seg_0016,SPEAKER_1,speaker_0,36.16,39.98,3.82,And lots of people understand that you're talking about your own personal experiences.
seg_0017,SPEAKER_2,speaker_1,39.99,40.21,0.22,"See, Mort. Mort."
seg_0018,SPEAKER_1,speaker_0,40.22,40.78,0.56,Your fans-
seg_0019,SPEAKER_2,speaker_1,40.92,41.449,0.529,I ain't gonna-
seg_0020,SPEAKER_1,speaker_0,41.49,42.21,0.72,... would like to know-
seg_0021,SPEAKER_2,speaker_1,42.28,43.44,1.16,"How much, how many times I need-"
seg_0022,SPEAKER_1,speaker_0,43.49,44.04,0.55,... what's going on with you and Tina
seg_0023,SPEAKER_2,speaker_1,44.1,44.81,0.71,"What, what... No, you, the fans-"
seg_0024,SPEAKER_1,speaker_0,44.81,45.11,0.3,That's all
seg_0025,SPEAKER_2,speaker_1,45.12,45.8,0.68,... don't wanna know.
seg_0026,SPEAKER_1,speaker_0,45.82,45.94,0.12,We-
seg_0027,SPEAKER_2,speaker_1,46.16,46.68,0.52,You wanna know
seg_0028,SPEAKER_1,speaker_0,46.7,47.37,0.67,... we just wanna clarify.
seg_0029,SPEAKER_2,speaker_1,47.38,47.96,0.58,You wanna know.
seg_0030,SPEAKER_1,speaker_0,48.04,48.76,0.72,All I wanna do-
seg_0031,SPEAKER_2,speaker_1,48.769,49.16,0.391,You don't wanna clarify.
seg_0032,SPEAKER_1,speaker_0,49.28,50.02,0.74,All I wanna do is-
seg_0033,SPEAKER_2,speaker_1,50.36,50.49,0.13,You want clarification
seg_0034,SPEAKER_1,speaker_0,50.49,51.58,1.09,... I wanna hear your side of the story.
seg_0035,SPEAKER_2,speaker_1,51.68,52.15,0.47,"You wanna, I'll give you my side of the story."
seg_0036,SPEAKER_1,speaker_0,52.18,53.88,1.7,I wanna hear your side of the story.
