speaker,start,end,text
speaker_0,4.72,5.82,"So Sam, what do you have for us?"
speaker_1,7.04,10.6,Dale will be here in a minute. Finding somebody in the copy room at this hour was a little bit of a challenge.
speaker_0,10.9,19.98,"Okay, let's go right into the introductions. This is Sarah Robertson, who you know, Chief Risk Management Officer, Ramesh Shah from upstairs, and David Horn, one of the firm's in-house counsel."
speaker_1,20.42,23.24,"Nice to meet you all. This is my head of trading, Will Emerson, and this is-"
speaker_2,23.92,27.4,"Peter, uh, Sullivan, and Seth Bregman. They work in our risk department."
speaker_0,27.58,28.36,Where's Eric Dale?
speaker_1,29.48,30.54,He was let go today.
speaker_0,33.52,35.04,Who do you have left in your risk department?
speaker_2,36.48,40.34,"As of today, that would be Peter and our junior analyst, Seth."
speaker_0,42.98,43.22,Really?
speaker_3,45.02,45.96,"Uh, Will Emerson?"
speaker_2,46.54,47.58,"Yes, please, just hand them out."
speaker_0,49.58,50.0,Thank you.
speaker_1,62.0,75.04,"Apparently, Eric had been working on this for some time, but he wasn't able to finish it. This morning as he left the building, he handed the program to Peter here and asked him to take a look at it. Peter did. He put a few things in that Eric seemed to be missing, and this is what came out."
speaker_4,78.08,78.96,"Peter, is this your work?"
speaker_3,81.48,82.32,Mostly Mr. Dale's.
speaker_4,83.48,84.36,But is this your draft?
speaker_3,85.42,86.34,"Yes, um,"
speaker_3,87.64,90.7,"again, expanded on the original work from Mr. Dale, but yes."
speaker_4,91.34,92.22,What's your background?
speaker_3,92.52,93.1,My background?
speaker_4,93.38,93.82,Your CV.
speaker_3,94.1,101.26,"I've been with the firm for two and a half years, working with Eric that whole time, but I hold a doctorate in engineering, specialty in propulsion from MIT with a bachelor's from Penn."
speaker_0,101.72,104.1,What is a specialty in propulsion exactly?
speaker_3,104.46,110.0,My thesis was a study in the ways that friction ratios affect steering outcomes in aeronautical use under reduced gravity loads.
speaker_0,111.62,112.7,So you're a rocket scientist.
speaker_3,114.26,115.48,"I was, yeah."
speaker_0,116.84,119.12,Interesting. How did you end up here?
speaker_3,119.58,126.12,"Well, it's all just numbers really, just changing what you're adding up, and to speak freely, the money here is considerably more attractive."
speaker_0,135.3,135.92,What time is it?
speaker_5,137.22,137.76,2:15.
speaker_0,138.34,145.38,Fuck me. Fuck me. And I'm guessing by the fact that you two haven't said anything that the math checks out.
speaker_4,146.18,154.7,"Look, we'd need some time to go over this, but Mr. Sullivan here seems like he knows what he's doing, so it would appear we have a problem."
speaker_0,154.98,157.16,"Oh, thank you for that. What time is it?"
speaker_5,157.78,158.4,2:16.
speaker_0,158.66,159.18,Fuck me.
speaker_0,161.06,161.68,Fuck me.
speaker_0,170.68,175.88,"Sam, how long under normal operations would it take your people to clear that from our books?"
speaker_1,179.82,180.13,What?
speaker_1,182.02,183.04,All of it?
speaker_0,183.12,183.34,Yes.
speaker_1,185.48,186.66,I don't know. Weeks.
speaker_3,186.9,187.16,Weeks.
speaker_1,187.5,188.24,"Yeah, weeks."
speaker_1,189.6,205.6,"But you certainly know that our business is selling and buying. It doesn't work for very long without both components. We suddenly stop buying for a day or two, that's not something you can hide under the rug. That gets out, and when it does, this whole thing comes to an end, and right quick."
speaker_0,206.96,207.46,I understand.
speaker_1,207.98,208.28,Do you?
speaker_0,212.6,213.56,Yes.
speaker_0,215.52,218.88,How many traders do we have left between your floor and Peterson's?
