segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,4.72,5.82,1.1,"So Sam, what do you have for us?"
seg_0001,SPEAKER_2,speaker_1,7.04,10.6,3.56,Dale will be here in a minute. Finding somebody in the copy room at this hour was a little bit of a challenge.
seg_0002,SPEAKER_1,speaker_0,10.9,19.98,9.08,"Okay, let's go right into the introductions. This is Sarah Robertson, who you know, Chief Risk Management Officer, Ramesh Shah from upstairs, and David Horn, one of the firm's in-house counsel."
seg_0003,SPEAKER_2,speaker_1,20.42,23.24,2.82,"Nice to meet you all. This is my head of trading, Will Emerson, and this is-"
seg_0004,SPEAKER_3,speaker_2,23.92,27.4,3.48,"Peter, uh, Sullivan, and Seth Bregman. They work in our risk department."
seg_0005,SPEAKER_1,speaker_0,27.58,28.36,0.78,Where's Eric Dale?
seg_0006,SPEAKER_2,speaker_1,29.48,30.54,1.06,He was let go today.
seg_0007,SPEAKER_1,speaker_0,33.52,35.04,1.52,Who do you have left in your risk department?
seg_0008,SPEAKER_3,speaker_2,36.48,40.34,3.86,"As of today, that would be Peter and our junior analyst, Seth."
seg_0009,SPEAKER_1,speaker_0,42.98,43.22,0.24,Really?
seg_0010,SPEAKER_4,speaker_3,45.02,45.96,0.94,"Uh, Will Emerson?"
seg_0011,SPEAKER_3,speaker_2,46.54,47.58,1.04,"Yes, please, just hand them out."
seg_0012,SPEAKER_1,speaker_0,49.58,50.0,0.42,Thank you.
seg_0013,SPEAKER_2,speaker_1,62.0,75.04,13.04,"Apparently, Eric had been working on this for some time, but he wasn't able to finish it. This morning as he left the building, he handed the program to Peter here and asked him to take a look at it. Peter did. He put a few things in that Eric seemed to be missing, and this is what came out."
seg_0014,SPEAKER_5,speaker_4,78.08,78.96,0.88,"Peter, is this your work?"
seg_0015,SPEAKER_4,speaker_3,81.48,82.32,0.84,Mostly Mr. Dale's.
seg_0016,SPEAKER_5,speaker_4,83.48,84.36,0.88,But is this your draft?
seg_0017,SPEAKER_4,speaker_3,85.42,86.34,0.92,"Yes, um,"
seg_0018,SPEAKER_4,speaker_3,87.64,90.7,3.06,"again, expanded on the original work from Mr. Dale, but yes."
seg_0019,SPEAKER_5,speaker_4,91.34,92.22,0.88,What's your background?
seg_0020,SPEAKER_4,speaker_3,92.52,93.1,0.58,My background?
seg_0021,SPEAKER_5,speaker_4,93.38,93.82,0.44,Your CV.
seg_0022,SPEAKER_4,speaker_3,94.1,101.26,7.16,"I've been with the firm for two and a half years, working with Eric that whole time, but I hold a doctorate in engineering, specialty in propulsion from MIT with a bachelor's from Penn."
seg_0023,SPEAKER_1,speaker_0,101.72,104.1,2.38,What is a specialty in propulsion exactly?
seg_0024,SPEAKER_4,speaker_3,104.46,110.0,5.54,My thesis was a study in the ways that friction ratios affect steering outcomes in aeronautical use under reduced gravity loads.
seg_0025,SPEAKER_1,speaker_0,111.62,112.7,1.08,So you're a rocket scientist.
seg_0026,SPEAKER_4,speaker_3,114.26,115.48,1.22,"I was, yeah."
seg_0027,SPEAKER_1,speaker_0,116.84,119.12,2.28,Interesting. How did you end up here?
seg_0028,SPEAKER_4,speaker_3,119.58,126.12,6.54,"Well, it's all just numbers really, just changing what you're adding up, and to speak freely, the money here is considerably more attractive."
seg_0029,SPEAKER_1,speaker_0,135.3,135.92,0.62,What time is it?
seg_0030,SPEAKER_6,speaker_5,137.22,137.76,0.54,2:15.
seg_0031,SPEAKER_1,speaker_0,138.34,145.38,7.04,Fuck me. Fuck me. And I'm guessing by the fact that you two haven't said anything that the math checks out.
seg_0032,SPEAKER_5,speaker_4,146.18,154.7,8.52,"Look, we'd need some time to go over this, but Mr. Sullivan here seems like he knows what he's doing, so it would appear we have a problem."
seg_0033,SPEAKER_1,speaker_0,154.98,157.16,2.18,"Oh, thank you for that. What time is it?"
seg_0034,SPEAKER_6,speaker_5,157.78,158.4,0.62,2:16.
seg_0035,SPEAKER_1,speaker_0,158.66,159.18,0.52,Fuck me.
seg_0036,SPEAKER_1,speaker_0,161.06,161.68,0.62,Fuck me.
seg_0037,SPEAKER_1,speaker_0,170.68,175.88,5.2,"Sam, how long under normal operations would it take your people to clear that from our books?"
seg_0038,SPEAKER_2,speaker_1,179.82,180.13,0.31,What?
seg_0039,SPEAKER_2,speaker_1,182.02,183.04,1.02,All of it?
seg_0040,SPEAKER_1,speaker_0,183.12,183.34,0.22,Yes.
seg_0041,SPEAKER_2,speaker_1,185.48,186.66,1.18,I don't know. Weeks.
seg_0042,SPEAKER_4,speaker_3,186.9,187.16,0.26,Weeks.
seg_0043,SPEAKER_2,speaker_1,187.5,188.24,0.74,"Yeah, weeks."
seg_0044,SPEAKER_2,speaker_1,189.6,205.6,16.0,"But you certainly know that our business is selling and buying. It doesn't work for very long without both components. We suddenly stop buying for a day or two, that's not something you can hide under the rug. That gets out, and when it does, this whole thing comes to an end, and right quick."
seg_0045,SPEAKER_1,speaker_0,206.96,207.46,0.5,I understand.
seg_0046,SPEAKER_2,speaker_1,207.98,208.28,0.3,Do you?
seg_0047,SPEAKER_1,speaker_0,212.6,213.56,0.96,Yes.
seg_0048,SPEAKER_1,speaker_0,215.52,218.88,3.36,How many traders do we have left between your floor and Peterson's?
