speaker,start,end,text
speaker_0,2.829,22.98,"Welcome back to The Morty Jepson Show. I'm Morty Jepson. We're here today continuing our conversation with unbelievable mega superstar, Young Bidness. Now, Young Bidness, I gotta tell you, we've been tiptoeing around a particular subject all day, and I think it's time to broach it. You've separated recently with your, your actress girlfriend, Tina Bouquet."
speaker_1,23.1,23.51,No. Mort.
speaker_0,23.52,24.7,And everybody wants to know-
speaker_1,24.84,25.06,Mort
speaker_0,25.18,25.58,Yeah?
speaker_1,25.64,26.8,"We, we ain't gonna talk about that."
speaker_0,27.16,27.18,Oh.
speaker_1,27.24,28.39,I'm not here to talk about that.
speaker_0,28.39,29.92,I understand. I just wanna hear your side of the story.
speaker_1,30.0,30.599,You don't wanna hear-
speaker_0,30.63,30.79,I just wanna-
speaker_1,30.88,32.02,I told y'all motherfuckers-
speaker_0,32.08,33.53,"Listen, in your music, Young Bidness-"
speaker_1,33.57,33.71,"... we weren't gonna talk about that, Mort"
speaker_0,33.71,34.949,... you do a lot of autobiographical songs.
speaker_1,34.949,35.72,I'm trying to talk about the music.
speaker_0,36.16,39.98,And lots of people understand that you're talking about your own personal experiences.
speaker_1,39.99,40.21,"See, Mort. Mort."
speaker_0,40.22,40.78,Your fans-
speaker_1,40.92,41.449,I ain't gonna-
speaker_0,41.49,42.21,... would like to know-
speaker_1,42.28,43.44,"How much, how many times I need-"
speaker_0,43.49,44.04,... what's going on with you and Tina
speaker_1,44.1,44.81,"What, what... No, you, the fans-"
speaker_0,44.81,45.11,That's all
speaker_1,45.12,45.8,... don't wanna know.
speaker_0,45.82,45.94,We-
speaker_1,46.16,46.68,You wanna know
speaker_0,46.7,47.37,... we just wanna clarify.
speaker_1,47.38,47.96,You wanna know.
speaker_0,48.04,48.76,All I wanna do-
speaker_1,48.769,49.16,You don't wanna clarify.
speaker_0,49.28,50.02,All I wanna do is-
speaker_1,50.36,50.49,You want clarification
speaker_0,50.49,51.58,... I wanna hear your side of the story.
speaker_1,51.68,52.15,"You wanna, I'll give you my side of the story."
speaker_0,52.18,53.88,I wanna hear your side of the story.
speaker_1,53.9,54.46,Interview's over. How about that?
speaker_0,54.6,54.78,Young-
speaker_1,54.79,55.36,Interview's over.
speaker_0,55.52,56.21,"Please, Young Bidness."
speaker_1,56.26,56.52,Done.
speaker_0,56.82,58.21,"There's no need for the interview to be over, Young Bidness."
speaker_1,58.22,58.94,Interview's over.
speaker_0,59.36,59.74,Young Bidness.
speaker_1,59.78,61.02,"Y'all, all y'all motherfuckers."
speaker_0,61.14,64.16,"Young Bidness, there's no need for the language or any of this. We can just sit down and talk."
speaker_1,64.17,66.2,"All y'all, I told y'all motherfuckers I wasn't gonna talk about that."
speaker_0,66.21,70.34,Do you wanna talk about the album?'Cause I'd be more than happy to talk about the album. This is The C Word.
speaker_1,70.48,70.68,Mort.
speaker_0,70.8,73.94,"It looks like it's well on its way to going platinum. Or CD, as it were."
speaker_1,74.29,75.11,"Get the fuck, get the fuck away from me."
speaker_0,75.18,76.72,"Louis, Louis. Louis, Louis."
speaker_0,78.66,82.24,Go- well on its way to going platinum. We can talk about this. It's kind of a double album.
speaker_1,82.25,82.25,This shit is tucked in here.
speaker_0,82.26,94.02,"Would you say? It's fine with me. You wanna talk about the album, we can talk about the album. How about, uh, Tanks of Truth? Tanks of Truth. Is that a, a treatise on the, uh, the conflict with ISIS? I mean, what, what... Talk to me about this. What..."
speaker_0,95.22,96.24,"Young Bidness, please, I beg you."
speaker_1,96.26,96.56,All y'all-
speaker_0,96.65,98.32,"Just sit down, take a deep breath."
speaker_1,98.52,98.6,Oh.
speaker_0,98.63,99.42,And let's discuss-
speaker_1,99.8,100.04,No
speaker_0,100.1,101.1,... let's discuss the album.
speaker_1,101.18,103.1,"It's done, Mort. It's done."
speaker_0,105.2,106.97,"Okay. Okay, Young Bidness."
speaker_1,106.98,107.119,"So,"
speaker_1,108.5,109.78,"you brought this on yourself, Mort."
speaker_0,109.84,110.63,"Young Bidness, I would really love it-"
speaker_1,110.63,111.72,"You brought it on yourself, though"
speaker_0,111.74,120.57,"... Young Bidness, Young Bidness, I would really love it if you had a seat, and we could just talk together about anything, anything you want. We don't, I won't mention Tina's name again. Young Bidness."
speaker_1,121.18,121.74,How the fuck...
speaker_0,123.1,123.98,Youthful Commerce.
speaker_1,124.48,125.46,"How does, where does it go to?"
speaker_0,125.62,126.24,"Louis, help him."
speaker_1,127.26,129.66,"No, get the fuck, get the fuck off me, Louis."
speaker_0,129.88,133.34,"Louis, go. Leave it be. You're, you're exacerbating the situation."
speaker_1,133.76,134.84,This shit attached to.
speaker_0,136.02,136.88,It's probably coming over-
speaker_1,136.96,137.78,This is a lot of slack
speaker_0,137.79,140.02,... the cord is blending in with the color of the carpet.
speaker_1,140.3,140.57,"So what, what-"
speaker_0,140.86,142.52,"Okay. I just think that, Young Bidness-"
speaker_1,142.54,142.97,"No, this is-"
