segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,1.36,14.0,12.64,"As the United States approaches the 250th anniversary of the Declaration of Independence, our panel will look at the state of our democracy and discuss where we're headed. That's tonight on a special birthday edition of Washington Week."
seg_0001,SPEAKER_2,speaker_1,17.07,25.94,8.87,This is a special edition of Washington Week with The Atlantic. America: The Next 250. Corporate funding provided by...
seg_0002,SPEAKER_3,speaker_2,26.66,31.08,4.42,"In 1995, two friends set out to make wireless coverage accessible to all."
seg_0003,SPEAKER_3,speaker_2,32.29,40.7,8.41,"With no long-term contracts, nationwide coverage, and 100% US-based customer support. Consumer Cellular, freedom calls."
seg_0004,SPEAKER_2,speaker_1,41.68,43.46,1.78,Additional funding is provided by
seg_0005,SPEAKER_2,speaker_1,44.72,77.14,32.42,"Koo and Patricia Yuen through The Yuen Foundation, committed to bridging cultural differences in our communities, Sandra and Carl DeLay-Magnuson, Rose Hirschel and Andy Shreeves, Robert and Susan Rosenbaum, Jay and Sharon Rockefeller, Charles Hamowey through The Charles Hamowey Fund, Steve and Marilyn Kerman, Leonard and Norma Chlorophene, and by contributions to your PBS station from viewers like you. Thank you."
seg_0006,SPEAKER_2,speaker_1,78.48,87.84,9.36,"Once again, from the David M. Rubenstein Studio at WETA in Washington, editor-in-chief of The Atlantic and moderator, Jeffrey Goldberg."
seg_0007,SPEAKER_1,speaker_0,88.32,106.78,18.46,"Good evening, and welcome to Washington Week. A couple of weeks ago, I held an hour-long discussion about the challenges facing the United States as it celebrates its 250th birthday. We had with us some of our favorite panelists, and since it's July 4th weekend, we thought it would be a good idea to share some highlights from that conversation. Happy Independence Day, everyone."
seg_0008,SPEAKER_1,speaker_0,108.28,167.56,59.28,"Our country's about to turn 250 years old, and we wanted to do something a bit different in anticipation of this milestone. We had been planning to host a cage match that would feature our favorite panelists duking it out in front of a live studio audience, but President Trump beat us to the punch, quite literally. So we kept the live studio audience, and instead of gouging each other's eyes out in the shadow of the White House, we're gonna talk about our history, the state of our democracy, and the successes, failures, and challenges of the American experiment. Joining me tonight, Tim Alberta, a staff writer at The Atlantic, and author of The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism. Steven Hayes is the editor and CEO of The Dispatch. Peter Baker is the chief White House correspondent at The New York Times. Idris Khalil is a staff writer at The Atlantic. Susan Glasser is a staff writer at The New Yorker, and the author, with Peter Baker, of The Divider: Trump in the White House. They're married, by the way. And Ashley Parker is a White House correspondent at The Atlantic."
seg_0009,SPEAKER_1,speaker_0,169.08,169.84,0.76,"Thank you, all."
