segment_id,speaker_id,raw_elevenlabs_speaker_ids,start_sec,end_sec,duration_sec,text
seg_0000,SPEAKER_1,speaker_0,1.04,69.78,68.74,"We spoke with a bipartisan group of mayors about how local governments can find common ground on solving some of the top problems facing Americans today, particularly affordability concerns like housing costs and energy prices. But for all four mayors, Democrats Eileen Higgins of Miami, Quinton Lucas of Kansas City, plus Republicans David Holt of Oklahoma City and Mark Freeman of Mesa, Arizona, it was clear that immigration has been near top of mind following the deadly shootings of protesters in Minneapolis and the tensions between federal and local governments nationwide. Here's part of our conversation. Mayor Freeman, we checked, 4% of the population in Arizona is undocumented according to Pew. As I understand it, you have limited cooperation with ICE, and you hand people over to federal authorities if they have an immigration infraction, but your local authorities picked them up for something else, right? That's what, in effect, that policy means. Why does that work for you when it doesn't work in places like Minneapolis and you have this high degree of tension and this standoff?"
seg_0001,SPEAKER_2,speaker_1,71.62,110.78,39.16,"Well, I, personally, I think that's a great question, but I think there's some misinterpretation, excuse me, of it. Because in Mesa, we have a agreement with ICE, but however, it's only on, uh, infractions that may be a civil infract- infraction. And so we, we don't have a jail in Mesa, Arizona, so we go to a holding facility. And we've been working with ICE for, uh, since 2009 with an agreement that we found very, uh, successful with. But more importantly, what we're doing in Mesa, I've taken it, I've elevated it to the next level. We have, uh, Dia de m- Muertos, the Day of the Dead-"
seg_0002,SPEAKER_1,speaker_0,110.96,110.97,0.01,Mm-hmm
seg_0003,SPEAKER_2,speaker_1,110.97,133.38,22.41,"... that we have with our Hispanic, Latino community. We have El Grito, who's the, uh, liberation of Spain from Mexico. So we have these great, uh, experiences in Mesa, Arizona in our downtown area in cooperation with our Latino, uh, uh, Hispanic area. And I meet with our pastors as well to make sure that everything is going well on their end."
seg_0004,SPEAKER_1,speaker_0,133.9,140.48,6.58,"Mm-hmm. And you don't feel the tension at the local level right now? Like, the debate we're having as a country."
seg_0005,SPEAKER_2,speaker_1,140.54,141.16,0.62,"No, I don't feel-"
seg_0006,SPEAKER_1,speaker_0,141.18,142.2,1.02,Are people talking about it?
seg_0007,SPEAKER_2,speaker_1,142.74,151.16,8.42,"Yeah, they talk about it in our community, but I'm meeting with the people who are actually affected by it, and they find comfort in knowing that our city stands ready to support them."
seg_0008,SPEAKER_1,speaker_0,152.04,156.25,4.21,"Uh, Mayor Holt, I, I wanna ask you about your city, but also in this leadership role you have."
seg_0009,SPEAKER_3,speaker_2,156.269,156.269,0.0,Mm.
seg_0010,SPEAKER_1,speaker_0,156.3,158.34,2.04,"Like, how are you counseling mayors-"
seg_0011,SPEAKER_3,speaker_2,158.44,158.579,0.139,Hm
seg_0012,SPEAKER_1,speaker_0,158.59,167.9,9.31,"... to, to go through this right now? This is a real pressure at the federal level to sometimes change local laws or state laws."
seg_0013,SPEAKER_3,speaker_2,168.16,169.72,1.56,"Hm. Well, um,"
seg_0014,SPEAKER_3,speaker_2,171.0,196.71,25.71,"I don't know, a few, a few observations in res- in reaction to that. I mean, uh, first I'm, and it's really important to point out that we have enforced immigration laws in this country for over a century. ICE has been around for two decades. There was even a previous Trump administration that... And in none of those times did you see this level of chaos in our cities. I understand in the f- previous Trump administration there was controversy about things at the border. But-"
seg_0015,SPEAKER_1,speaker_0,196.74,196.92,0.18,Mm-hmm
seg_0016,SPEAKER_3,speaker_2,197.04,199.48,2.44,"... but I'm talking about all the, you know, a thousand miles from the border-"
seg_0017,SPEAKER_1,speaker_0,199.5,200.67,1.17,"Internal enforcement, yeah"
seg_0018,SPEAKER_3,speaker_2,200.7,237.14,36.44,"... in, in, in places like Minneapolis. So it's, i- we can look back to previous eras of normality and appreciate that there are ways to, uh, competently enforce immigration laws in this country, and I think that's what we're kinda asking for, is, is that sort of pivot back to a new strategy that may be an old strategy. And I think we all accept that this administration prioritizes, uh, a higher level of enforcement. But, um, what we're seeing in the conflicts in the streets of Minneapolis is just obviously unacceptable. We're still sort of reeling from what happened last Saturday."
seg_0019,SPEAKER_1,speaker_0,237.3,237.5,0.2,Mm-hmm.
seg_0020,SPEAKER_3,speaker_2,237.86,264.54,26.68,"Um, and, you know, we're generally encouraged, um, that, um, the administration seems to be exploring that pivot, you know. And, and of course we understand it takes time to sort of get the right personnel in place and make the policies, so I mean, we're giving them that space. But, um, what was happening in Minneapolis that, that kind of culminated in the second death of a protester last Saturday, um, is obviously something that we would all fear to happen in our cities."
seg_0021,SPEAKER_1,speaker_0,264.58,264.63,0.05,Yeah.
seg_0022,SPEAKER_3,speaker_2,264.7,282.8,18.1,"And, and we, we fear that that kind of chaos was starting to potentially creep around the country. I think the other thing I wanna observe, though, is that mayors are certainly caught in a little bit of an impossible situation because, you know, we take these roles with our chief obligation being the protection of our residents."
seg_0023,SPEAKER_1,speaker_0,282.96,283.13,0.17,Mm-hmm.
seg_0024,SPEAKER_3,speaker_2,283.18,286.64,3.46,"And we're even given a police department, people with guns, to aid us in-"
seg_0025,SPEAKER_1,speaker_0,286.69,286.76,0.07,Yeah
seg_0026,SPEAKER_3,speaker_2,286.92,308.0,21.08,"... that pursuit. Um, but there is a thing called the Supremacy Clause of the United States Constitution, and when the federal government and federal law enforcement comes into your city, we are fully subservient to that in the eyes of the law, and we also believe in the rule of law. So we get caught kind of in the middle of these tensions, and we need a federal government who will use discretion and restraint-"
seg_0027,SPEAKER_1,speaker_0,308.1,308.36,0.26,Mm-hmm
seg_0028,SPEAKER_3,speaker_2,308.68,333.08,24.4,"... with that power. And that has mostly worked for the last 250 years, so, so I think we, we just need to remind everybody that this is possible. And I think you see mayors maybe messaging some of that to our residents, some of it to Congress, some of it to administration, just trying to find a, a happy medium for everybody where we can coexist with all of these inherent tensions that of course, uh, have always existed. And, and-"
seg_0029,SPEAKER_1,speaker_0,333.1,333.13,0.03,Yeah
seg_0030,SPEAKER_3,speaker_2,333.14,335.52,2.38,"... we have largely been able to, to manage."
seg_0031,SPEAKER_1,speaker_0,335.7,341.44,5.74,"But, but that's why I think it's so interesting to talk to you all as mayors, because you actually have to deal with these people-"
seg_0032,SPEAKER_3,speaker_2,341.7,341.78,0.08,Mm
seg_0033,SPEAKER_1,speaker_0,341.79,343.16,1.37,"... um, day to day-"
seg_0034,SPEAKER_3,speaker_2,343.24,343.25,0.01,Mm
seg_0035,SPEAKER_1,speaker_0,343.25,356.15,12.9,"... and secure their safety, as you said, but also, you know, remain compliant. In Oklahoma, uh, it looks like the highway patrol works with ICE to conduct stings, so you do have some working together of state and federal."
seg_0036,SPEAKER_3,speaker_2,356.15,357.71,1.56,"Yeah, I mean, it's a state agency, the Oklahoma Highway Patrol."
seg_0037,SPEAKER_1,speaker_0,357.74,358.02,0.28,That's right.
seg_0038,SPEAKER_3,speaker_2,358.12,359.13,1.01,That is not our police department.
seg_0039,SPEAKER_1,speaker_0,359.22,363.816,4.596,Right. But when you see that- Working together-
seg_0040,SPEAKER_3,speaker_2,364.076,364.356,0.28,Mm-hmm
seg_0041,SPEAKER_1,speaker_0,364.376,373.436,9.06,"... is it smooth? Are there tensions now because of what just happened in the past few weeks? Like, are people questioning whether these policies sh- should stay?"
seg_0042,SPEAKER_3,speaker_2,374.156,376.876,2.72,"Um, well, I mean, it, let me differentiate and make it clear-"
seg_0043,SPEAKER_1,speaker_0,376.896,379.035,2.139,"Do people look at Minneapolis and say, ""That could happen here?"""
seg_0044,SPEAKER_3,speaker_2,379.096,379.316,0.22,"Well, of course"
seg_0045,SPEAKER_1,speaker_0,379.326,379.686,0.36,... is what I'm asking.
seg_0046,SPEAKER_3,speaker_2,379.726,390.236,10.51,"I'm sure every, every every mayor in America here in DC was, was, was feeling that way. And, um, and again, not because, not, not because any of us think that there shouldn't be immigration enforcement."
seg_0047,SPEAKER_1,speaker_0,390.296,390.386,0.09,Right.
seg_0048,SPEAKER_3,speaker_2,390.396,399.136,8.74,"You know? I mean, this is not the question. It's just how is it managed. I mean, we have some mayor colleagues that were former police chiefs, for example-"
seg_0049,SPEAKER_1,speaker_0,399.176,399.186,0.01,Mm-hmm
seg_0050,SPEAKER_3,speaker_2,399.186,402.556,3.37,"... have really great expertise in law enforcement. We're all amateurs, right?"
seg_0051,SPEAKER_1,speaker_0,402.686,402.686,0.0,Yeah.
seg_0052,SPEAKER_3,speaker_2,402.696,417.306,14.61,"But, but these are people who did this for a living, and they're telling us, they look at these videos and they see police tactics that haven't been u- utilized anywhere in 30 years in a local law enforcement agency, that these are, these are not the cutting edge techniques, uh-"
seg_0053,SPEAKER_1,speaker_0,417.416,417.426,0.01,Mm-hmm
