speaker,start,end,text
speaker_0,1.19,17.06,"Finland's economy has been Scandinavia's worst performer in recent years. It's been stagnating as it struggles with high unemployment, a housing slump, and rising public debt. But could AI and the growth of its defense industry help lift its economy?"
speaker_0,32.88,54.1,"Hello, and welcome to Roundtable. I'm Enda Brady. Now, Finland's economy is finally showing some signs of life after almost two decades of poor growth. The country's real term GDP has failed to fully recover following the 2008 global financial crisis, and the economic fallout from the war in Ukraine hit Finland harder than other EU countries."
speaker_1,56.16,68.56,"It's consistently ranked the happiest country in the world, but Finland has been one of Europe's weakest economic performers, weighed down by low growth, high unemployment, and rising public debt."
speaker_1,70.26,103.93,"Its real term GDP has barely recovered from its pre-pandemic level in 2019, and it still hasn't bounced back from the 2008 global financial crisis. And this consistently weak economic growth has sparked record levels of unemployment, passing 11% in April this year. A big part of the slowdown traces back to the decline of the country's telecoms giant Nokia after it failed to harness the new era of smartphones when Apple launched the iPhone in 2007."
speaker_1,105.72,114.22,"The war in Ukraine disrupted both trade and energy ties with what was one of Finland's biggest trading partners, its neighbor Russia."
speaker_2,114.86,129.08,"There were almost two million border crossings yearly at the border crossing point at Vaasa, and now there are none. This had an immediate impact on businesses. Companies have found themselves in a very difficult position as they have had to adapt to this situation."
speaker_1,129.16,141.42,"There are fresh signs the long slump may be easing. GDP grew by almost 1% in the first quarter of 2026 compared to the previous three months, the fastest pace since 2021."
speaker_1,143.24,162.58,"The recovery is partly being driven by defense spending, which is feeding through to the wider economy through investment, procurement, and tax revenues. That said, Finland's problems have not vanished and while the latest data are encouraging, policy makers still face the challenge of making this recovery durable."
speaker_1,163.96,172.64,"After years of underperformance, Finland's economy is finally perking up and the world's happiest country could get even happier."
speaker_0,175.94,211.9,"Well, let's bring in our guests for this one. I'm delighted to say joining us from Helsinki, we have Teuvo Teivainen. He is chair of the Finnish National Commission for UNESCO. Also, in the Finnish capital, we have Sakari Laudemäki. He is doctor of economics at ETLA Economic Research. And here with me in the studio, we have Daniel Kral. He is lead economist at Oxford Economics. You're all very welcome to Roundtable. Teuvo, to you first of all, we always hear that Finland is such a happy place to live, the Fins are such happy people. Your economy has been quite unhappy for some, some long time now."
speaker_3,214.48,236.34,"Well, there hasn't been much growth, but part of the Finnish secret to happiness is that we always tend to think it could be worse. So that's one reason why we rank so high in lists of happiness, since we are pessimists, think it could be worse, so it is a fact. But yes, there has been... the growth has been lagging for a long time."
speaker_0,237.32,246.48,"Sakari, just come in on this. How concerning is it that we're, we're seeing little green shoots of recovery in Finland, but for two decades a lot of stagnation?"
speaker_4,247.84,260.62,"Yeah so, I, I think it's, it's a great, uh, thing to worry about because, uh, at the same time our public finances have gotten a lot worse. Um,"
speaker_4,261.899,298.0,"one thing about the happiness I have to say, uh, these measures, uh, I, I, I think... I, I, I'm... It's hard to believe them sometimes. Uh, and I, I, you know, you feel like they're somehow biased. But then again you have to, uh, remember what they actually measure and they measure satisfaction and I think that Fins may, may be quite easily satisfied with their life as we have been kind of taught to, to be satisfied, satisfied with what, what we get and, and because maybe of the harsh nature we are used to live, live in."
speaker_0,299.62,308.5,"Thank you, Sakari. Let's bring Daniel in. Daniel, you study Finnish economics and you're across all the markets and everything. What do you think is the key thing that has gone wrong for them?"
speaker_5,309.28,388.0,"Well, just to set the context, so the Finnish economy has been flat since 2019. There has been no growth over the last seven years, which is the worst performance in Europe. Germany is sort of on par, but essentially flat economy. We've had population growth in the meantime, largely because of immigration, so on a per capita basis, on an individual basis, the Fins are now worse off than they were seven years ago. A big one is the energy crisis, but also the invasion of, uh, Russia and Ukraine and the cutting off of trade. Obviously Finland is right next to Russia. It was 10% of Finnish trade was with Russia. That's now largely disappeared, at least officially. There are some back channels and rerouting through, through countries, but it was a big trade shock. Um, and of course Finland has also quite adverse sectoral exposures. You got... you look at Sweden, Sweden has a big defense industry that's booming now- Uh, Denmark has pharma, pharma is booming, or Norway has oil and gas. What does Finland have? Nothing of the sort that would be, you know, having this strong tailwind. So the export side of the Finnish economy has also been quite weak. Add to that a large exposure to higher interest rates, which get passed on to consumers and businesses very quickly. Almost all mortgages are on floating rates. That means if it goes up, the central bank hikes rates, you feel it immediately on your disposable income. That's been bad for consumption. So on, both on the demand side, on the export side, we haven't had some major growth driver, but also a lot of headwinds from external shocks and sort of the interest rate and inflation shocks in the recent years, and that's why the Finnish economy has just stayed flat."
speaker_0,388.74,393.68,And yet the standard of living seems pretty good in Finland compared to many Eurozone countries.
speaker_5,394.14,450.28,"Correct. I mean, Finland is still way above average in, in, uh, in Europe, in, in the EU, and so that it's why it's a net contributor to the EU budget. Uh, from the pandemic-era fund, which is supposed to help the recup- pandemic recovery, Finland is again a big net contributor to it. It hasn't really benefited from any of the funds. And as, uh, the other guest said, the fiscal situation in Finland is pretty bad. The deficit is very wide. Finland is now in the excessive deficit procedure, which the U- EU Commission opens on countries that have either very high excessive debts or deficits. Finland is one of, uh, six or seven in there. So it's under close scrutiny and has a specific adjustment plan it has to follow to close that deficit, otherwise it risks, uh, fines from the EU Commission. Um, so then again, it does- it's not gonna get much support from the fiscal side. Like Germany's now opening up the purse string, you know, uh, for a big fiscal stimulus. Other countries as well are loosening and we're spending big on defense. Finland doesn't have that option. Finland needs to go and cut more expenses, more, more welfare, uh, which is gonna hurt growth even more."
speaker_0,450.36,462.58,"Thanks, Daniel. Teuvo to you, talk to me about welfare then, because I'm reading that 11% unemployment in Finland, that's a huge welfare burden for the government and the state and the Finnish taxpayer to carry."
speaker_3,464.96,516.98,"Most certainly, yes. It's, it's a very high number in, in, in terms of modern history. And at the same time, this government, and it's quite possible the f- next government might do the same, has been cutting various kinds of welfare benefits. They're not all gone, but, uh, because of the deficit, that's, that's been used as the main reason for heavy cuts. Th- there isn't that much social unrest yet in, in Finland, so despite all the gloom of the numbers, uh, the welfare system still works in relatively okay way also to prevent people from, uh, getting really angry and going to the streets. So that has to have in mind."
speaker_0,517.78,529.6,"Thank you. Sakari, talk to me about how much political pressure there is in Finland to fix these problems. You've got an election coming up next year. The people clearly want answers and solutions."
speaker_4,530.96,595.18,"Yes. Yes, there is a lot of willingness to fix these problems. The problem is maybe that there is a, a, quite a lot of debate, uh, over the right medicine. I, I mean, it's obvious that we have to do something for the public finances. Our spending at the moment is too high compared to the revenue, and ac- even that this government has done some consolidation, it, it's not enough at yet. It has to be continued for, for at least two or three next governments. I think there is the willingness, but the problem is that, that m- m- or the, we are, we are kind of the other, uh, other, or the other side wants to maybe solve it increasing, uh, taxes, and the other, other one would like to cut spending. From my opinion, it, it, it's the tax rate, overall tax rate is already quite high, and it's cutting down, down our growth, and, and there's not much leverage there to, to increase taxes anymore."
speaker_0,596.54,610.16,"Thank you, Sakari. Daniel, to you. We hear this phrase fiscal headspace, how much money a government has or financial levers it can pull, uh, to make things better. How much headspace financially then has the Finnish government got?"
speaker_5,610.68,684.0,"Well, very little, if, if, if any at all, and you can see it in the current crisis, which we're going through an oil crisis. Transport fuels are going up a lot. At the petrol pump anybody who has a car can see that. Most countries in Europe are cutting those taxes to some extent, fuel taxes. Finland does not really have that space, so again, it's another headwind for the Finnish consumer where it's gonna be, uh, hurting on disposable incomes again. But coming back to the unemployment, uh, point that you said, Finland does now have the highest headline unemployment rate in the EU, even higher than Spain or Greece, and these are, you know, the crisis countries of 2010s. But Fin- Finland also has a much higher participation rate, so the labor force as a share of the population is much wider. So if you adjust for that, Finland is not so bad on it. And we're at the tail end of a signal- cyclical weakness. You know, the shocks, the recurring shocks of the last few years, and that those have pushed up unemployment, the job opportunities evaporated, and as a result, the public expenditures on unemployment benefits have gone up and that's why the deficit is wide. As you said, we've seen this re- uh, cyclical recovery building, and, uh, we think it should continue unless there is a escalation in Hormuz or it s- stays cl- closed for the rest of the year. Uh, in th- in which case we should see the unemployment go down, which means, again, that should mechanically just close the wi- the government deficit and perha- perhaps give some fiscal space to the government."
speaker_0,684.44,687.1,"Sakari, you wanted to come in there again. Back to you."
speaker_4,688.5,715.66,"One more point about unemployment. So the official figures are high, uh, but if you look at the, uh, how many kind of workers has lost their job during this downturn, it's roughly half of this unemployed. The other half is coming from outside the labor force, and this is a lot to, uh, thanks to also immigration, uh, and a-"
speaker_4,716.956,735.416,"At this very, uh, weak economic situation, this new labor, uh, force has not been able to get jobs, and this actually adds up another layer, and that's why our unemployment rate is, is that high as it is."
speaker_0,736.056,744.076,"Thank you. Teivo, talk to me about the aging population. How much of a concern is that? Finland and its people, they're getting older."
speaker_3,746.236,788.776,"Yes, demographics play a big role. So we have, uh, elderly people that need all kinds of care, and that's going to cost more and more money. Uh, one of the debates about the elderly is right now also about whether, uh, the level of the pensions paid to old people, uh, will be, will be cut, and that's a huge political debate where different political parties have slightly different opinions. But, uh, the needs of the elderly are growing because the numbers, relative numbers are growing, and it's widely considered one of the biggest problems for the future Finnish economy."
speaker_0,789.256,801.336,"And, and Teivo, you heard Sakari mention immigration. I mean, that's one quick win in terms of bringing in young people. How do Finns feel about more people who are not Finns coming into Finland?"
speaker_3,803.576,882.636,"Within the current government there are differing opinions on that. We have a fairly right-wing government, but one part, the Prime Minister's party is, uh, emphasizing bringing in skilled labor and in general increasing migration, uh, partially also because the demographic factor that we just talked about. But the second biggest party in government, the Finns Party, is, uh, more openly against migration, especially non-white migration, um, uh, more generally, and, and not so willing to have mechanisms even to bring in skilled, uh, workers. So people are afraid that measures against migration that one of the government parties is insisting on, uh, while they are not explicitly meant to, uh, sort of, uh, not let skilled workers come in Finland, they still make life more difficult for foreigners in Finland, and that creates disincentives for moving to Finland. So it surely is a, is, is a big debate. My guess is in the next government, their ideological constellation will likely be different."
speaker_0,882.656,883.236,"Thanks, Teivo."
speaker_3,883.265,885.336,They will be more open to bringing migrants.
speaker_0,885.676,896.056,"Thank you. Daniel, to you, Finland is now a member of NATO. It's spending a lot of money on defense. Is that an area where they can kind of turbocharge their economy or somehow get some growth moving?"
speaker_5,897.056,940.756,"Finland does have some defense industry. It's strong on sort of artillery production and ammunitions. Uh, has a lot of stockpiles. But on the big ticket items, for example, now the f- uh, the government is procuring 64 new, uh, fighter jets, uh, from the US, um, and that's gonna be money largely going, uh, to the US. The, uh... For example, Sweden has their, their own Gripens. Finland doesn't have something of the sort. Of course, as part of the agreement, some of the man- manufacturing and the value added and employment will take place in Finland. But again, it's a very big ticket item that could materially boost growth, except it's not gonna be boosting Finnish growth, but mainly US growth. So for defense, it's hard to see how that could be one of the big growth drivers for an economy like Finland, where very little is made domestically for what Finland is currently needing."
speaker_0,941.116,950.286,"And they are very much neighbors with Russia, a long border. That relationship, talk to me about how that is kind of hindering the economy as well in terms of trade."
speaker_5,951.116,989.496,"It's gonna have some, uh, sort of investors may be a bit more reluctant to, uh, you know, enter a country that shares such a, a more than 1,000 kilometer border w- with Russia. But then again, Finland has historically had this very strong civilian defense component, uh, very large stockpiles. And, and if you look at European NATO countries in terms of preparedness, who can actually, you know, defend their country, uh, Finland is definitely at the top. But it's also comes out to the historical experience where, you know, there have been wars with Russia and territory has been lost, substantial population centers. Uh, so that's why it comes from hi- from history, and I'm sure the, the other guests will confirm that it's always ever present in the Finnish thought, that, that big neighbor to your east, that you have to be vigilant and, and ready."
speaker_0,990.156,1008.316,"Thank you. Sakari, to you, talk to me about your president, Alexander Stubb. We see a Finnish president who has probably the biggest profile internationally of any Finnish leader that we've seen for a long time. How much potential has he got to try and fix Finland's problems?"
speaker_4,1010.196,1014.506,"Well, I, I think that, uh, most, most of Finns, uh,"
speaker_4,1015.856,1034.176,"a- appreciate what he is doing, uh, relating to international relationships and, and, and in that field. But I wouldn't put too much pressure on, on, on Alexander Stubb, uh, on, on fixing our economical problems."
